state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Minnesota,3/13/20,14,0,5,0,1
Minnesota,3/14/20,21,0,7,0,2
Minnesota,3/15/20,21,0,0,0,3
Minnesota,3/16/20,53,0,32,0,4
Minnesota,3/17/20,59,0,6,0,5
Minnesota,3/18/20,77,0,18,0,6
Minnesota,3/19/20,89,0,12,0,7
Minnesota,3/20/20,113,0,24,0,8
Minnesota,3/21/20,134,1,21,1,9
Minnesota,3/22/20,167,1,33,0,10
Minnesota,3/23/20,234,1,67,0,11
Minnesota,3/24/20,261,1,27,0,12
Minnesota,3/25/20,286,1,25,0,13
Minnesota,3/26/20,344,2,58,1,14
Minnesota,3/27/20,396,4,52,2,15
Minnesota,3/28/20,441,5,45,1,16
Minnesota,3/29/20,503,9,62,4,17
Minnesota,3/30/20,576,10,73,1,18
Minnesota,3/31/20,629,12,53,2,19
Minnesota,4/1/20,689,17,60,5,20
Minnesota,4/2/20,742,18,53,1,21
Minnesota,4/3/20,788,22,46,4,22
Minnesota,4/4/20,865,24,77,2,23
Minnesota,4/5/20,935,29,70,5,24
Minnesota,4/6/20,986,30,51,1,25
Minnesota,4/7/20,1069,34,83,4,26
Minnesota,4/8/20,1154,39,85,5,27
Minnesota,4/9/20,1240,50,86,11,28
Minnesota,4/10/20,1336,57,96,7,29
Minnesota,4/11/20,1427,64,91,7,30
Minnesota,4/12/20,1621,70,194,6,31
Minnesota,4/13/20,1621,70,0,0,32
Minnesota,4/14/20,1695,79,74,9,33
Minnesota,4/15/20,1809,87,114,8,34
Minnesota,4/16/20,1809,87,0,0,35
Minnesota,4/17/20,2070,111,261,24,36
Minnesota,4/18/20,2209,121,139,10,37
Minnesota,4/19/20,2356,134,147,13,38
Minnesota,4/20/20,2470,143,114,9,39
Minnesota,4/21/20,2567,160,97,17,40
Minnesota,4/22/20,2722,179,155,19,41
Minnesota,4/23/20,2942,200,220,21,42
Minnesota,4/24/20,3185,221,243,21,43
Minnesota,4/25/20,3446,244,261,23,44
Minnesota,4/26/20,3602,272,156,28,45
Minnesota,4/27/20,3811,286,209,14,46
Minnesota,4/28/20,4181,301,370,15,47
Minnesota,4/29/20,4644,319,463,18,48
Minnesota,4/30/20,5136,343,492,24,49
Minnesota,5/1/20,5730,370,594,27,50
Minnesota,5/2/20,6232,394,502,24,51
Minnesota,5/3/20,6663,418,431,24,52
Minnesota,5/4/20,7234,427,571,9,53
Minnesota,5/5/20,7851,455,617,28,54
Minnesota,5/6/20,8579,485,728,30,55
Minnesota,5/7/20,9365,508,786,23,56
Minnesota,5/8/20,10088,534,723,26,57
Minnesota,5/9/20,10790,558,702,24,58
Minnesota,5/10/20,11271,578,481,20,59
Minnesota,5/11/20,11799,591,528,13,60
Minnesota,5/12/20,12494,614,695,23,61
Minnesota,5/13/20,12917,638,423,24,62
Minnesota,5/14/20,13435,672,518,34,63
Minnesota,5/15/20,14240,692,805,20,64
Minnesota,5/16/20,14969,709,729,17,65
Minnesota,5/17/20,15668,731,699,22,66
Minnesota,5/18/20,16372,740,704,9,67
Minnesota,5/19/20,17029,757,657,17,68
Minnesota,5/20/20,17670,786,641,29,69
Minnesota,5/21/20,18200,818,530,32,70
Minnesota,5/22/20,19005,851,805,33,71
Minnesota,5/23/20,19845,861,840,10,72
Minnesota,5/24/20,20573,878,728,17,73
Minnesota,5/25/20,21315,890,742,12,74
Minnesota,5/26/20,21960,908,645,18,75
Minnesota,5/27/20,22464,942,504,34,76
Minnesota,5/28/20,22947,977,483,35,77
Minnesota,5/29/20,23531,1006,584,29,78
Minnesota,5/30/20,24190,1036,659,30,79
Minnesota,5/31/20,24850,1050,660,14,80
Minnesota,6/1/20,25208,1060,358,10,81
Minnesota,6/2/20,25508,1082,300,22,82
Minnesota,6/3/20,25870,1097,362,15,83
Minnesota,6/4/20,26273,1126,403,29,84
Minnesota,6/5/20,26980,1159,707,33,85
Minnesota,6/6/20,27501,1181,521,22,86
Minnesota,6/7/20,27886,1197,385,16,87
Minnesota,6/8/20,28224,1208,338,11,88
Minnesota,6/9/20,28523,1228,299,20,89
Minnesota,6/10/20,28869,1267,346,39,90
Minnesota,6/11/20,29316,1280,447,13,91
Minnesota,6/12/20,29795,1305,479,25,92
Minnesota,6/13/20,30172,1314,377,9,93
Minnesota,6/14/20,30471,1329,299,15,94
Minnesota,6/15/20,30693,1335,222,6,95
Minnesota,6/16/20,30882,1344,189,9,96
Minnesota,6/17/20,31296,1357,414,13,97
Minnesota,6/18/20,31675,1376,379,19,98
Minnesota,6/19/20,32031,1393,356,17,99
Minnesota,6/20/20,32467,1404,436,11,100
Minnesota,6/21/20,32920,1412,453,8,101
Minnesota,6/22/20,33227,1416,307,4,102
Minnesota,6/23/20,33469,1425,242,9,103
Minnesota,6/24/20,33763,1432,294,7,104
Minnesota,6/25/20,34123,1441,360,9,105
Minnesota,6/26/20,34616,1446,493,5,106
Minnesota,6/27/20,35033,1452,417,6,107
Minnesota,6/28/20,35549,1460,516,8,108
Minnesota,6/29/20,35861,1470,312,10,109
Minnesota,6/30/20,36303,1476,442,6,110
Minnesota,7/1/20,36716,1482,413,6,111
Minnesota,7/2/20,37210,1495,494,13,112
Minnesota,7/3/20,37624,1503,414,8,113
Minnesota,7/4/20,37624,1503,0,0,114
Minnesota,7/5/20,38136,1508,512,5,115
