country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Malawi,4/22/20,23,3,5,1,1
Malawi,4/23/20,33,3,10,0,2
Malawi,4/24/20,33,3,0,0,3
Malawi,4/25/20,33,3,0,0,4
Malawi,4/26/20,34,3,1,0,5
Malawi,4/27/20,36,3,2,0,6
Malawi,4/28/20,36,3,0,0,7
Malawi,4/29/20,36,3,0,0,8
Malawi,4/30/20,37,3,1,0,9
Malawi,5/1/20,37,3,0,0,10
Malawi,5/2/20,38,3,1,0,11
Malawi,5/3/20,39,3,1,0,12
Malawi,5/4/20,41,3,2,0,13
Malawi,5/5/20,41,3,0,0,14
Malawi,5/6/20,43,3,2,0,15
Malawi,5/7/20,43,3,0,0,16
Malawi,5/8/20,43,3,0,0,17
Malawi,5/9/20,56,3,13,0,18
Malawi,5/10/20,56,3,0,0,19
Malawi,5/11/20,57,3,1,0,20
Malawi,5/12/20,57,3,0,0,21
Malawi,5/13/20,63,3,6,0,22
Malawi,5/14/20,63,3,0,0,23
Malawi,5/15/20,63,3,0,0,24
Malawi,5/16/20,65,3,2,0,25
Malawi,5/17/20,70,3,5,0,26
Malawi,5/18/20,70,3,0,0,27
Malawi,5/19/20,70,3,0,0,28
Malawi,5/20/20,71,3,1,0,29
Malawi,5/21/20,72,3,1,0,30
Malawi,5/22/20,82,3,10,0,31
Malawi,5/23/20,82,3,0,0,32
Malawi,5/24/20,83,4,1,1,33
Malawi,5/25/20,101,4,18,0,34
Malawi,5/26/20,101,4,0,0,35
Malawi,5/27/20,101,4,0,0,36
Malawi,5/28/20,203,4,102,0,37
Malawi,5/29/20,273,4,70,0,38
Malawi,5/30/20,279,4,6,0,39
Malawi,5/31/20,284,4,5,0,40
Malawi,6/1/20,336,4,52,0,41
Malawi,6/2/20,358,4,22,0,42
Malawi,6/3/20,369,4,11,0,43
Malawi,6/4/20,393,4,24,0,44
Malawi,6/5/20,409,4,16,0,45
Malawi,6/6/20,409,4,0,0,46
Malawi,6/7/20,438,4,29,0,47
Malawi,6/8/20,443,4,5,0,48
Malawi,6/9/20,455,4,12,0,49
Malawi,6/10/20,455,4,0,0,50
Malawi,6/11/20,481,4,26,0,51
Malawi,6/12/20,481,4,0,0,52
Malawi,6/13/20,529,5,48,1,53
Malawi,6/14/20,547,6,18,1,54
Malawi,6/15/20,555,6,8,0,55
Malawi,6/16/20,564,6,9,0,56
Malawi,6/17/20,572,6,8,0,57
Malawi,6/18/20,592,8,20,2,58
Malawi,6/19/20,620,8,28,0,59
Malawi,6/20/20,620,8,0,0,60
Malawi,6/21/20,730,11,110,3,61
Malawi,6/22/20,749,11,19,0,62
Malawi,6/23/20,803,11,54,0,63
Malawi,6/24/20,941,11,138,0,64
Malawi,6/25/20,960,12,19,1,65
Malawi,6/26/20,1005,13,45,1,66
Malawi,6/27/20,1038,13,33,0,67
Malawi,6/28/20,1146,13,108,0,68
Malawi,6/29/20,1152,13,6,0,69
Malawi,6/30/20,1224,14,72,1,70
Malawi,7/1/20,1265,16,41,2,71
Malawi,7/2/20,1342,16,77,0,72
Malawi,7/3/20,1498,16,156,0,73
Malawi,7/4/20,1613,17,115,1,74
Malawi,7/5/20,1613,17,0,0,75
Malawi,7/6/20,1742,19,129,2,76
Malawi,7/7/20,1818,19,76,0,77
Malawi,7/8/20,1864,24,46,5,78
Malawi,7/9/20,1942,25,78,1,79
Malawi,7/10/20,2069,31,127,6,80
Malawi,7/11/20,2261,33,192,2,81
Malawi,7/12/20,2364,38,103,5,82
Malawi,7/13/20,2430,39,66,1,83
Malawi,7/14/20,2497,40,67,1,84
Malawi,7/15/20,2614,43,117,3,85
Malawi,7/16/20,2712,51,98,8,86
Malawi,7/17/20,2805,55,93,4,87
Malawi,7/18/20,2810,55,5,0,88
Malawi,7/19/20,2907,59,97,4,89
Malawi,7/20/20,2992,62,85,3,90
Malawi,7/21/20,3045,64,53,2,91
Malawi,7/22/20,3302,76,257,12,92
Malawi,7/23/20,3302,76,0,0,93
Malawi,7/24/20,3453,87,151,11,94
Malawi,7/25/20,3453,87,0,0,95
Malawi,7/26/20,3640,99,187,12,96
Malawi,7/27/20,3664,99,24,0,97
Malawi,7/28/20,3709,103,45,4,98
Malawi,7/29/20,3738,103,29,0,99
Malawi,7/30/20,3858,107,120,4,100
Malawi,7/31/20,4078,114,220,7,101
Malawi,8/1/20,4186,120,108,6,102
Malawi,8/2/20,4231,123,45,3,103
Malawi,8/3/20,4272,123,41,0,104
Malawi,8/4/20,4361,128,89,5,105
Malawi,8/5/20,4426,136,65,8,106
Malawi,8/6/20,4491,137,65,1,107
Malawi,8/7/20,4575,137,84,0,108
Malawi,8/8/20,4624,143,49,6,109
Malawi,8/9/20,4658,146,34,3,110
Malawi,8/10/20,4674,146,16,0,111
Malawi,8/11/20,4714,152,40,6,112
Malawi,8/12/20,4752,152,38,0,113
Malawi,8/13/20,4912,153,160,1,114
Malawi,8/14/20,4988,156,76,3,115
Malawi,8/15/20,5026,157,38,1,116
Malawi,8/16/20,5072,161,46,4,117
Malawi,8/17/20,5125,162,53,1,118
Malawi,8/18/20,5193,163,68,1,119
Malawi,8/19/20,5240,164,47,1,120
Malawi,8/20/20,5282,165,42,1,121
Malawi,8/21/20,5322,166,40,1,122
Malawi,8/22/20,5382,168,60,2,123
Malawi,8/23/20,5414,168,32,0,124
Malawi,8/24/20,5419,169,5,1,125
Malawi,8/25/20,5423,170,4,1,126
Malawi,8/26/20,5474,173,51,3,127
Malawi,8/27/20,5496,173,22,0,128
Malawi,8/28/20,5523,174,27,1,129
Malawi,8/29/20,5528,174,5,0,130
Malawi,8/30/20,5536,174,8,0,131
Malawi,8/31/20,5566,175,30,1,132
Malawi,9/1/20,5576,175,10,0,133
Malawi,9/2/20,5579,175,3,0,134
Malawi,9/3/20,5593,175,14,0,135
Malawi,9/4/20,5608,175,15,0,136
Malawi,9/5/20,5611,175,3,0,137
Malawi,9/6/20,5614,175,3,0,138
Malawi,9/7/20,5621,176,7,1,139
Malawi,9/8/20,5630,176,9,0,140
Malawi,9/9/20,5653,176,23,0,141
Malawi,9/10/20,5655,176,2,0,142
Malawi,9/11/20,5669,177,14,1,143
Malawi,9/12/20,5678,177,9,0,144
Malawi,9/13/20,5690,177,12,0,145
Malawi,9/14/20,5697,178,7,1,146
Malawi,9/15/20,5701,178,4,0,147
Malawi,9/16/20,5704,178,3,0,148
Malawi,9/17/20,5711,179,7,1,149
Malawi,9/18/20,5716,179,5,0,150
Malawi,9/19/20,5718,179,2,0,151
Malawi,9/20/20,5731,179,13,0,152
Malawi,9/21/20,5733,179,2,0,153
Malawi,9/22/20,5739,179,6,0,154
Malawi,9/23/20,5746,179,7,0,155
Malawi,9/24/20,5747,179,1,0,156
Malawi,9/25/20,5764,179,17,0,157
Malawi,9/26/20,5766,179,2,0,158
Malawi,9/27/20,5768,179,2,0,159
Malawi,9/28/20,5770,179,2,0,160
Malawi,9/29/20,5772,179,2,0,161
Malawi,9/30/20,5773,179,1,0,162
Malawi,10/1/20,5779,179,6,0,163
Malawi,10/2/20,5783,179,4,0,164
Malawi,10/3/20,5783,179,0,0,165
Malawi,10/4/20,5786,179,3,0,166
Malawi,10/5/20,5794,180,8,1,167
Malawi,10/6/20,5796,180,2,0,168
Malawi,10/7/20,5803,180,7,0,169
Malawi,10/8/20,5809,180,6,0,170
Malawi,10/9/20,5813,180,4,0,171
Malawi,10/10/20,5821,180,8,0,172
Malawi,10/11/20,5821,180,0,0,173
Malawi,10/12/20,5824,180,3,0,174
Malawi,10/13/20,5827,181,3,1,175
Malawi,10/14/20,5829,181,2,0,176
Malawi,10/15/20,5836,181,7,0,177
Malawi,10/16/20,5842,181,6,0,178
Malawi,10/17/20,5852,181,10,0,179
Malawi,10/18/20,5857,181,5,0,180
Malawi,10/19/20,5860,181,3,0,181
Malawi,10/20/20,5861,182,1,1,182
Malawi,10/21/20,5864,183,3,1,183
Malawi,10/22/20,5874,183,10,0,184
Malawi,10/23/20,5885,183,11,0,185
Malawi,10/24/20,5887,183,2,0,186
Malawi,10/25/20,5890,183,3,0,187
Malawi,10/26/20,5894,183,4,0,188
Malawi,10/27/20,5897,183,3,0,189
Malawi,10/28/20,5904,184,7,1,190
Malawi,10/29/20,5916,184,12,0,191
Malawi,10/30/20,5923,184,7,0,192
Malawi,10/31/20,5930,184,7,0,193
Malawi,11/1/20,5932,184,2,0,194
Malawi,11/2/20,5933,184,1,0,195
Malawi,11/3/20,5934,184,1,0,196
Malawi,11/4/20,5934,184,0,0,197
Malawi,11/5/20,5940,184,6,0,198
Malawi,11/6/20,5942,184,2,0,199
Malawi,11/7/20,5948,184,6,0,200
Malawi,11/8/20,5951,184,3,0,201
Malawi,11/9/20,5953,185,2,1,202
Malawi,11/10/20,5953,185,0,0,203
Malawi,11/11/20,5955,185,2,0,204
Malawi,11/12/20,5958,185,3,0,205
Malawi,11/13/20,5962,185,4,0,206
Malawi,11/14/20,5964,185,2,0,207
Malawi,11/15/20,5965,185,1,0,208
Malawi,11/16/20,5971,185,6,0,209
Malawi,11/17/20,5971,185,0,0,210
Malawi,11/18/20,5999,185,28,0,211
Malawi,11/19/20,6002,185,3,0,212
Malawi,11/20/20,6003,185,1,0,213
Malawi,11/21/20,6003,185,0,0,214
Malawi,11/22/20,6003,185,0,0,215
Malawi,11/23/20,6009,185,6,0,216
Malawi,11/24/20,6017,185,8,0,217
Malawi,11/25/20,6018,185,1,0,218
Malawi,11/26/20,6020,185,2,0,219
Malawi,11/27/20,6024,185,4,0,220
Malawi,11/28/20,6025,185,1,0,221
Malawi,11/29/20,6025,185,0,0,222
Malawi,11/30/20,6028,185,3,0,223
Malawi,12/1/20,6028,185,0,0,224
Malawi,12/2/20,6040,185,12,0,225
Malawi,12/3/20,6043,185,3,0,226
Malawi,12/4/20,6047,185,4,0,227
Malawi,12/5/20,6049,185,2,0,228
Malawi,12/6/20,6051,185,2,0,229
Malawi,12/7/20,6051,185,0,0,230
Malawi,12/8/20,6051,186,0,1,231
Malawi,12/9/20,6051,186,0,0,232
Malawi,12/10/20,6051,186,0,0,233
Malawi,12/11/20,6055,186,4,0,234
Malawi,12/12/20,6063,186,8,0,235
Malawi,12/13/20,6066,187,3,1,236
Malawi,12/14/20,6070,187,4,0,237
Malawi,12/15/20,6080,187,10,0,238
Malawi,12/16/20,6091,187,11,0,239
Malawi,12/17/20,6138,187,47,0,240
Malawi,12/18/20,6148,187,10,0,241
Malawi,12/19/20,6153,187,5,0,242
Malawi,12/20/20,6161,187,8,0,243
Malawi,12/21/20,6202,187,41,0,244
Malawi,12/22/20,6248,187,46,0,245
Malawi,12/23/20,6261,187,13,0,246
Malawi,12/24/20,6277,187,16,0,247
Malawi,12/25/20,6339,187,62,0,248
Malawi,12/26/20,6343,188,4,1,249
Malawi,12/27/20,6354,188,11,0,250
Malawi,12/28/20,6377,188,23,0,251
