country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Rwanda,3/23/20,36,0,17,0,1
Rwanda,3/24/20,40,0,4,0,2
Rwanda,3/25/20,41,0,1,0,3
Rwanda,3/26/20,50,0,9,0,4
Rwanda,3/27/20,54,0,4,0,5
Rwanda,3/28/20,60,0,6,0,6
Rwanda,3/29/20,70,0,10,0,7
Rwanda,3/30/20,70,0,0,0,8
Rwanda,3/31/20,75,0,5,0,9
Rwanda,4/1/20,82,0,7,0,10
Rwanda,4/2/20,84,0,2,0,11
Rwanda,4/3/20,89,0,5,0,12
Rwanda,4/4/20,102,0,13,0,13
Rwanda,4/5/20,104,0,2,0,14
Rwanda,4/6/20,105,0,1,0,15
Rwanda,4/7/20,105,0,0,0,16
Rwanda,4/8/20,110,0,5,0,17
Rwanda,4/9/20,110,0,0,0,18
Rwanda,4/10/20,118,0,8,0,19
Rwanda,4/11/20,120,0,2,0,20
Rwanda,4/12/20,126,0,6,0,21
Rwanda,4/13/20,127,0,1,0,22
Rwanda,4/14/20,134,0,7,0,23
Rwanda,4/15/20,136,0,2,0,24
Rwanda,4/16/20,138,0,2,0,25
Rwanda,4/17/20,143,0,5,0,26
Rwanda,4/18/20,144,0,1,0,27
Rwanda,4/19/20,147,0,3,0,28
Rwanda,4/20/20,147,0,0,0,29
Rwanda,4/21/20,150,0,3,0,30
Rwanda,4/22/20,153,0,3,0,31
Rwanda,4/23/20,154,0,1,0,32
Rwanda,4/24/20,176,0,22,0,33
Rwanda,4/25/20,183,0,7,0,34
Rwanda,4/26/20,191,0,8,0,35
Rwanda,4/27/20,207,0,16,0,36
Rwanda,4/28/20,212,0,5,0,37
Rwanda,4/29/20,225,0,13,0,38
Rwanda,4/30/20,243,0,18,0,39
Rwanda,5/1/20,249,0,6,0,40
Rwanda,5/2/20,255,0,6,0,41
Rwanda,5/3/20,259,0,4,0,42
Rwanda,5/4/20,261,0,2,0,43
Rwanda,5/5/20,261,0,0,0,44
Rwanda,5/6/20,268,0,7,0,45
Rwanda,5/7/20,271,0,3,0,46
Rwanda,5/8/20,273,0,2,0,47
Rwanda,5/9/20,280,0,7,0,48
Rwanda,5/10/20,284,0,4,0,49
Rwanda,5/11/20,285,0,1,0,50
Rwanda,5/12/20,286,0,1,0,51
Rwanda,5/13/20,287,0,1,0,52
Rwanda,5/14/20,287,0,0,0,53
Rwanda,5/15/20,287,0,0,0,54
Rwanda,5/16/20,289,0,2,0,55
Rwanda,5/17/20,292,0,3,0,56
Rwanda,5/18/20,297,0,5,0,57
Rwanda,5/19/20,308,0,11,0,58
Rwanda,5/20/20,314,0,6,0,59
Rwanda,5/21/20,320,0,6,0,60
Rwanda,5/22/20,321,0,1,0,61
Rwanda,5/23/20,325,0,4,0,62
Rwanda,5/24/20,327,0,2,0,63
Rwanda,5/25/20,336,0,9,0,64
Rwanda,5/26/20,339,0,3,0,65
Rwanda,5/27/20,346,0,7,0,66
Rwanda,5/28/20,349,0,3,0,67
Rwanda,5/29/20,355,0,6,0,68
Rwanda,5/30/20,359,1,4,1,69
Rwanda,5/31/20,370,1,11,0,70
Rwanda,6/1/20,377,1,7,0,71
Rwanda,6/2/20,384,2,7,1,72
Rwanda,6/3/20,397,2,13,0,73
Rwanda,6/4/20,410,2,13,0,74
Rwanda,6/5/20,420,2,10,0,75
Rwanda,6/6/20,431,2,11,0,76
Rwanda,6/7/20,439,2,8,0,77
Rwanda,6/8/20,451,2,12,0,78
Rwanda,6/9/20,463,2,12,0,79
Rwanda,6/10/20,476,2,13,0,80
Rwanda,6/11/20,494,2,18,0,81
Rwanda,6/12/20,510,2,16,0,82
Rwanda,6/13/20,541,2,31,0,83
Rwanda,6/14/20,582,2,41,0,84
Rwanda,6/15/20,612,2,30,0,85
Rwanda,6/16/20,636,2,24,0,86
Rwanda,6/17/20,639,2,3,0,87
Rwanda,6/18/20,646,2,7,0,88
Rwanda,6/19/20,661,2,15,0,89
Rwanda,6/20/20,702,2,41,0,90
Rwanda,6/21/20,728,2,26,0,91
Rwanda,6/22/20,787,2,59,0,92
Rwanda,6/23/20,798,2,11,0,93
Rwanda,6/24/20,830,2,32,0,94
Rwanda,6/25/20,850,2,20,0,95
Rwanda,6/26/20,858,2,8,0,96
Rwanda,6/27/20,878,2,20,0,97
Rwanda,6/28/20,900,2,22,0,98
Rwanda,6/29/20,1001,2,101,0,99
Rwanda,6/30/20,1025,2,24,0,100
Rwanda,7/1/20,1042,3,17,1,101
Rwanda,7/2/20,1063,3,21,0,102
Rwanda,7/3/20,1081,3,18,0,103
Rwanda,7/4/20,1092,3,11,0,104
Rwanda,7/5/20,1105,3,13,0,105
Rwanda,7/6/20,1113,3,8,0,106
Rwanda,7/7/20,1172,3,59,0,107
Rwanda,7/8/20,1194,3,22,0,108
Rwanda,7/9/20,1210,3,16,0,109
Rwanda,7/10/20,1252,3,42,0,110
Rwanda,7/11/20,1299,4,47,1,111
Rwanda,7/12/20,1337,4,38,0,112
Rwanda,7/13/20,1378,4,41,0,113
Rwanda,7/14/20,1416,4,38,0,114
Rwanda,7/15/20,1435,4,19,0,115
Rwanda,7/16/20,1473,4,38,0,116
Rwanda,7/17/20,1485,4,12,0,117
Rwanda,7/18/20,1539,5,54,1,118
Rwanda,7/19/20,1582,5,43,0,119
Rwanda,7/20/20,1629,5,47,0,120
Rwanda,7/21/20,1655,5,26,0,121
Rwanda,7/22/20,1689,5,34,0,122
Rwanda,7/23/20,1710,5,21,0,123
