country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Pakistan,3/12/20,28,0,8,0,1
Pakistan,3/13/20,31,0,3,0,2
Pakistan,3/14/20,53,0,22,0,3
Pakistan,3/15/20,136,0,83,0,4
Pakistan,3/16/20,236,0,100,0,5
Pakistan,3/17/20,299,0,63,0,6
Pakistan,3/18/20,454,2,155,2,7
Pakistan,3/19/20,501,3,47,1,8
Pakistan,3/20/20,730,3,229,0,9
Pakistan,3/21/20,776,5,46,2,10
Pakistan,3/22/20,875,6,99,1,11
Pakistan,3/23/20,972,7,97,1,12
Pakistan,3/24/20,1063,8,91,1,13
Pakistan,3/25/20,1201,9,138,1,14
Pakistan,3/26/20,1373,11,172,2,15
Pakistan,3/27/20,1495,12,122,1,16
Pakistan,3/28/20,1597,14,102,2,17
Pakistan,3/29/20,1717,21,120,7,18
Pakistan,3/30/20,1938,26,221,5,19
Pakistan,3/31/20,2118,27,180,1,20
Pakistan,4/1/20,2421,34,303,7,21
Pakistan,4/2/20,2686,40,265,6,22
Pakistan,4/3/20,2818,41,132,1,23
Pakistan,4/4/20,3157,47,339,6,24
Pakistan,4/5/20,3766,53,609,6,25
Pakistan,4/6/20,4035,57,269,4,26
Pakistan,4/7/20,4263,61,228,4,27
Pakistan,4/8/20,4489,65,226,4,28
Pakistan,4/9/20,4695,66,206,1,29
Pakistan,4/10/20,5011,86,316,20,30
Pakistan,4/11/20,5230,91,219,5,31
Pakistan,4/12/20,5496,93,266,2,32
Pakistan,4/13/20,5837,96,341,3,33
Pakistan,4/14/20,6383,111,546,15,34
Pakistan,4/15/20,6919,128,536,17,35
Pakistan,4/16/20,7025,135,106,7,36
Pakistan,4/17/20,7638,143,613,8,37
Pakistan,4/18/20,8348,168,710,25,38
Pakistan,4/19/20,8418,176,70,8,39
Pakistan,4/20/20,9565,201,1147,25,40
Pakistan,4/21/20,10076,212,511,11,41
Pakistan,4/22/20,11155,237,1079,25,42
Pakistan,4/23/20,11940,253,785,16,43
Pakistan,4/24/20,12723,269,783,16,44
Pakistan,4/25/20,13328,281,605,12,45
Pakistan,4/26/20,13915,292,587,11,46
Pakistan,4/27/20,14612,312,697,20,47
Pakistan,4/28/20,15525,343,913,31,48
Pakistan,4/29/20,16817,385,1292,42,49
Pakistan,4/30/20,18114,417,1297,32,50
Pakistan,5/1/20,19103,440,989,23,51
Pakistan,5/2/20,20084,457,981,17,52
Pakistan,5/3/20,20941,476,857,19,53
Pakistan,5/4/20,22049,514,1108,38,54
Pakistan,5/5/20,24073,564,2024,50,55
Pakistan,5/6/20,24644,585,571,21,56
Pakistan,5/7/20,26435,599,1791,14,57
Pakistan,5/8/20,28736,636,2301,37,58
Pakistan,5/9/20,30334,659,1598,23,59
Pakistan,5/10/20,32081,706,1747,47,60
Pakistan,5/11/20,34336,737,2255,31,61
Pakistan,5/12/20,35298,761,962,24,62
Pakistan,5/13/20,35788,770,490,9,63
Pakistan,5/14/20,38799,834,3011,64,64
Pakistan,5/15/20,38799,834,0,0,65
Pakistan,5/16/20,40151,873,1352,39,66
Pakistan,5/17/20,42125,903,1974,30,67
Pakistan,5/18/20,43966,939,1841,36,68
Pakistan,5/19/20,45898,985,1932,46,69
Pakistan,5/20/20,48091,1017,2193,32,70
Pakistan,5/21/20,50694,1067,2603,50,71
Pakistan,5/22/20,52437,1101,1743,34,72
Pakistan,5/23/20,54601,1133,2164,32,73
Pakistan,5/24/20,56349,1167,1748,34,74
Pakistan,5/25/20,57705,1197,1356,30,75
Pakistan,5/26/20,59151,1225,1446,28,76
Pakistan,5/27/20,61227,1260,2076,35,77
Pakistan,5/28/20,64028,1317,2801,57,78
Pakistan,5/29/20,66457,1395,2429,78,79
Pakistan,5/30/20,69496,1483,3039,88,80
Pakistan,5/31/20,72460,1543,2964,60,81
Pakistan,6/1/20,76398,1621,3938,78,82
Pakistan,6/2/20,80463,1688,4065,67,83
Pakistan,6/3/20,85264,1770,4801,82,84
Pakistan,6/4/20,89249,1838,3985,68,85
Pakistan,6/5/20,93983,1935,4734,97,86
Pakistan,6/6/20,98943,2002,4960,67,87
Pakistan,6/7/20,103671,2067,4728,65,88
Pakistan,6/8/20,108317,2172,4646,105,89
Pakistan,6/9/20,113702,2255,5385,83,90
Pakistan,6/10/20,119536,2356,5834,101,91
Pakistan,6/11/20,125933,2463,6397,107,92
Pakistan,6/12/20,125933,2463,0,0,93
Pakistan,6/13/20,132405,2551,6472,88,94
Pakistan,6/14/20,144478,2729,12073,178,95
Pakistan,6/15/20,148921,2839,4443,110,96
Pakistan,6/16/20,154760,2975,5839,136,97
Pakistan,6/17/20,160118,3093,5358,118,98
Pakistan,6/18/20,165062,3229,4944,136,99
Pakistan,6/19/20,171666,3382,6604,153,100
Pakistan,6/20/20,176617,3501,4951,119,101
Pakistan,6/21/20,181088,3590,4471,89,102
Pakistan,6/22/20,185034,3695,3946,105,103
Pakistan,6/23/20,188926,3755,3892,60,104
Pakistan,6/24/20,192970,3903,4044,148,105
Pakistan,6/25/20,195745,3962,2775,59,106
Pakistan,6/26/20,198883,4035,3138,73,107
Pakistan,6/27/20,202955,4118,4072,83,108
Pakistan,6/28/20,206512,4167,3557,49,109
Pakistan,6/29/20,209337,4304,2825,137,110
Pakistan,6/30/20,213470,4395,4133,91,111
Pakistan,7/1/20,217809,4473,4339,78,112
Pakistan,7/2/20,221896,4551,4087,78,113
Pakistan,7/3/20,221896,4551,0,0,114
Pakistan,7/4/20,225283,4619,3387,68,115
Pakistan,7/5/20,231818,4762,6535,143,116
Pakistan,7/6/20,234509,4839,2691,77,117
Pakistan,7/7/20,237489,4922,2980,83,118
Pakistan,7/8/20,240848,4983,3359,61,119
Pakistan,7/9/20,243599,5058,2751,75,120
Pakistan,7/10/20,246351,5123,2752,65,121
Pakistan,7/11/20,248872,5197,2521,74,122
Pakistan,7/12/20,251625,5266,2753,69,123
Pakistan,7/13/20,253604,5320,1979,54,124
Pakistan,7/14/20,255769,5386,2165,66,125
Pakistan,7/15/20,257914,5426,2145,40,126
Pakistan,7/16/20,257914,5426,0,0,127
Pakistan,7/17/20,261917,5522,4003,96,128
Pakistan,7/18/20,263496,5568,1579,46,129
Pakistan,7/19/20,265083,5599,1587,31,130
Pakistan,7/20/20,266096,5639,1013,40,131
Pakistan,7/21/20,267428,5677,1332,38,132
Pakistan,7/22/20,269191,5709,1763,32,133
Pakistan,7/23/20,270400,5763,1209,54,134
Pakistan,7/24/20,271887,5787,1487,24,135
Pakistan,7/25/20,273113,5822,1226,35,136
Pakistan,7/26/20,273113,5822,0,0,137
Pakistan,7/27/20,274289,5842,1176,20,138
Pakistan,7/28/20,275225,5865,936,23,139
Pakistan,7/29/20,276288,5892,1063,27,140
Pakistan,7/30/20,277402,5924,1114,32,141
Pakistan,7/31/20,278305,5951,903,27,142
Pakistan,8/1/20,278305,5951,0,0,143
Pakistan,8/2/20,279699,5976,1394,25,144
Pakistan,8/3/20,280461,5999,762,23,145
Pakistan,8/4/20,280461,5999,0,0,146
Pakistan,8/5/20,281136,6014,675,15,147
Pakistan,8/6/20,281863,6035,727,21,148
Pakistan,8/7/20,282645,6052,782,17,149
Pakistan,8/8/20,283487,6068,842,16,150
Pakistan,8/9/20,284121,6082,634,14,151
Pakistan,8/10/20,284660,6097,539,15,152
Pakistan,8/11/20,285191,6112,531,15,153
Pakistan,8/12/20,285921,6129,730,17,154
Pakistan,8/13/20,286674,6139,753,10,155
Pakistan,8/14/20,287300,6153,626,14,156
Pakistan,8/15/20,288047,6162,747,9,157
Pakistan,8/16/20,289215,6175,1168,13,158
Pakistan,8/17/20,289215,6175,0,0,159
Pakistan,8/18/20,289832,6190,617,15,160
Pakistan,8/19/20,290445,6201,613,11,161
Pakistan,8/20/20,290958,6209,513,8,162
Pakistan,8/21/20,291588,6219,630,10,163
Pakistan,8/22/20,292174,6231,586,12,164
Pakistan,8/23/20,293261,6244,1087,13,165
Pakistan,8/24/20,293261,6244,0,0,166
Pakistan,8/25/20,293711,6255,450,11,167
Pakistan,8/26/20,294193,6267,482,12,168
Pakistan,8/27/20,294638,6274,445,7,169
Pakistan,8/28/20,295053,6283,415,9,170
Pakistan,8/29/20,295372,6284,319,1,171
Pakistan,8/30/20,295636,6288,264,4,172
Pakistan,8/31/20,295849,6294,213,6,173
Pakistan,9/1/20,296149,6298,300,4,174
Pakistan,9/2/20,297014,6328,865,30,175
Pakistan,9/3/20,297512,6335,498,7,176
Pakistan,9/4/20,298025,6340,513,5,177
Pakistan,9/5/20,298025,6340,0,0,178
Pakistan,9/6/20,298903,6345,878,5,179
Pakistan,9/7/20,299233,6350,330,5,180
Pakistan,9/8/20,299659,6359,426,9,181
Pakistan,9/9/20,300030,6365,371,6,182
Pakistan,9/10/20,300371,6370,341,5,183
Pakistan,9/11/20,300955,6373,584,3,184
Pakistan,9/12/20,301481,6379,526,6,185
Pakistan,9/13/20,302020,6383,539,4,186
Pakistan,9/14/20,302424,6389,404,6,187
Pakistan,9/15/20,303089,6393,665,4,188
Pakistan,9/16/20,303634,6399,545,6,189
Pakistan,9/17/20,304386,6408,752,9,190
Pakistan,9/18/20,305031,6415,645,7,191
Pakistan,9/19/20,305671,6416,640,1,192
Pakistan,9/20/20,306304,6420,633,4,193
Pakistan,9/21/20,306886,6424,582,4,194
Pakistan,9/22/20,307418,6432,532,8,195
Pakistan,9/23/20,308217,6437,799,5,196
Pakistan,9/24/20,309015,6444,798,7,197
Pakistan,9/25/20,309581,6451,566,7,198
Pakistan,9/26/20,310275,6457,694,6,199
Pakistan,9/27/20,310841,6466,566,9,200
Pakistan,9/28/20,311516,6474,675,8,201
Pakistan,9/29/20,312263,6479,747,5,202
Pakistan,9/30/20,312806,6484,543,5,203
Pakistan,10/1/20,313431,6499,625,15,204
Pakistan,10/2/20,313984,6507,553,8,205
Pakistan,10/3/20,314616,6513,632,6,206
Pakistan,10/4/20,314616,6513,0,0,207
Pakistan,10/5/20,315727,6523,1111,10,208
Pakistan,10/6/20,316351,6535,624,12,209
Pakistan,10/7/20,316934,6544,583,9,210
Pakistan,10/8/20,317595,6552,661,8,211
Pakistan,10/9/20,318266,6558,671,6,212
Pakistan,10/10/20,318932,6570,666,12,213
Pakistan,10/11/20,319317,6580,385,10,214
Pakistan,10/12/20,319848,6588,531,8,215
Pakistan,10/13/20,320463,6601,615,13,216
Pakistan,10/14/20,321218,6614,755,13,217
Pakistan,10/15/20,321877,6621,659,7,218
Pakistan,10/16/20,322452,6638,575,17,219
Pakistan,10/17/20,323019,6654,567,16,220
Pakistan,10/18/20,323452,6659,433,5,221
Pakistan,10/19/20,324034,6673,582,14,222
Pakistan,10/20/20,324744,6692,710,19,223
