state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Iowa,3/11/20,13,0,5,0,1
Iowa,3/12/20,14,0,1,0,2
Iowa,3/13/20,17,0,3,0,3
Iowa,3/14/20,17,0,0,0,4
Iowa,3/15/20,18,0,1,0,5
Iowa,3/16/20,23,0,5,0,6
Iowa,3/17/20,23,0,0,0,7
Iowa,3/18/20,38,0,15,0,8
Iowa,3/19/20,44,0,6,0,9
Iowa,3/20/20,45,0,1,0,10
Iowa,3/21/20,69,0,24,0,11
Iowa,3/22/20,90,0,21,0,12
Iowa,3/23/20,105,0,15,0,13
Iowa,3/24/20,124,0,19,0,14
Iowa,3/25/20,146,1,22,1,15
Iowa,3/26/20,179,1,33,0,16
Iowa,3/27/20,235,3,56,2,17
Iowa,3/28/20,298,3,63,0,18
Iowa,3/29/20,336,4,38,1,19
Iowa,3/30/20,424,6,88,2,20
Iowa,3/31/20,497,7,73,1,21
Iowa,4/1/20,547,9,50,2,22
Iowa,4/2/20,614,11,67,2,23
Iowa,4/3/20,699,11,85,0,24
Iowa,4/4/20,787,14,88,3,25
Iowa,4/5/20,869,18,82,4,26
Iowa,4/6/20,946,25,77,7,27
Iowa,4/7/20,1046,25,100,0,28
Iowa,4/8/20,1145,27,99,2,29
Iowa,4/9/20,1270,29,125,2,30
Iowa,4/10/20,1388,31,118,2,31
Iowa,4/11/20,1510,34,122,3,32
Iowa,4/12/20,1587,41,77,7,33
Iowa,4/13/20,1710,41,123,0,34
Iowa,4/14/20,1899,49,189,8,35
Iowa,4/15/20,1995,53,96,4,36
Iowa,4/16/20,2141,60,146,7,37
Iowa,4/17/20,2332,64,191,4,38
Iowa,4/18/20,2513,74,181,10,39
Iowa,4/19/20,2902,75,389,1,40
Iowa,4/20/20,3159,79,257,4,41
Iowa,4/21/20,3641,83,482,4,42
Iowa,4/22/20,3748,90,107,7,43
Iowa,4/23/20,3924,96,176,6,44
Iowa,4/24/20,4445,107,521,11,45
Iowa,4/25/20,5092,112,647,5,46
Iowa,4/26/20,5476,118,384,6,47
Iowa,4/27/20,5868,127,392,9,48
Iowa,4/28/20,6376,136,508,9,49
Iowa,4/29/20,6843,148,467,12,50
Iowa,4/30/20,7145,162,302,14,51
Iowa,5/1/20,7884,170,739,8,52
Iowa,5/2/20,8643,175,759,5,53
Iowa,5/3/20,9175,184,532,9,54
Iowa,5/4/20,9703,188,528,4,55
Iowa,5/5/20,10111,207,408,19,56
Iowa,5/6/20,10404,219,293,12,57
Iowa,5/7/20,11059,231,655,12,58
Iowa,5/8/20,11457,243,398,12,59
Iowa,5/9/20,11671,252,214,9,60
Iowa,5/10/20,11959,265,288,13,61
Iowa,5/11/20,12373,271,414,6,62
Iowa,5/12/20,12912,289,539,18,63
Iowa,5/13/20,13289,306,377,17,64
Iowa,5/14/20,13675,318,386,12,65
Iowa,5/15/20,14049,336,374,18,66
Iowa,5/16/20,14328,346,279,10,67
Iowa,5/17/20,14651,351,323,5,68
Iowa,5/18/20,14955,355,304,4,69
Iowa,5/19/20,15296,367,341,12,70
Iowa,5/20/20,15620,393,324,26,71
Iowa,5/21/20,16170,410,550,17,72
Iowa,5/22/20,16492,424,322,14,73
Iowa,5/23/20,16898,446,406,22,74
Iowa,5/24/20,17251,456,353,10,75
Iowa,5/25/20,17557,456,306,0,76
Iowa,5/26/20,17703,477,146,21,77
Iowa,5/27/20,18369,496,666,19,78
Iowa,5/28/20,18586,506,217,10,79
Iowa,5/29/20,18957,524,371,18,80
Iowa,5/30/20,19244,531,287,7,81
Iowa,5/31/20,19552,535,308,4,82
Iowa,6/1/20,19699,555,147,20,83
Iowa,6/2/20,20019,561,320,6,84
Iowa,6/3/20,20300,574,281,13,85
Iowa,6/4/20,20806,583,506,9,86
Iowa,6/5/20,21154,593,348,10,87
Iowa,6/6/20,21478,599,324,6,88
Iowa,6/7/20,21712,605,234,6,89
Iowa,6/8/20,22007,617,295,12,90
Iowa,6/9/20,22237,626,230,9,91
Iowa,6/10/20,22626,631,389,5,92
Iowa,6/11/20,22973,640,347,9,93
Iowa,6/12/20,23350,644,377,4,94
Iowa,6/13/20,23717,650,367,6,95
Iowa,6/14/20,23926,652,209,2,96
Iowa,6/15/20,24082,658,156,6,97
Iowa,6/16/20,24179,665,97,7,98
Iowa,6/17/20,24460,675,281,10,99
Iowa,6/18/20,24861,680,401,5,100
Iowa,6/19/20,25274,681,413,1,101
Iowa,6/20/20,25496,681,222,0,102
Iowa,6/21/20,25963,686,467,5,103
Iowa,6/22/20,26146,686,183,0,104
Iowa,6/23/20,26469,689,323,3,105
Iowa,6/24/20,26601,690,132,1,106
Iowa,6/25/20,27373,696,772,6,107
Iowa,6/26/20,27717,704,344,8,108
Iowa,6/27/20,28073,704,356,0,109
Iowa,6/28/20,28520,706,447,2,110
Iowa,6/29/20,28845,711,325,5,111
Iowa,6/30/20,29074,716,229,5,112
Iowa,7/1/20,29514,717,440,1,113
Iowa,7/2/20,30259,719,745,2,114
Iowa,7/3/20,30463,721,204,2,115
Iowa,7/4/20,31061,721,598,0,116
Iowa,7/5/20,31517,721,456,0,117
Iowa,7/6/20,31758,723,241,2,118
Iowa,7/7/20,32153,732,395,9,119
Iowa,7/8/20,32624,736,471,4,120
Iowa,7/9/20,33254,741,630,5,121
Iowa,7/10/20,34172,743,918,2,122
Iowa,7/11/20,34658,748,486,5,123
Iowa,7/12/20,35410,752,752,4,124
Iowa,7/13/20,35631,755,221,3,125
Iowa,7/14/20,35866,757,235,2,126
Iowa,7/15/20,36536,777,670,20,127
Iowa,7/16/20,37350,781,814,4,128
Iowa,7/17/20,37903,785,553,4,129
Iowa,7/18/20,38313,789,410,4,130
Iowa,7/19/20,38813,793,500,4,131
Iowa,7/20/20,39343,798,530,5,132
Iowa,7/21/20,39721,806,378,8,133
Iowa,7/22/20,40208,814,487,8,134
Iowa,7/23/20,40796,820,588,6,135
Iowa,7/24/20,41434,826,638,6,136
Iowa,7/25/20,41886,826,452,0,137
Iowa,7/26/20,42357,829,471,3,138
Iowa,7/27/20,42696,836,339,7,139
Iowa,7/28/20,42928,839,232,3,140
Iowa,7/29/20,43623,854,695,15,141
Iowa,7/30/20,44285,865,662,11,142
Iowa,7/31/20,44753,872,468,7,143
Iowa,8/1/20,45293,874,540,2,144
Iowa,8/2/20,45723,878,430,4,145
Iowa,8/3/20,45905,884,182,6,146
Iowa,8/4/20,46231,888,326,4,147
Iowa,8/5/20,46836,900,605,12,148
Iowa,8/6/20,47559,912,723,12,149
Iowa,8/7/20,48040,915,481,3,150
Iowa,8/8/20,48535,927,495,12,151
Iowa,8/9/20,48919,931,384,4,152
Iowa,8/10/20,49165,934,246,3,153
Iowa,8/11/20,49521,946,356,12,154
Iowa,8/12/20,49973,953,452,7,155
Iowa,8/13/20,50373,960,400,7,156
Iowa,8/14/20,51247,970,874,10,157
Iowa,8/15/20,52065,975,818,5,158
Iowa,8/16/20,52447,975,382,0,159
Iowa,8/17/20,52829,987,382,12,160
Iowa,8/18/20,53201,1002,372,15,161
Iowa,8/19/20,53523,1010,322,8,162
Iowa,8/20/20,54533,1016,1010,6,163
Iowa,8/21/20,55331,1029,798,13,164
Iowa,8/22/20,55996,1033,665,4,165
Iowa,8/23/20,56446,1037,450,4,166
Iowa,8/24/20,56909,1047,463,10,167
Iowa,8/25/20,57606,1059,697,12,168
Iowa,8/26/20,58807,1071,1201,12,169
Iowa,8/27/20,61488,1091,2681,20,170
Iowa,8/28/20,62828,1108,1340,17,171
Iowa,8/29/20,63612,1100,784,-8,172
Iowa,8/30/20,64599,1113,987,13,173
