country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Czechia,3/8/20,31,0,12,0,1
Czechia,3/9/20,31,0,0,0,2
Czechia,3/10/20,41,0,10,0,3
Czechia,3/11/20,91,0,50,0,4
Czechia,3/12/20,94,0,3,0,5
Czechia,3/13/20,141,0,47,0,6
Czechia,3/14/20,189,0,48,0,7
Czechia,3/15/20,253,0,64,0,8
Czechia,3/16/20,298,0,45,0,9
Czechia,3/17/20,396,0,98,0,10
Czechia,3/18/20,464,0,68,0,11
Czechia,3/19/20,694,0,230,0,12
Czechia,3/20/20,833,0,139,0,13
Czechia,3/21/20,995,0,162,0,14
Czechia,3/22/20,1120,1,125,1,15
Czechia,3/23/20,1236,1,116,0,16
Czechia,3/24/20,1394,3,158,2,17
Czechia,3/25/20,1654,6,260,3,18
Czechia,3/26/20,1925,9,271,3,19
Czechia,3/27/20,2279,9,354,0,20
Czechia,3/28/20,2631,11,352,2,21
Czechia,3/29/20,2817,16,186,5,22
Czechia,3/30/20,3001,23,184,7,23
Czechia,3/31/20,3308,31,307,8,24
Czechia,4/1/20,3508,39,200,8,25
Czechia,4/2/20,3858,44,350,5,26
Czechia,4/3/20,4091,53,233,9,27
Czechia,4/4/20,4472,59,381,6,28
Czechia,4/5/20,4587,67,115,8,29
Czechia,4/6/20,4822,78,235,11,30
Czechia,4/7/20,5017,88,195,10,31
Czechia,4/8/20,5312,99,295,11,32
Czechia,4/9/20,5569,112,257,13,33
Czechia,4/10/20,5732,119,163,7,34
Czechia,4/11/20,5831,129,99,10,35
Czechia,4/12/20,5991,138,160,9,36
Czechia,4/13/20,6059,143,68,5,37
Czechia,4/14/20,6111,161,52,18,38
Czechia,4/15/20,6216,166,105,5,39
Czechia,4/16/20,6433,169,217,3,40
Czechia,4/17/20,6549,173,116,4,41
Czechia,4/18/20,6606,181,57,8,42
Czechia,4/19/20,6746,186,140,5,43
Czechia,4/20/20,6900,194,154,8,44
Czechia,4/21/20,7033,201,133,7,45
Czechia,4/22/20,7132,208,99,7,46
Czechia,4/23/20,7187,210,55,2,47
Czechia,4/24/20,7273,214,86,4,48
Czechia,4/25/20,7352,218,79,4,49
Czechia,4/26/20,7404,220,52,2,50
Czechia,4/27/20,7445,223,41,3,51
Czechia,4/28/20,7504,227,59,4,52
Czechia,4/29/20,7579,227,75,0,53
Czechia,4/30/20,7682,236,103,9,54
Czechia,5/1/20,7737,240,55,4,55
Czechia,5/2/20,7755,245,18,5,56
Czechia,5/3/20,7781,248,26,3,57
Czechia,5/4/20,7819,252,38,4,58
Czechia,5/5/20,7896,257,77,5,59
Czechia,5/6/20,7974,262,78,5,60
Czechia,5/7/20,8031,270,57,8,61
Czechia,5/8/20,8077,273,46,3,62
Czechia,5/9/20,8095,276,18,3,63
Czechia,5/10/20,8123,280,28,4,64
Czechia,5/11/20,8176,282,53,2,65
Czechia,5/12/20,8221,283,45,1,66
Czechia,5/13/20,8269,290,48,7,67
Czechia,5/14/20,8351,293,82,3,68
Czechia,5/15/20,8406,295,55,2,69
Czechia,5/16/20,8455,296,49,1,70
Czechia,5/17/20,8475,298,20,2,71
Czechia,5/18/20,8586,297,111,-1,72
Czechia,5/19/20,8647,302,61,5,73
Czechia,5/20/20,8721,304,74,2,74
Czechia,5/21/20,8754,306,33,2,75
Czechia,5/22/20,8813,312,59,6,76
Czechia,5/23/20,8890,314,77,2,77
Czechia,5/24/20,8955,315,65,1,78
Czechia,5/25/20,9002,317,47,2,79
Czechia,5/26/20,9050,317,48,0,80
Czechia,5/27/20,9086,317,36,0,81
Czechia,5/28/20,9140,319,54,2,82
Czechia,5/29/20,9196,319,56,0,83
Czechia,5/30/20,9230,319,34,0,84
Czechia,5/31/20,9268,320,38,1,85
Czechia,6/1/20,9302,321,34,1,86
Czechia,6/2/20,9364,323,62,2,87
Czechia,6/3/20,9438,325,74,2,88
Czechia,6/4/20,9494,326,56,1,89
Czechia,6/5/20,9529,327,35,1,90
Czechia,6/6/20,9567,327,38,0,91
Czechia,6/7/20,9628,327,61,0,92
