country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Georgia,3/11/20,24,0,9,0,1
Georgia,3/12/20,24,0,0,0,2
Georgia,3/13/20,25,0,1,0,3
Georgia,3/14/20,30,0,5,0,4
Georgia,3/15/20,33,0,3,0,5
Georgia,3/16/20,33,0,0,0,6
Georgia,3/17/20,34,0,1,0,7
Georgia,3/18/20,38,0,4,0,8
Georgia,3/19/20,40,0,2,0,9
Georgia,3/20/20,43,0,3,0,10
Georgia,3/21/20,49,0,6,0,11
Georgia,3/22/20,54,0,5,0,12
Georgia,3/23/20,61,0,7,0,13
Georgia,3/24/20,70,0,9,0,14
Georgia,3/25/20,75,0,5,0,15
Georgia,3/26/20,79,0,4,0,16
Georgia,3/27/20,83,0,4,0,17
Georgia,3/28/20,90,0,7,0,18
Georgia,3/29/20,91,0,1,0,19
Georgia,3/30/20,103,0,12,0,20
Georgia,3/31/20,110,0,7,0,21
Georgia,4/1/20,117,0,7,0,22
Georgia,4/2/20,134,0,17,0,23
Georgia,4/3/20,155,0,21,0,24
Georgia,4/4/20,162,1,7,1,25
Georgia,4/5/20,174,2,12,1,26
Georgia,4/6/20,188,2,14,0,27
Georgia,4/7/20,196,3,8,1,28
Georgia,4/8/20,211,3,15,0,29
Georgia,4/9/20,218,3,7,0,30
Georgia,4/10/20,234,3,16,0,31
Georgia,4/11/20,242,3,8,0,32
Georgia,4/12/20,257,3,15,0,33
Georgia,4/13/20,272,3,15,0,34
Georgia,4/14/20,300,3,28,0,35
Georgia,4/15/20,306,3,6,0,36
Georgia,4/16/20,348,3,42,0,37
Georgia,4/17/20,370,3,22,0,38
Georgia,4/18/20,388,4,18,1,39
Georgia,4/19/20,394,4,6,0,40
Georgia,4/20/20,402,4,8,0,41
Georgia,4/21/20,408,4,6,0,42
Georgia,4/22/20,416,5,8,1,43
Georgia,4/23/20,425,5,9,0,44
Georgia,4/24/20,444,5,19,0,45
Georgia,4/25/20,456,5,12,0,46
Georgia,4/26/20,486,6,30,1,47
Georgia,4/27/20,497,6,11,0,48
Georgia,4/28/20,511,6,14,0,49
Georgia,4/29/20,517,6,6,0,50
Georgia,4/30/20,539,6,22,0,51
Georgia,5/1/20,566,7,27,1,52
Georgia,5/2/20,582,8,16,1,53
Georgia,5/3/20,589,9,7,1,54
Georgia,5/4/20,593,9,4,0,55
Georgia,5/5/20,604,9,11,0,56
Georgia,5/6/20,610,9,6,0,57
Georgia,5/7/20,615,9,5,0,58
Georgia,5/8/20,623,10,8,1,59
Georgia,5/9/20,626,10,3,0,60
Georgia,5/10/20,635,10,9,0,61
Georgia,5/11/20,638,11,3,1,62
Georgia,5/12/20,642,11,4,0,63
Georgia,5/13/20,647,11,5,0,64
Georgia,5/14/20,667,12,20,1,65
Georgia,5/15/20,671,12,4,0,66
Georgia,5/16/20,683,12,12,0,67
Georgia,5/17/20,695,12,12,0,68
Georgia,5/18/20,701,12,6,0,69
Georgia,5/19/20,707,12,6,0,70
Georgia,5/20/20,713,12,6,0,71
Georgia,5/21/20,721,12,8,0,72
Georgia,5/22/20,723,12,2,0,73
Georgia,5/23/20,728,12,5,0,74
Georgia,5/24/20,730,12,2,0,75
Georgia,5/25/20,731,12,1,0,76
Georgia,5/26/20,732,12,1,0,77
Georgia,5/27/20,735,12,3,0,78
Georgia,5/28/20,738,12,3,0,79
Georgia,5/29/20,746,12,8,0,80
Georgia,5/30/20,757,12,11,0,81
Georgia,5/31/20,783,12,26,0,82
Georgia,6/1/20,794,12,11,0,83
Georgia,6/2/20,796,13,2,1,84
Georgia,6/3/20,800,13,4,0,85
Georgia,6/4/20,801,13,1,0,86
Georgia,6/5/20,805,13,4,0,87
Georgia,6/6/20,808,13,3,0,88
Georgia,6/7/20,809,13,1,0,89
Georgia,6/8/20,812,13,3,0,90
Georgia,6/9/20,818,13,6,0,91
Georgia,6/10/20,827,13,9,0,92
Georgia,6/11/20,831,13,4,0,93
Georgia,6/12/20,843,13,12,0,94
Georgia,6/13/20,851,14,8,1,95
Georgia,6/14/20,864,14,13,0,96
Georgia,6/15/20,879,14,15,0,97
Georgia,6/16/20,879,14,0,0,98
Georgia,6/17/20,888,14,9,0,99
Georgia,6/18/20,893,14,5,0,100
Georgia,6/19/20,896,14,3,0,101
Georgia,6/20/20,898,14,2,0,102
Georgia,6/21/20,906,14,8,0,103
Georgia,6/22/20,908,14,2,0,104
Georgia,6/23/20,911,14,3,0,105
Georgia,6/24/20,914,14,3,0,106
Georgia,6/25/20,917,14,3,0,107
Georgia,6/26/20,919,14,2,0,108
Georgia,6/27/20,921,14,2,0,109
Georgia,6/28/20,924,15,3,1,110
Georgia,6/29/20,926,15,2,0,111
Georgia,6/30/20,928,15,2,0,112
Georgia,7/1/20,931,15,3,0,113
Georgia,7/2/20,939,15,8,0,114
Georgia,7/3/20,943,15,4,0,115
Georgia,7/4/20,948,15,5,0,116
Georgia,7/5/20,951,15,3,0,117
Georgia,7/6/20,953,15,2,0,118
Georgia,7/7/20,958,15,5,0,119
Georgia,7/8/20,963,15,5,0,120
Georgia,7/9/20,968,15,5,0,121
Georgia,7/10/20,973,15,5,0,122
Georgia,7/11/20,981,15,8,0,123
Georgia,7/12/20,986,15,5,0,124
Georgia,7/13/20,995,15,9,0,125
Georgia,7/14/20,999,15,4,0,126
Georgia,7/15/20,1004,15,5,0,127
Georgia,7/16/20,1006,15,2,0,128
Georgia,7/17/20,1010,15,4,0,129
Georgia,7/18/20,1018,15,8,0,130
Georgia,7/19/20,1028,15,10,0,131
Georgia,7/20/20,1039,16,11,1,132
Georgia,7/21/20,1049,16,10,0,133
Georgia,7/22/20,1073,16,24,0,134
Georgia,7/23/20,1085,16,12,0,135
Georgia,7/24/20,1104,16,19,0,136
Georgia,7/25/20,1117,16,13,0,137
Georgia,7/26/20,1131,16,14,0,138
Georgia,7/27/20,1137,16,6,0,139
Georgia,7/28/20,1145,16,8,0,140
Georgia,7/29/20,1155,17,10,1,141
Georgia,7/30/20,1160,17,5,0,142
Georgia,7/31/20,1168,17,8,0,143
Georgia,8/1/20,1171,17,3,0,144
Georgia,8/2/20,1177,17,6,0,145
Georgia,8/3/20,1179,17,2,0,146
Georgia,8/4/20,1182,17,3,0,147
Georgia,8/5/20,1197,17,15,0,148
Georgia,8/6/20,1206,17,9,0,149
