country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Barbados,3/27/20,24,0,6,0,1
Barbados,3/28/20,26,0,2,0,2
Barbados,3/29/20,33,0,7,0,3
Barbados,3/30/20,33,0,0,0,4
Barbados,3/31/20,34,0,1,0,5
Barbados,4/1/20,34,0,0,0,6
Barbados,4/2/20,46,0,12,0,7
Barbados,4/3/20,51,0,5,0,8
Barbados,4/4/20,52,0,1,0,9
Barbados,4/5/20,56,1,4,1,10
Barbados,4/6/20,60,2,4,1,11
Barbados,4/7/20,63,3,3,1,12
Barbados,4/8/20,63,3,0,0,13
Barbados,4/9/20,66,3,3,0,14
Barbados,4/10/20,67,4,1,1,15
Barbados,4/11/20,68,4,1,0,16
Barbados,4/12/20,71,4,3,0,17
Barbados,4/13/20,72,4,1,0,18
Barbados,4/14/20,72,4,0,0,19
Barbados,4/15/20,73,5,1,1,20
Barbados,4/16/20,75,5,2,0,21
Barbados,4/17/20,75,5,0,0,22
Barbados,4/18/20,75,5,0,0,23
Barbados,4/19/20,75,5,0,0,24
Barbados,4/20/20,75,5,0,0,25
Barbados,4/21/20,75,5,0,0,26
Barbados,4/22/20,75,5,0,0,27
Barbados,4/23/20,76,6,1,1,28
Barbados,4/24/20,77,6,1,0,29
Barbados,4/25/20,79,6,2,0,30
Barbados,4/26/20,79,6,0,0,31
Barbados,4/27/20,80,6,1,0,32
Barbados,4/28/20,80,6,0,0,33
Barbados,4/29/20,80,7,0,1,34
Barbados,4/30/20,81,7,1,0,35
Barbados,5/1/20,81,7,0,0,36
Barbados,5/2/20,81,7,0,0,37
Barbados,5/3/20,82,7,1,0,38
Barbados,5/4/20,82,7,0,0,39
Barbados,5/5/20,82,7,0,0,40
Barbados,5/6/20,82,7,0,0,41
Barbados,5/7/20,82,7,0,0,42
Barbados,5/8/20,83,7,1,0,43
Barbados,5/9/20,84,7,1,0,44
Barbados,5/10/20,84,7,0,0,45
Barbados,5/11/20,84,7,0,0,46
Barbados,5/12/20,85,7,1,0,47
Barbados,5/13/20,85,7,0,0,48
Barbados,5/14/20,85,7,0,0,49
Barbados,5/15/20,85,7,0,0,50
Barbados,5/16/20,86,7,1,0,51
Barbados,5/17/20,88,7,2,0,52
Barbados,5/18/20,88,7,0,0,53
Barbados,5/19/20,90,7,2,0,54
Barbados,5/20/20,90,7,0,0,55
Barbados,5/21/20,90,7,0,0,56
Barbados,5/22/20,90,7,0,0,57
Barbados,5/23/20,92,7,2,0,58
Barbados,5/24/20,92,7,0,0,59
Barbados,5/25/20,92,7,0,0,60
Barbados,5/26/20,92,7,0,0,61
Barbados,5/27/20,92,7,0,0,62
Barbados,5/28/20,92,7,0,0,63
Barbados,5/29/20,92,7,0,0,64
Barbados,5/30/20,92,7,0,0,65
Barbados,5/31/20,92,7,0,0,66
Barbados,6/1/20,92,7,0,0,67
Barbados,6/2/20,92,7,0,0,68
Barbados,6/3/20,92,7,0,0,69
Barbados,6/4/20,92,7,0,0,70
Barbados,6/5/20,92,7,0,0,71
Barbados,6/6/20,92,7,0,0,72
Barbados,6/7/20,92,7,0,0,73
Barbados,6/8/20,92,7,0,0,74
Barbados,6/9/20,92,7,0,0,75
Barbados,6/10/20,96,7,4,0,76
Barbados,6/11/20,96,7,0,0,77
Barbados,6/12/20,96,7,0,0,78
Barbados,6/13/20,96,7,0,0,79
Barbados,6/14/20,96,7,0,0,80
Barbados,6/15/20,97,7,1,0,81
Barbados,6/16/20,97,7,0,0,82
Barbados,6/17/20,97,7,0,0,83
Barbados,6/18/20,97,7,0,0,84
Barbados,6/19/20,97,7,0,0,85
Barbados,6/20/20,97,7,0,0,86
Barbados,6/21/20,97,7,0,0,87
Barbados,6/22/20,97,7,0,0,88
Barbados,6/23/20,97,7,0,0,89
Barbados,6/24/20,97,7,0,0,90
Barbados,6/25/20,97,7,0,0,91
Barbados,6/26/20,97,7,0,0,92
Barbados,6/27/20,97,7,0,0,93
Barbados,6/28/20,97,7,0,0,94
Barbados,6/29/20,97,7,0,0,95
Barbados,6/30/20,97,7,0,0,96
Barbados,7/1/20,97,7,0,0,97
Barbados,7/2/20,97,7,0,0,98
Barbados,7/3/20,97,7,0,0,99
Barbados,7/4/20,97,7,0,0,100
Barbados,7/5/20,98,7,1,0,101
Barbados,7/6/20,98,7,0,0,102
Barbados,7/7/20,98,7,0,0,103
Barbados,7/8/20,98,7,0,0,104
Barbados,7/9/20,98,7,0,0,105
Barbados,7/10/20,98,7,0,0,106
Barbados,7/11/20,103,7,5,0,107
Barbados,7/12/20,103,7,0,0,108
Barbados,7/13/20,103,7,0,0,109
Barbados,7/14/20,103,7,0,0,110
Barbados,7/15/20,104,7,1,0,111
Barbados,7/16/20,104,7,0,0,112
Barbados,7/17/20,104,7,0,0,113
Barbados,7/18/20,104,7,0,0,114
Barbados,7/19/20,105,7,1,0,115
Barbados,7/20/20,106,7,1,0,116
Barbados,7/21/20,106,7,0,0,117
Barbados,7/22/20,106,7,0,0,118
Barbados,7/23/20,106,7,0,0,119
Barbados,7/24/20,108,7,2,0,120
Barbados,7/25/20,108,7,0,0,121
Barbados,7/26/20,110,7,2,0,122
Barbados,7/27/20,110,7,0,0,123
Barbados,7/28/20,110,7,0,0,124
Barbados,7/29/20,110,7,0,0,125
Barbados,7/30/20,110,7,0,0,126
Barbados,7/31/20,110,7,0,0,127
Barbados,8/1/20,122,7,12,0,128
Barbados,8/2/20,132,7,10,0,129
Barbados,8/3/20,132,7,0,0,130
Barbados,8/4/20,132,7,0,0,131
Barbados,8/5/20,133,7,1,0,132
Barbados,8/6/20,133,7,0,0,133
Barbados,8/7/20,138,7,5,0,134
Barbados,8/8/20,138,7,0,0,135
Barbados,8/9/20,142,7,4,0,136
Barbados,8/10/20,142,7,0,0,137
Barbados,8/11/20,143,7,1,0,138
Barbados,8/12/20,144,7,1,0,139
Barbados,8/13/20,144,7,0,0,140
Barbados,8/14/20,148,7,4,0,141
Barbados,8/15/20,150,7,2,0,142
Barbados,8/16/20,151,7,1,0,143
Barbados,8/17/20,152,7,1,0,144
Barbados,8/18/20,153,7,1,0,145
Barbados,8/19/20,155,7,2,0,146
Barbados,8/20/20,156,7,1,0,147
Barbados,8/21/20,157,7,1,0,148
Barbados,8/22/20,158,7,1,0,149
Barbados,8/23/20,161,7,3,0,150
Barbados,8/24/20,161,7,0,0,151
Barbados,8/25/20,164,7,3,0,152
Barbados,8/26/20,165,7,1,0,153
Barbados,8/27/20,165,7,0,0,154
Barbados,8/28/20,166,7,1,0,155
Barbados,8/29/20,170,7,4,0,156
Barbados,8/30/20,173,7,3,0,157
Barbados,8/31/20,174,7,1,0,158
Barbados,9/1/20,176,7,2,0,159
Barbados,9/2/20,176,7,0,0,160
Barbados,9/3/20,177,7,1,0,161
Barbados,9/4/20,178,7,1,0,162
Barbados,9/5/20,178,7,0,0,163
Barbados,9/6/20,178,7,0,0,164
Barbados,9/7/20,179,7,1,0,165
Barbados,9/8/20,180,7,1,0,166
Barbados,9/9/20,180,7,0,0,167
Barbados,9/10/20,180,7,0,0,168
Barbados,9/11/20,180,7,0,0,169
Barbados,9/12/20,180,7,0,0,170
Barbados,9/13/20,181,7,1,0,171
Barbados,9/14/20,183,7,2,0,172
Barbados,9/15/20,184,7,1,0,173
Barbados,9/16/20,185,7,1,0,174
Barbados,9/17/20,185,7,0,0,175
Barbados,9/18/20,185,7,0,0,176
Barbados,9/19/20,185,7,0,0,177
Barbados,9/20/20,189,7,4,0,178
Barbados,9/21/20,189,7,0,0,179
Barbados,9/22/20,189,7,0,0,180
Barbados,9/23/20,189,7,0,0,181
Barbados,9/24/20,189,7,0,0,182
Barbados,9/25/20,190,7,1,0,183
Barbados,9/26/20,190,7,0,0,184
