country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
US,2/29/20,25,1,8,1,1
US,3/1/20,32,1,7,0,2
US,3/2/20,55,6,23,5,3
US,3/3/20,74,7,19,1,4
US,3/4/20,107,11,33,4,5
US,3/5/20,184,12,77,1,6
US,3/6/20,237,14,53,2,7
US,3/7/20,403,17,166,3,8
US,3/8/20,519,21,116,4,9
US,3/9/20,594,22,75,1,10
US,3/10/20,782,28,188,6,11
US,3/11/20,1147,33,365,5,12
US,3/12/20,1586,43,439,10,13
US,3/13/20,2219,51,633,8,14
US,3/14/20,2978,58,759,7,15
US,3/15/20,3212,70,234,12,16
US,3/16/20,4679,97,1467,27,17
US,3/17/20,6511,132,1832,35,18
US,3/18/20,9165,191,2654,59,19
US,3/19/20,13659,265,4494,74,20
US,3/20/20,20026,364,6367,99,21
US,3/21/20,26022,463,5996,99,22
US,3/22/20,34824,573,8802,110,23
US,3/23/20,46043,762,11219,189,24
US,3/24/20,56620,1001,10577,239,25
US,3/25/20,68654,1325,12034,324,26
US,3/26/20,86548,1733,17894,408,27
US,3/27/20,105179,2253,18631,520,28
US,3/28/20,124786,2886,19607,633,29
US,3/29/20,143715,3472,18929,586,30
US,3/30/20,165728,4164,22013,692,31
US,3/31/20,192091,5249,26363,1085,32
US,4/1/20,217910,6421,25819,1172,33
US,4/2/20,248302,7924,30392,1503,34
US,4/3/20,280302,9316,32000,1392,35
US,4/4/20,313303,10839,33001,1523,36
US,4/5/20,341487,12429,28184,1590,37
US,4/6/20,371672,14199,30185,1770,38
US,4/7/20,403071,16770,31399,2571,39
US,4/8/20,435087,18916,32016,2146,40
US,4/9/20,469735,21144,34648,2228,41
US,4/10/20,503271,23362,33536,2218,42
US,4/11/20,532628,25481,29357,2119,43
US,4/12/20,559587,27294,26959,1813,44
US,4/13/20,585378,29240,25791,1946,45
US,4/14/20,613969,31695,28591,2455,46
US,4/15/20,643977,34304,30008,2609,47
US,4/16/20,675499,36480,31522,2176,48
US,4/17/20,708305,38573,32806,2093,49
US,4/18/20,736156,40533,27851,1960,50
US,4/19/20,761837,42464,25681,1931,51
US,4/20/20,790259,44650,28422,2186,52
US,4/21/20,816297,47198,26038,2548,53
US,4/22/20,845594,49632,29297,2434,54
US,4/23/20,879025,52101,33431,2469,55
US,4/24/20,912591,54255,33566,2154,56
US,4/25/20,944392,55953,31801,1698,57
US,4/26/20,971491,57282,27099,1329,58
US,4/27/20,994665,58748,23174,1466,59
US,4/28/20,1019339,60989,24674,2241,60
US,4/29/20,1047184,63510,27845,2521,61
US,4/30/20,1076689,65832,29505,2322,62
US,5/1/20,1110909,67723,34220,1891,63
US,5/2/20,1138911,69415,28002,1692,64
US,5/3/20,1163413,70535,24502,1120,65
US,5/4/20,1186815,71868,23402,1333,66
US,5/5/20,1211378,74186,24563,2318,67
US,5/6/20,1236525,76550,25147,2364,68
US,5/7/20,1264315,78484,27790,1934,69
US,5/8/20,1291197,80231,26882,1747,70
US,5/9/20,1316165,81719,24968,1488,71
US,5/10/20,1335021,82612,18856,893,72
US,5/11/20,1354468,83626,19447,1014,73
US,5/12/20,1377226,85253,22758,1627,74
US,5/13/20,1398192,87017,20966,1764,75
US,5/14/20,1425500,88800,27308,1783,76
US,5/15/20,1450798,90481,25298,1681,77
US,5/16/20,1474811,91697,24013,1216,78
US,5/17/20,1492925,92455,18114,758,79
