country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
United Kingdom,2/20/20,22,0,2,0,1
United Kingdom,2/21/20,23,0,1,0,2
United Kingdom,2/22/20,23,0,0,0,3
United Kingdom,2/23/20,28,0,5,0,4
United Kingdom,2/24/20,30,0,2,0,5
United Kingdom,2/25/20,34,0,4,0,6
United Kingdom,2/26/20,37,0,3,0,7
United Kingdom,2/27/20,44,0,7,0,8
United Kingdom,2/28/20,56,0,12,0,9
United Kingdom,2/29/20,61,0,5,0,10
United Kingdom,3/1/20,94,0,33,0,11
United Kingdom,3/2/20,134,0,40,0,12
United Kingdom,3/3/20,189,0,55,0,13
United Kingdom,3/4/20,246,0,57,0,14
United Kingdom,3/5/20,295,0,49,0,15
United Kingdom,3/6/20,374,1,79,1,16
United Kingdom,3/7/20,429,2,55,1,17
United Kingdom,3/8/20,483,2,54,0,18
United Kingdom,3/9/20,630,3,147,1,19
United Kingdom,3/10/20,889,7,259,4,20
United Kingdom,3/11/20,1301,7,412,0,21
United Kingdom,3/12/20,1790,9,489,2,22
United Kingdom,3/13/20,2270,10,480,1,23
United Kingdom,3/14/20,2634,29,364,19,24
United Kingdom,3/15/20,3077,43,443,14,25
United Kingdom,3/16/20,3692,66,615,23,26
United Kingdom,3/17/20,4462,83,770,17,27
United Kingdom,3/18/20,5467,117,1005,34,28
United Kingdom,3/19/20,6533,163,1066,46,29
United Kingdom,3/20/20,7791,195,1258,32,30
United Kingdom,3/21/20,9006,253,1215,58,31
United Kingdom,3/22/20,10395,289,1389,36,32
United Kingdom,3/23/20,12744,365,2349,76,33
United Kingdom,3/24/20,15126,513,2382,148,34
United Kingdom,3/25/20,17843,704,2717,191,35
United Kingdom,3/26/20,20970,886,3127,182,36
United Kingdom,3/27/20,24219,1174,3249,288,37
United Kingdom,3/28/20,27062,1466,2843,292,38
United Kingdom,3/29/20,29954,1679,2892,213,39
United Kingdom,3/30/20,34281,2053,4327,374,40
United Kingdom,3/31/20,38815,2457,4534,404,41
United Kingdom,4/1/20,43789,3130,4974,673,42
United Kingdom,4/2/20,48718,3787,4929,657,43
United Kingdom,4/3/20,53699,4524,4981,737,44
United Kingdom,4/4/20,57772,5281,4073,757,45
United Kingdom,4/5/20,61422,5882,3650,601,46
United Kingdom,4/6/20,66738,6452,5316,570,47
United Kingdom,4/7/20,72224,7557,5486,1105,48
United Kingdom,4/8/20,77387,8589,5163,1032,49
United Kingdom,4/9/20,82293,9706,4906,1117,50
United Kingdom,4/10/20,86660,10829,4367,1123,51
United Kingdom,4/11/20,90273,11673,3613,844,52
United Kingdom,4/12/20,93812,12330,3539,657,53
United Kingdom,4/13/20,98017,13055,4205,725,54
United Kingdom,4/14/20,102365,14135,4348,1080,55
United Kingdom,4/15/20,107465,15019,5100,884,56
United Kingdom,4/16/20,112808,16059,5343,1040,57
United Kingdom,4/17/20,117798,16973,4990,914,58
United Kingdom,4/18/20,122534,18081,4736,1108,59
United Kingdom,4/19/20,126394,18514,3860,433,60
United Kingdom,4/20/20,131260,19090,4866,576,61
United Kingdom,4/21/20,136035,20314,4775,1224,62
United Kingdom,4/22/20,141540,21171,5505,857,63
United Kingdom,4/23/20,146708,21855,5168,684,64
United Kingdom,4/24/20,151689,22873,4981,1018,65
United Kingdom,4/25/20,155453,23689,3764,816,66
United Kingdom,4/26/20,158926,24053,3473,364,67
United Kingdom,4/27/20,163630,24376,4704,323,68
United Kingdom,4/28/20,168357,25347,4727,971,69
United Kingdom,4/29/20,173807,26118,5450,771,70
United Kingdom,4/30/20,178771,26754,4964,636,71
United Kingdom,5/1/20,183501,27454,4730,700,72
United Kingdom,5/2/20,186731,28039,3230,585,73
United Kingdom,5/3/20,189708,28292,2977,253,74
United Kingdom,5/4/20,193091,28565,3383,273,75
United Kingdom,5/5/20,196780,29290,3689,725,76
United Kingdom,5/6/20,200616,29937,3836,647,77
United Kingdom,5/7/20,204387,30395,3771,458,78
United Kingdom,5/8/20,207439,30975,3052,580,79
United Kingdom,5/9/20,209589,31250,2150,275,80
United Kingdom,5/10/20,211911,31467,2322,217,81
United Kingdom,5/11/20,215500,31655,3589,188,82
United Kingdom,5/12/20,218895,32270,3395,615,83
United Kingdom,5/13/20,222195,32718,3300,448,84
United Kingdom,5/14/20,224813,33071,2618,353,85
United Kingdom,5/15/20,227334,33422,2521,351,86
United Kingdom,5/16/20,229406,33833,2072,411,87
United Kingdom,5/17/20,231232,33900,1826,67,88
United Kingdom,5/18/20,233809,34046,2577,146,89
United Kingdom,5/19/20,236867,34547,3058,501,90
United Kingdom,5/20/20,239579,34876,2712,329,91
United Kingdom,5/21/20,242133,35149,2554,273,92
United Kingdom,5/22/20,244174,35440,2041,291,93
United Kingdom,5/23/20,245682,35660,1508,220,94
United Kingdom,5/24/20,247037,36039,1355,379,95
United Kingdom,5/25/20,248650,36143,1613,104,96
United Kingdom,5/26/20,250309,36274,1659,131,97
United Kingdom,5/27/20,252118,36696,1809,422,98
United Kingdom,5/28/20,253854,37039,1736,343,99
United Kingdom,5/29/20,255362,37313,1508,274,100
United Kingdom,5/30/20,256469,37467,1107,154,101
United Kingdom,5/31/20,257539,37527,1070,60,102
United Kingdom,6/1/20,258983,37613,1444,86,103
United Kingdom,6/2/20,260453,37863,1470,250,104
United Kingdom,6/3/20,261802,38117,1349,254,105
United Kingdom,6/4/20,263040,38247,1238,130,106
United Kingdom,6/5/20,264150,38505,1110,258,107
United Kingdom,6/6/20,264944,38648,794,143,108
United Kingdom,6/7/20,265662,38702,718,54,109
United Kingdom,6/8/20,266756,38749,1094,47,110
United Kingdom,6/9/20,267915,38946,1159,197,111
United Kingdom,6/10/20,269101,39110,1186,164,112
United Kingdom,6/11/20,270108,39186,1007,76,113
United Kingdom,6/12/20,271162,39317,1054,131,114
United Kingdom,6/13/20,272050,39424,888,107,115
United Kingdom,6/14/20,272857,39451,807,27,116
United Kingdom,6/15/20,273888,39480,1031,29,117
United Kingdom,6/16/20,274971,39600,1083,120,118
United Kingdom,6/17/20,275970,39710,999,110,119
United Kingdom,6/18/20,276990,39777,1020,67,120
United Kingdom,6/19/20,277974,39861,984,84,121
United Kingdom,6/20/20,278640,39932,666,71,122
