country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Hungary,3/14/20,30,0,11,0,1
Hungary,3/15/20,32,1,2,1,2
Hungary,3/16/20,39,1,7,0,3
Hungary,3/17/20,50,1,11,0,4
Hungary,3/18/20,58,1,8,0,5
Hungary,3/19/20,73,1,15,0,6
Hungary,3/20/20,85,3,12,2,7
Hungary,3/21/20,103,4,18,1,8
Hungary,3/22/20,131,6,28,2,9
Hungary,3/23/20,167,7,36,1,10
Hungary,3/24/20,187,9,20,2,11
Hungary,3/25/20,226,10,39,1,12
Hungary,3/26/20,261,10,35,0,13
Hungary,3/27/20,300,10,39,0,14
Hungary,3/28/20,343,11,43,1,15
Hungary,3/29/20,408,13,65,2,16
Hungary,3/30/20,447,15,39,2,17
Hungary,3/31/20,492,16,45,1,18
Hungary,4/1/20,525,20,33,4,19
Hungary,4/2/20,585,21,60,1,20
Hungary,4/3/20,623,26,38,5,21
Hungary,4/4/20,678,32,55,6,22
Hungary,4/5/20,733,34,55,2,23
Hungary,4/6/20,744,38,11,4,24
Hungary,4/7/20,817,47,73,9,25
Hungary,4/8/20,895,58,78,11,26
Hungary,4/9/20,980,66,85,8,27
Hungary,4/10/20,1190,77,210,11,28
Hungary,4/11/20,1310,85,120,8,29
Hungary,4/12/20,1410,99,100,14,30
Hungary,4/13/20,1458,109,48,10,31
Hungary,4/14/20,1512,122,54,13,32
Hungary,4/15/20,1579,134,67,12,33
Hungary,4/16/20,1652,142,73,8,34
Hungary,4/17/20,1763,156,111,14,35
Hungary,4/18/20,1834,172,71,16,36
Hungary,4/19/20,1916,189,82,17,37
Hungary,4/20/20,1984,199,68,10,38
Hungary,4/21/20,2098,213,114,14,39
Hungary,4/22/20,2168,225,70,12,40
Hungary,4/23/20,2284,239,116,14,41
Hungary,4/24/20,2443,262,159,23,42
Hungary,4/25/20,2443,262,0,0,43
Hungary,4/26/20,2500,272,57,10,44
Hungary,4/27/20,2583,280,83,8,45
Hungary,4/28/20,2649,291,66,11,46
Hungary,4/29/20,2727,300,78,9,47
Hungary,4/30/20,2775,312,48,12,48
Hungary,5/1/20,2863,323,88,11,49
Hungary,5/2/20,2942,335,79,12,50
Hungary,5/3/20,2998,340,56,5,51
Hungary,5/4/20,3035,351,37,11,52
Hungary,5/5/20,3065,363,30,12,53
Hungary,5/6/20,3111,373,46,10,54
Hungary,5/7/20,3150,383,39,10,55
Hungary,5/8/20,3178,392,28,9,56
Hungary,5/9/20,3213,405,35,13,57
Hungary,5/10/20,3263,413,50,8,58
Hungary,5/11/20,3284,421,21,8,59
Hungary,5/12/20,3313,425,29,4,60
Hungary,5/13/20,3341,430,28,5,61
Hungary,5/14/20,3380,436,39,6,62
Hungary,5/15/20,3417,442,37,6,63
Hungary,5/16/20,3473,448,56,6,64
Hungary,5/17/20,3509,451,36,3,65
Hungary,5/18/20,3535,462,26,11,66
Hungary,5/19/20,3556,467,21,5,67
Hungary,5/20/20,3598,470,42,3,68
Hungary,5/21/20,3641,473,43,3,69
Hungary,5/22/20,3678,476,37,3,70
Hungary,5/23/20,3713,482,35,6,71
Hungary,5/24/20,3741,486,28,4,72
Hungary,5/25/20,3756,491,15,5,73
Hungary,5/26/20,3771,499,15,8,74
Hungary,5/27/20,3793,505,22,6,75
Hungary,5/28/20,3816,509,23,4,76
Hungary,5/29/20,3841,517,25,8,77
Hungary,5/30/20,3867,524,26,7,78
Hungary,5/31/20,3876,526,9,2,79
Hungary,6/1/20,3892,527,16,1,80
Hungary,6/2/20,3921,532,29,5,81
Hungary,6/3/20,3931,534,10,2,82
Hungary,6/4/20,3954,539,23,5,83
Hungary,6/5/20,3970,542,16,3,84
Hungary,6/6/20,3990,545,20,3,85
Hungary,6/7/20,4008,546,18,1,86
Hungary,6/8/20,4014,548,6,2,87
Hungary,6/9/20,4017,550,3,2,88
Hungary,6/10/20,4027,551,10,1,89
Hungary,6/11/20,4039,553,12,2,90
Hungary,6/12/20,4053,555,14,2,91
Hungary,6/13/20,4064,559,11,4,92
Hungary,6/14/20,4069,562,5,3,93
Hungary,6/15/20,4076,563,7,1,94
Hungary,6/16/20,4077,565,1,2,95
Hungary,6/17/20,4078,567,1,2,96
Hungary,6/18/20,4079,568,1,1,97
Hungary,6/19/20,4081,568,2,0,98
Hungary,6/20/20,4086,570,5,2,99
