country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Cameroon,3/20/20,20,0,7,0,1
Cameroon,3/21/20,27,0,7,0,2
Cameroon,3/22/20,40,0,13,0,3
Cameroon,3/23/20,56,0,16,0,4
Cameroon,3/24/20,66,0,10,0,5
Cameroon,3/25/20,75,1,9,1,6
Cameroon,3/26/20,75,1,0,0,7
Cameroon,3/27/20,91,2,16,1,8
Cameroon,3/28/20,91,2,0,0,9
Cameroon,3/29/20,139,6,48,4,10
Cameroon,3/30/20,139,6,0,0,11
Cameroon,3/31/20,193,6,54,0,12
Cameroon,4/1/20,233,6,40,0,13
Cameroon,4/2/20,306,7,73,1,14
Cameroon,4/3/20,509,8,203,1,15
Cameroon,4/4/20,555,9,46,1,16
Cameroon,4/5/20,650,9,95,0,17
Cameroon,4/6/20,658,9,8,0,18
Cameroon,4/7/20,658,9,0,0,19
Cameroon,4/8/20,730,10,72,1,20
Cameroon,4/9/20,730,10,0,0,21
Cameroon,4/10/20,820,12,90,2,22
Cameroon,4/11/20,820,12,0,0,23
Cameroon,4/12/20,820,12,0,0,24
Cameroon,4/13/20,820,12,0,0,25
Cameroon,4/14/20,848,14,28,2,26
Cameroon,4/15/20,848,17,0,3,27
Cameroon,4/16/20,996,22,148,5,28
Cameroon,4/17/20,996,22,0,0,29
Cameroon,4/18/20,1017,22,21,0,30
Cameroon,4/19/20,1017,42,0,20,31
Cameroon,4/20/20,1163,42,146,0,32
Cameroon,4/21/20,1163,43,0,1,33
Cameroon,4/22/20,1163,43,0,0,34
Cameroon,4/23/20,1334,43,171,0,35
Cameroon,4/24/20,1430,43,96,0,36
Cameroon,4/25/20,1518,53,88,10,37
Cameroon,4/26/20,1621,56,103,3,38
Cameroon,4/27/20,1705,58,84,2,39
Cameroon,4/28/20,1705,58,0,0,40
Cameroon,4/29/20,1832,61,127,3,41
Cameroon,4/30/20,1832,61,0,0,42
Cameroon,5/1/20,1832,61,0,0,43
Cameroon,5/2/20,2077,64,245,3,44
Cameroon,5/3/20,2077,64,0,0,45
Cameroon,5/4/20,2104,64,27,0,46
Cameroon,5/5/20,2104,64,0,0,47
Cameroon,5/6/20,2265,108,161,44,48
Cameroon,5/7/20,2267,108,2,0,49
Cameroon,5/8/20,2267,108,0,0,50
Cameroon,5/9/20,2274,108,7,0,51
Cameroon,5/10/20,2579,114,305,6,52
Cameroon,5/11/20,2689,125,110,11,53
Cameroon,5/12/20,2689,125,0,0,54
Cameroon,5/13/20,2800,136,111,11,55
Cameroon,5/14/20,2954,139,154,3,56
Cameroon,5/15/20,3105,140,151,1,57
Cameroon,5/16/20,3105,140,0,0,58
Cameroon,5/17/20,3105,140,0,0,59
Cameroon,5/18/20,3529,140,424,0,60
Cameroon,5/19/20,3529,140,0,0,61
Cameroon,5/20/20,3733,146,204,6,62
Cameroon,5/21/20,4288,156,555,10,63
Cameroon,5/22/20,4400,159,112,3,64
Cameroon,5/23/20,4400,159,0,0,65
Cameroon,5/24/20,4890,165,490,6,66
Cameroon,5/25/20,4890,165,0,0,67
Cameroon,5/26/20,5436,175,546,10,68
Cameroon,5/27/20,5436,175,0,0,69
Cameroon,5/28/20,5436,175,0,0,70
Cameroon,5/29/20,5436,177,0,2,71
Cameroon,5/30/20,5904,191,468,14,72
Cameroon,5/31/20,5904,191,0,0,73
Cameroon,6/1/20,6397,199,493,8,74
Cameroon,6/2/20,6585,200,188,1,75
Cameroon,6/3/20,6585,200,0,0,76
Cameroon,6/4/20,6789,203,204,3,77
Cameroon,6/5/20,7392,205,603,2,78
Cameroon,6/6/20,7599,212,207,7,79
Cameroon,6/7/20,7908,212,309,0,80
Cameroon,6/8/20,8060,212,152,0,81
Cameroon,6/9/20,8312,212,252,0,82
Cameroon,6/10/20,8681,212,369,0,83
Cameroon,6/11/20,8681,212,0,0,84
Cameroon,6/12/20,8681,212,0,0,85
Cameroon,6/13/20,8681,212,0,0,86
Cameroon,6/14/20,8681,212,0,0,87
Cameroon,6/15/20,9864,276,1183,64,88
