country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Cameroon,3/20/20,20,0,7,0,1
Cameroon,3/21/20,27,0,7,0,2
Cameroon,3/22/20,40,0,13,0,3
Cameroon,3/23/20,56,0,16,0,4
Cameroon,3/24/20,66,0,10,0,5
Cameroon,3/25/20,75,1,9,1,6
Cameroon,3/26/20,75,1,0,0,7
Cameroon,3/27/20,91,2,16,1,8
Cameroon,3/28/20,91,2,0,0,9
Cameroon,3/29/20,139,6,48,4,10
Cameroon,3/30/20,139,6,0,0,11
Cameroon,3/31/20,193,6,54,0,12
Cameroon,4/1/20,233,6,40,0,13
Cameroon,4/2/20,306,7,73,1,14
Cameroon,4/3/20,509,8,203,1,15
Cameroon,4/4/20,555,9,46,1,16
Cameroon,4/5/20,650,9,95,0,17
Cameroon,4/6/20,658,9,8,0,18
Cameroon,4/7/20,658,9,0,0,19
Cameroon,4/8/20,730,10,72,1,20
Cameroon,4/9/20,730,10,0,0,21
Cameroon,4/10/20,820,12,90,2,22
Cameroon,4/11/20,820,12,0,0,23
Cameroon,4/12/20,820,12,0,0,24
Cameroon,4/13/20,820,12,0,0,25
Cameroon,4/14/20,848,14,28,2,26
Cameroon,4/15/20,848,17,0,3,27
Cameroon,4/16/20,996,22,148,5,28
Cameroon,4/17/20,996,22,0,0,29
Cameroon,4/18/20,1017,22,21,0,30
Cameroon,4/19/20,1017,42,0,20,31
