country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Belgium,3/4/20,23,0,10,0,1
Belgium,3/5/20,50,0,27,0,2
Belgium,3/6/20,109,0,59,0,3
Belgium,3/7/20,169,0,60,0,4
Belgium,3/8/20,200,0,31,0,5
Belgium,3/9/20,239,0,39,0,6
Belgium,3/10/20,267,0,28,0,7
Belgium,3/11/20,314,3,47,3,8
Belgium,3/12/20,314,3,0,0,9
Belgium,3/13/20,559,3,245,0,10
Belgium,3/14/20,689,4,130,1,11
Belgium,3/15/20,886,4,197,0,12
Belgium,3/16/20,1058,5,172,1,13
Belgium,3/17/20,1243,10,185,5,14
Belgium,3/18/20,1486,14,243,4,15
Belgium,3/19/20,1795,21,309,7,16
Belgium,3/20/20,2257,37,462,16,17
Belgium,3/21/20,2815,67,558,30,18
Belgium,3/22/20,3401,75,586,8,19
Belgium,3/23/20,3743,88,342,13,20
Belgium,3/24/20,4269,122,526,34,21
Belgium,3/25/20,4937,178,668,56,22
Belgium,3/26/20,6235,220,1298,42,23
Belgium,3/27/20,7284,289,1049,69,24
Belgium,3/28/20,9134,353,1850,64,25
Belgium,3/29/20,10836,431,1702,78,26
Belgium,3/30/20,11899,513,1063,82,27
Belgium,3/31/20,12775,705,876,192,28
Belgium,4/1/20,13964,828,1189,123,29
Belgium,4/2/20,15348,1011,1384,183,30
Belgium,4/3/20,16770,1143,1422,132,31
Belgium,4/4/20,18431,1283,1661,140,32
Belgium,4/5/20,19691,1447,1260,164,33
Belgium,4/6/20,20814,1632,1123,185,34
Belgium,4/7/20,22194,2035,1380,403,35
Belgium,4/8/20,23403,2240,1209,205,36
Belgium,4/9/20,24983,2523,1580,283,37
Belgium,4/10/20,26667,3019,1684,496,38
Belgium,4/11/20,28018,3346,1351,327,39
Belgium,4/12/20,29647,3600,1629,254,40
Belgium,4/13/20,30589,3903,942,303,41
Belgium,4/14/20,31119,4157,530,254,42
Belgium,4/15/20,33573,4440,2454,283,43
Belgium,4/16/20,34809,4857,1236,417,44
Belgium,4/17/20,36138,5163,1329,306,45
Belgium,4/18/20,37183,5453,1045,290,46
Belgium,4/19/20,38496,5683,1313,230,47
Belgium,4/20/20,39983,5828,1487,145,48
Belgium,4/21/20,40956,5998,973,170,49
Belgium,4/22/20,41889,6262,933,264,50
Belgium,4/23/20,42797,6490,908,228,51
Belgium,4/24/20,44293,6679,1496,189,52
Belgium,4/25/20,45325,6917,1032,238,53
Belgium,4/26/20,46134,7094,809,177,54
Belgium,4/27/20,46687,7207,553,113,55
Belgium,4/28/20,47334,7331,647,124,56
Belgium,4/29/20,47859,7501,525,170,57
Belgium,4/30/20,48519,7594,660,93,58
Belgium,5/1/20,49032,7703,513,109,59
Belgium,5/2/20,49517,7765,485,62,60
Belgium,5/3/20,49906,7844,389,79,61
Belgium,5/4/20,50267,7924,361,80,62
Belgium,5/5/20,50509,8016,242,92,63
Belgium,5/6/20,50781,8339,272,323,64
Belgium,5/7/20,51420,8415,639,76,65
Belgium,5/8/20,52011,8521,591,106,66
Belgium,5/9/20,52596,8581,585,60,67
Belgium,5/10/20,53081,8656,485,75,68
Belgium,5/11/20,53449,8707,368,51,69
Belgium,5/12/20,53779,8761,330,54,70
Belgium,5/13/20,53981,8843,202,82,71
Belgium,5/14/20,54288,8903,307,60,72
Belgium,5/15/20,54644,8959,356,56,73
Belgium,5/16/20,54989,9005,345,46,74
Belgium,5/17/20,55280,9052,291,47,75
Belgium,5/18/20,55559,9080,279,28,76
Belgium,5/19/20,55791,9108,232,28,77
Belgium,5/20/20,55983,9150,192,42,78
Belgium,5/21/20,56235,9186,252,36,79
Belgium,5/22/20,56511,9212,276,26,80
Belgium,5/23/20,56810,9237,299,25,81
Belgium,5/24/20,57092,9280,282,43,82
Belgium,5/25/20,57342,9312,250,32,83
Belgium,5/26/20,57455,9334,113,22,84
Belgium,5/27/20,57592,9364,137,30,85
Belgium,5/28/20,57849,9388,257,24,86
Belgium,5/29/20,58061,9430,212,42,87
Belgium,5/30/20,58186,9453,125,23,88
Belgium,5/31/20,58381,9467,195,14,89
Belgium,6/1/20,58517,9486,136,19,90
Belgium,6/2/20,58615,9505,98,19,91
Belgium,6/3/20,58685,9522,70,17,92
Belgium,6/4/20,58767,9548,82,26,93
Belgium,6/5/20,58907,9566,140,18,94
Belgium,6/6/20,59072,9580,165,14,95
Belgium,6/7/20,59226,9595,154,15,96
Belgium,6/8/20,59348,9606,122,11,97
Belgium,6/9/20,59437,9619,89,13,98
Belgium,6/10/20,59569,9629,132,10,99
Belgium,6/11/20,59711,9636,142,7,100
Belgium,6/12/20,59819,9646,108,10,101
Belgium,6/13/20,59918,9650,99,4,102
Belgium,6/14/20,60029,9655,111,5,103
Belgium,6/15/20,60100,9661,71,6,104
Belgium,6/16/20,60155,9663,55,2,105
Belgium,6/17/20,60244,9675,89,12,106
Belgium,6/18/20,60348,9683,104,8,107
Belgium,6/19/20,60476,9695,128,12,108
Belgium,6/20/20,60550,9696,74,1,109
Belgium,6/21/20,60550,9696,0,0,110
Belgium,6/22/20,60550,9696,0,0,111
Belgium,6/23/20,60810,9713,260,17,112
Belgium,6/24/20,60898,9722,88,9,113
Belgium,6/25/20,61007,9726,109,4,114
Belgium,6/26/20,61106,9731,99,5,115
Belgium,6/27/20,61209,9732,103,1,116
Belgium,6/28/20,61295,9732,86,0,117
Belgium,6/29/20,61361,9732,66,0,118
Belgium,6/30/20,61427,9747,66,15,119
Belgium,7/1/20,61509,9754,82,7,120
Belgium,7/2/20,61598,9761,89,7,121
Belgium,7/3/20,61727,9765,129,4,122
Belgium,7/4/20,61838,9771,111,6,123
Belgium,7/5/20,62016,9771,178,0,124
Belgium,7/6/20,62058,9774,42,3,125
Belgium,7/7/20,62058,9774,0,0,126
Belgium,7/8/20,62123,9776,65,2,127
Belgium,7/9/20,62210,9778,87,2,128
Belgium,7/10/20,62357,9781,147,3,129
Belgium,7/11/20,62469,9782,112,1,130
Belgium,7/12/20,62707,9782,238,0,131
Belgium,7/13/20,62707,9782,0,0,132
Belgium,7/14/20,62781,9787,74,5,133
Belgium,7/15/20,62872,9788,91,1,134
Belgium,7/16/20,63238,9795,366,7,135
Belgium,7/17/20,63499,9800,261,5,136
Belgium,7/18/20,63706,9800,207,0,137
Belgium,7/19/20,63706,9800,0,0,138
Belgium,7/20/20,64094,9805,388,5,139
Belgium,7/21/20,64258,9805,164,0,140
Belgium,7/22/20,64627,9808,369,3,141
Belgium,7/23/20,64847,9812,220,4,142
Belgium,7/24/20,65199,9817,352,5,143
Belgium,7/25/20,65727,9821,528,4,144
Belgium,7/26/20,66026,9821,299,0,145
Belgium,7/27/20,66428,9822,402,1,146
Belgium,7/28/20,66662,9833,234,11,147
Belgium,7/29/20,67335,9836,673,3,148
Belgium,7/30/20,68006,9840,671,4,149
Belgium,7/31/20,68751,9841,745,1,150
Belgium,8/1/20,69402,9845,651,4,151
Belgium,8/2/20,69849,9845,447,0,152
Belgium,8/3/20,70314,9850,465,5,153
Belgium,8/4/20,70648,9852,334,2,154
Belgium,8/5/20,71158,9859,510,7,155
Belgium,8/6/20,72016,9861,858,2,156
Belgium,8/7/20,72784,9866,768,5,157
Belgium,8/8/20,73401,9870,617,4,158
Belgium,8/9/20,74152,9872,751,2,159
Belgium,8/10/20,74620,9879,468,7,160
Belgium,8/11/20,75008,9885,388,6,161
Belgium,8/12/20,75647,9900,639,15,162
Belgium,8/13/20,76191,9916,544,16,163
Belgium,8/14/20,77113,9924,922,8,164
Belgium,8/15/20,77869,9935,756,11,165
Belgium,8/16/20,78323,9939,454,4,166
Belgium,8/17/20,78534,9944,211,5,167
Belgium,8/18/20,78897,9959,363,15,168
Belgium,8/19/20,79479,9969,582,10,169
Belgium,8/20/20,80178,9976,699,7,170
Belgium,8/21/20,80894,9985,716,9,171
Belgium,8/22/20,81468,9988,574,3,172
Belgium,8/23/20,81936,9992,468,4,173
Belgium,8/24/20,82092,9996,156,4,174
Belgium,8/25/20,82447,9996,355,0,175
Belgium,8/26/20,83030,9879,583,-117,176
Belgium,8/27/20,83500,9884,470,5,177
Belgium,8/28/20,83952,9886,452,2,178
Belgium,8/29/20,84599,9891,647,5,179
Belgium,8/30/20,85042,9894,443,3,180
Belgium,8/31/20,85236,9895,194,1,181
Belgium,9/1/20,85487,9897,251,2,182
Belgium,9/2/20,85911,9898,424,1,183
Belgium,9/3/20,86544,9899,633,1,184
Belgium,9/4/20,87174,9901,630,2,185
Belgium,9/5/20,87825,9906,651,5,186
Belgium,9/6/20,88367,9907,542,1,187
Belgium,9/7/20,88769,9909,402,2,188
Belgium,9/8/20,89141,9912,372,3,189
Belgium,9/9/20,89691,9917,550,5,190
Belgium,9/10/20,90568,9917,877,0,191
Belgium,9/11/20,91537,9919,969,2,192
Belgium,9/12/20,92478,9923,941,4,193
Belgium,9/13/20,93455,9925,977,2,194
Belgium,9/14/20,94306,9927,851,2,195
