country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Philippines,3/9/20,20,1,10,0,1
Philippines,3/10/20,33,1,13,0,2
Philippines,3/11/20,49,1,16,0,3
Philippines,3/12/20,52,2,3,1,4
Philippines,3/13/20,64,5,12,3,5
Philippines,3/14/20,111,8,47,3,6
Philippines,3/15/20,140,11,29,3,7
Philippines,3/16/20,142,12,2,1,8
Philippines,3/17/20,187,12,45,0,9
Philippines,3/18/20,202,19,15,7,10
Philippines,3/19/20,217,17,15,-2,11
Philippines,3/20/20,230,18,13,1,12
Philippines,3/21/20,307,19,77,1,13
Philippines,3/22/20,380,25,73,6,14
Philippines,3/23/20,462,33,82,8,15
Philippines,3/24/20,552,35,90,2,16
Philippines,3/25/20,636,38,84,3,17
Philippines,3/26/20,707,45,71,7,18
Philippines,3/27/20,803,54,96,9,19
Philippines,3/28/20,1075,68,272,14,20
Philippines,3/29/20,1418,71,343,3,21
Philippines,3/30/20,1546,78,128,7,22
Philippines,3/31/20,2084,88,538,10,23
Philippines,4/1/20,2311,96,227,8,24
Philippines,4/2/20,2633,107,322,11,25
Philippines,4/3/20,3018,136,385,29,26
Philippines,4/4/20,3094,144,76,8,27
Philippines,4/5/20,3246,152,152,8,28
Philippines,4/6/20,3660,163,414,11,29
Philippines,4/7/20,3764,177,104,14,30
Philippines,4/8/20,3870,182,106,5,31
Philippines,4/9/20,4076,203,206,21,32
Philippines,4/10/20,4195,221,119,18,33
Philippines,4/11/20,4428,247,233,26,34
Philippines,4/12/20,4648,297,220,50,35
Philippines,4/13/20,4932,315,284,18,36
Philippines,4/14/20,5223,335,291,20,37
Philippines,4/15/20,5453,349,230,14,38
Philippines,4/16/20,5660,362,207,13,39
Philippines,4/17/20,5878,387,218,25,40
Philippines,4/18/20,6087,397,209,10,41
Philippines,4/19/20,6259,409,172,12,42
Philippines,4/20/20,6459,428,200,19,43
Philippines,4/21/20,6599,437,140,9,44
Philippines,4/22/20,6710,446,111,9,45
Philippines,4/23/20,6981,462,271,16,46
Philippines,4/24/20,7192,477,211,15,47
Philippines,4/25/20,7294,494,102,17,48
Philippines,4/26/20,7579,501,285,7,49
Philippines,4/27/20,7777,511,198,10,50
Philippines,4/28/20,7958,530,181,19,51
Philippines,4/29/20,8212,558,254,28,52
Philippines,4/30/20,8488,568,276,10,53
Philippines,5/1/20,8772,579,284,11,54
Philippines,5/2/20,8928,603,156,24,55
Philippines,5/3/20,9223,607,295,4,56
Philippines,5/4/20,9485,623,262,16,57
Philippines,5/5/20,9684,637,199,14,58
Philippines,5/6/20,10004,658,320,21,59
Philippines,5/7/20,10343,685,339,27,60
Philippines,5/8/20,10463,696,120,11,61
Philippines,5/9/20,10610,704,147,8,62
Philippines,5/10/20,10794,719,184,15,63
Philippines,5/11/20,11086,726,292,7,64
Philippines,5/12/20,11350,751,264,25,65
Philippines,5/13/20,11618,772,268,21,66
Philippines,5/14/20,11876,790,258,18,67
Philippines,5/15/20,12091,806,215,16,68
Philippines,5/16/20,12305,817,214,11,69
Philippines,5/17/20,12513,824,208,7,70
Philippines,5/18/20,12718,831,205,7,71
Philippines,5/19/20,12942,837,224,6,72
Philippines,5/20/20,13221,842,279,5,73
Philippines,5/21/20,13434,846,213,4,74
Philippines,5/22/20,13597,857,163,11,75
Philippines,5/23/20,13777,863,180,6,76
Philippines,5/24/20,14035,868,258,5,77
Philippines,5/25/20,14319,873,284,5,78
Philippines,5/26/20,14669,886,350,13,79
Philippines,5/27/20,15049,904,380,18,80
Philippines,5/28/20,15588,921,539,17,81
Philippines,5/29/20,16634,942,1046,21,82
Philippines,5/30/20,17224,950,590,8,83
Philippines,5/31/20,18086,957,862,7,84
Philippines,6/1/20,18638,960,552,3,85
Philippines,6/2/20,18997,966,359,6,86
Philippines,6/3/20,19748,974,751,8,87
Philippines,6/4/20,20382,984,634,10,88
Philippines,6/5/20,20626,987,244,3,89
Philippines,6/6/20,21340,994,714,7,90
Philippines,6/7/20,21895,1003,555,9,91
Philippines,6/8/20,22474,1011,579,8,92
Philippines,6/9/20,22992,1017,518,6,93
Philippines,6/10/20,23732,1027,740,10,94
Philippines,6/11/20,24175,1036,443,9,95
Philippines,6/12/20,24787,1052,612,16,96
Philippines,6/13/20,25392,1074,605,22,97
Philippines,6/14/20,25930,1088,538,14,98
Philippines,6/15/20,26420,1098,490,10,99
Philippines,6/16/20,26781,1103,361,5,100
Philippines,6/17/20,27238,1108,457,5,101
Philippines,6/18/20,27799,1116,561,8,102
Philippines,6/19/20,28459,1130,660,14,103
Philippines,6/20/20,29400,1150,941,20,104
Philippines,6/21/20,30052,1169,652,19,105
Philippines,6/22/20,30682,1177,630,8,106
Philippines,6/23/20,31825,1186,1143,9,107
Philippines,6/24/20,32295,1204,470,18,108
Philippines,6/25/20,33069,1212,774,8,109
Philippines,6/26/20,34073,1224,1004,12,110
Philippines,6/27/20,34803,1236,730,12,111
Philippines,6/28/20,35455,1244,652,8,112
Philippines,6/29/20,36438,1255,983,11,113
Philippines,6/30/20,37514,1266,1076,11,114
Philippines,7/1/20,38511,1270,997,4,115
Philippines,7/2/20,38805,1274,294,4,116
Philippines,7/3/20,40336,1280,1531,6,117
Philippines,7/4/20,41830,1290,1494,10,118
Philippines,7/5/20,44254,1297,2424,7,119
Philippines,7/6/20,46333,1303,2079,6,120
