country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Comoros,5/20/20,34,1,23,0,1
Comoros,5/21/20,34,1,0,0,2
Comoros,5/22/20,78,1,44,0,3
Comoros,5/23/20,78,1,0,0,4
Comoros,5/24/20,87,1,9,0,5
Comoros,5/25/20,87,1,0,0,6
Comoros,5/26/20,87,1,0,0,7
Comoros,5/27/20,87,2,0,1,8
Comoros,5/28/20,87,2,0,0,9
Comoros,5/29/20,87,2,0,0,10
Comoros,5/30/20,106,2,19,0,11
Comoros,5/31/20,106,2,0,0,12
Comoros,6/1/20,106,2,0,0,13
Comoros,6/2/20,132,2,26,0,14
Comoros,6/3/20,132,2,0,0,15
Comoros,6/4/20,132,2,0,0,16
Comoros,6/5/20,132,2,0,0,17
Comoros,6/6/20,141,2,9,0,18
Comoros,6/7/20,141,2,0,0,19
Comoros,6/8/20,141,2,0,0,20
Comoros,6/9/20,141,2,0,0,21
Comoros,6/10/20,162,2,21,0,22
Comoros,6/11/20,162,2,0,0,23
Comoros,6/12/20,163,2,1,0,24
Comoros,6/13/20,176,2,13,0,25
Comoros,6/14/20,176,2,0,0,26
Comoros,6/15/20,176,2,0,0,27
Comoros,6/16/20,197,3,21,1,28
Comoros,6/17/20,197,3,0,0,29
Comoros,6/18/20,210,5,13,2,30
Comoros,6/19/20,210,5,0,0,31
Comoros,6/20/20,247,5,37,0,32
Comoros,6/21/20,247,5,0,0,33
Comoros,6/22/20,247,5,0,0,34
Comoros,6/23/20,265,7,18,2,35
Comoros,6/24/20,265,7,0,0,36
Comoros,6/25/20,272,7,7,0,37
Comoros,6/26/20,272,7,0,0,38
Comoros,6/27/20,272,7,0,0,39
Comoros,6/28/20,272,7,0,0,40
Comoros,6/29/20,272,7,0,0,41
Comoros,6/30/20,303,7,31,0,42
Comoros,7/1/20,303,7,0,0,43
Comoros,7/2/20,303,7,0,0,44
Comoros,7/3/20,309,7,6,0,45
Comoros,7/4/20,309,7,0,0,46
Comoros,7/5/20,311,7,2,0,47
Comoros,7/6/20,311,7,0,0,48
Comoros,7/7/20,311,7,0,0,49
Comoros,7/8/20,313,7,2,0,50
Comoros,7/9/20,314,7,1,0,51
Comoros,7/10/20,314,7,0,0,52
Comoros,7/11/20,317,7,3,0,53
Comoros,7/12/20,317,7,0,0,54
Comoros,7/13/20,317,7,0,0,55
Comoros,7/14/20,321,7,4,0,56
Comoros,7/15/20,321,7,0,0,57
Comoros,7/16/20,328,7,7,0,58
Comoros,7/17/20,328,7,0,0,59
Comoros,7/18/20,328,7,0,0,60
