country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Latvia,3/14/20,26,0,9,0,1
Latvia,3/15/20,30,0,4,0,2
Latvia,3/16/20,34,0,4,0,3
Latvia,3/17/20,49,0,15,0,4
Latvia,3/18/20,71,0,22,0,5
Latvia,3/19/20,86,0,15,0,6
Latvia,3/20/20,111,0,25,0,7
Latvia,3/21/20,124,0,13,0,8
Latvia,3/22/20,139,0,15,0,9
Latvia,3/23/20,180,0,41,0,10
Latvia,3/24/20,197,0,17,0,11
Latvia,3/25/20,221,0,24,0,12
Latvia,3/26/20,244,0,23,0,13
Latvia,3/27/20,280,0,36,0,14
Latvia,3/28/20,305,0,25,0,15
Latvia,3/29/20,347,0,42,0,16
Latvia,3/30/20,376,0,29,0,17
Latvia,3/31/20,398,0,22,0,18
Latvia,4/1/20,446,0,48,0,19
Latvia,4/2/20,458,0,12,0,20
Latvia,4/3/20,493,1,35,1,21
Latvia,4/4/20,509,1,16,0,22
Latvia,4/5/20,533,1,24,0,23
Latvia,4/6/20,542,1,9,0,24
Latvia,4/7/20,548,2,6,1,25
Latvia,4/8/20,577,2,29,0,26
Latvia,4/9/20,589,3,12,1,27
Latvia,4/10/20,612,3,23,0,28
Latvia,4/11/20,630,3,18,0,29
Latvia,4/12/20,651,5,21,2,30
Latvia,4/13/20,655,5,4,0,31
Latvia,4/14/20,657,5,2,0,32
Latvia,4/15/20,666,5,9,0,33
Latvia,4/16/20,675,5,9,0,34
Latvia,4/17/20,682,5,7,0,35
Latvia,4/18/20,712,5,30,0,36
Latvia,4/19/20,727,5,15,0,37
Latvia,4/20/20,739,5,12,0,38
Latvia,4/21/20,748,9,9,4,39
Latvia,4/22/20,761,11,13,2,40
Latvia,4/23/20,778,11,17,0,41
Latvia,4/24/20,784,12,6,1,42
Latvia,4/25/20,804,12,20,0,43
Latvia,4/26/20,812,12,8,0,44
Latvia,4/27/20,818,13,6,1,45
Latvia,4/28/20,836,13,18,0,46
Latvia,4/29/20,849,15,13,2,47
Latvia,4/30/20,858,15,9,0,48
Latvia,5/1/20,870,16,12,1,49
Latvia,5/2/20,871,16,1,0,50
Latvia,5/3/20,879,16,8,0,51
Latvia,5/4/20,896,16,17,0,52
Latvia,5/5/20,896,17,0,1,53
Latvia,5/6/20,900,17,4,0,54
Latvia,5/7/20,909,18,9,1,55
Latvia,5/8/20,928,18,19,0,56
Latvia,5/9/20,930,18,2,0,57
Latvia,5/10/20,939,18,9,0,58
Latvia,5/11/20,946,18,7,0,59
Latvia,5/12/20,950,18,4,0,60
Latvia,5/13/20,951,19,1,1,61
Latvia,5/14/20,962,19,11,0,62
Latvia,5/15/20,970,19,8,0,63
Latvia,5/16/20,997,19,27,0,64
Latvia,5/17/20,1008,19,11,0,65
Latvia,5/18/20,1009,19,1,0,66
Latvia,5/19/20,1012,21,3,2,67
Latvia,5/20/20,1016,21,4,0,68
Latvia,5/21/20,1025,22,9,1,69
Latvia,5/22/20,1030,22,5,0,70
Latvia,5/23/20,1046,22,16,0,71
Latvia,5/24/20,1047,22,1,0,72
Latvia,5/25/20,1049,22,2,0,73
Latvia,5/26/20,1053,22,4,0,74
Latvia,5/27/20,1057,23,4,1,75
Latvia,5/28/20,1061,24,4,1,76
Latvia,5/29/20,1064,24,3,0,77
Latvia,5/30/20,1065,24,1,0,78
Latvia,5/31/20,1066,24,1,0,79
Latvia,6/1/20,1066,24,0,0,80
Latvia,6/2/20,1071,24,5,0,81
Latvia,6/3/20,1079,24,8,0,82
Latvia,6/4/20,1082,25,3,1,83
Latvia,6/5/20,1085,25,3,0,84
