state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Massachusetts,3/8/20,22,0,16,0,1
Massachusetts,3/9/20,22,0,0,0,2
Massachusetts,3/10/20,41,0,19,0,3
Massachusetts,3/11/20,92,0,51,0,4
Massachusetts,3/12/20,107,0,15,0,5
Massachusetts,3/13/20,123,0,16,0,6
Massachusetts,3/14/20,138,0,15,0,7
Massachusetts,3/15/20,138,0,0,0,8
Massachusetts,3/16/20,187,0,49,0,9
Massachusetts,3/17/20,217,0,30,0,10
Massachusetts,3/18/20,252,0,35,0,11
Massachusetts,3/19/20,328,0,76,0,12
Massachusetts,3/20/20,413,1,85,1,13
Massachusetts,3/21/20,523,1,110,0,14
Massachusetts,3/22/20,640,5,117,4,15
Massachusetts,3/23/20,777,9,137,4,16
Massachusetts,3/24/20,1159,11,382,2,17
Massachusetts,3/25/20,1838,15,679,4,18
Massachusetts,3/26/20,2417,25,579,10,19
Massachusetts,3/27/20,3240,35,823,10,20
Massachusetts,3/28/20,4257,44,1017,9,21
Massachusetts,3/29/20,4955,48,698,4,22
Massachusetts,3/30/20,5752,56,797,8,23
Massachusetts,3/31/20,6620,89,868,33,24
Massachusetts,4/1/20,7738,122,1118,33,25
Massachusetts,4/2/20,8966,154,1228,32,26
Massachusetts,4/3/20,10402,192,1436,38,27
Massachusetts,4/4/20,11736,216,1334,24,28
Massachusetts,4/5/20,12500,231,764,15,29
Massachusetts,4/6/20,13837,260,1337,29,30
Massachusetts,4/7/20,15202,356,1365,96,31
Massachusetts,4/8/20,16790,433,1588,77,32
Massachusetts,4/9/20,18941,503,2151,70,33
Massachusetts,4/10/20,20974,599,2033,96,34
Massachusetts,4/11/20,22860,686,1886,87,35
Massachusetts,4/12/20,25475,756,2615,70,36
Massachusetts,4/13/20,26867,844,1392,88,37
Massachusetts,4/14/20,28164,844,1297,0,38
Massachusetts,4/15/20,29919,1108,1755,264,39
Massachusetts,4/16/20,32181,1108,2262,0,40
Massachusetts,4/17/20,34985,1245,2804,137,41
Massachusetts,4/18/20,36963,1404,1978,159,42
Massachusetts,4/19/20,38674,1706,1711,302,43
Massachusetts,4/20/20,40252,1706,1578,0,44
Massachusetts,4/21/20,41832,1961,1580,255,45
Massachusetts,4/22/20,43614,2182,1782,221,46
Massachusetts,4/23/20,46727,2360,3113,178,47
Massachusetts,4/24/20,51700,2556,4973,196,48
Massachusetts,4/25/20,54135,2730,2435,174,49
Massachusetts,4/26/20,55753,2899,1618,169,50
Massachusetts,4/27/20,57295,3003,1542,104,51
Massachusetts,4/28/20,59193,3153,1898,150,52
Massachusetts,4/29/20,61201,3405,2008,252,53
Massachusetts,4/30/20,63211,3562,2010,157,54
Massachusetts,5/1/20,65388,3716,2177,154,55
Massachusetts,5/2/20,67438,3846,2050,130,56
Massachusetts,5/3/20,69318,4004,1880,158,57
Massachusetts,5/4/20,70388,4090,1070,86,58
Massachusetts,5/5/20,71654,4212,1266,122,59
Massachusetts,5/6/20,73538,4420,1884,208,60
Massachusetts,5/7/20,75338,4552,1800,132,61
Massachusetts,5/8/20,77090,4702,1752,150,62
Massachusetts,5/9/20,78561,4840,1471,138,63
Massachusetts,5/10/20,79676,4979,1115,139,64
Massachusetts,5/11/20,80409,5108,733,129,65
Massachusetts,5/12/20,81370,5141,961,33,66
Massachusetts,5/13/20,82657,5315,1287,174,67
Massachusetts,5/14/20,84460,5482,1803,167,68
Massachusetts,5/15/20,85786,5592,1326,110,69
Massachusetts,5/16/20,87374,5705,1588,113,70
Massachusetts,5/17/20,88500,5797,1126,92,71
Massachusetts,5/18/20,89566,5862,1066,65,72
Massachusetts,5/19/20,90521,5938,955,76,73
Massachusetts,5/20/20,91654,6066,1133,128,74
Massachusetts,5/21/20,92860,6148,1206,82,75
Massachusetts,5/22/20,93796,6228,936,80,76
Massachusetts,5/23/20,94641,6304,845,76,77
Massachusetts,5/24/20,95708,6372,1067,68,78
Massachusetts,5/25/20,96366,6416,658,44,79
Massachusetts,5/26/20,96826,6473,460,57,80
Massachusetts,5/27/20,97428,6547,602,74,81
Massachusetts,5/28/20,98198,6640,770,93,82
Massachusetts,5/29/20,98880,6718,682,78,83
Massachusetts,5/30/20,99773,6768,893,50,84
Massachusetts,5/31/20,100468,6846,695,78,85
Massachusetts,6/1/20,100805,7035,337,189,86
Massachusetts,6/2/20,101163,7085,358,50,87
Massachusetts,6/3/20,101592,7152,429,67,88
Massachusetts,6/4/20,102063,7201,471,49,89
Massachusetts,6/5/20,102557,7235,494,34,90
Massachusetts,6/6/20,103132,7289,575,54,91
Massachusetts,6/7/20,103436,7316,304,27,92
Massachusetts,6/8/20,103626,7353,190,37,93
Massachusetts,6/9/20,103889,7408,263,55,94
Massachusetts,6/10/20,104156,7454,267,46,95
Massachusetts,6/11/20,104667,7492,511,38,96
Massachusetts,6/12/20,105059,7538,392,46,97
Massachusetts,6/13/20,105395,7576,336,38,98
Massachusetts,6/14/20,105603,7624,208,48,99
