country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Albania,3/12/20,23,1,11,0,1
Albania,3/13/20,33,1,10,0,2
Albania,3/14/20,38,1,5,0,3
Albania,3/15/20,42,1,4,0,4
Albania,3/16/20,51,1,9,0,5
Albania,3/17/20,55,1,4,0,6
Albania,3/18/20,59,2,4,1,7
Albania,3/19/20,64,2,5,0,8
Albania,3/20/20,70,2,6,0,9
Albania,3/21/20,76,2,6,0,10
Albania,3/22/20,89,2,13,0,11
Albania,3/23/20,104,4,15,2,12
Albania,3/24/20,123,5,19,1,13
Albania,3/25/20,146,5,23,0,14
Albania,3/26/20,174,6,28,1,15
Albania,3/27/20,186,8,12,2,16
Albania,3/28/20,197,10,11,2,17
Albania,3/29/20,212,10,15,0,18
Albania,3/30/20,223,11,11,1,19
Albania,3/31/20,243,15,20,4,20
Albania,4/1/20,259,15,16,0,21
Albania,4/2/20,277,16,18,1,22
Albania,4/3/20,304,17,27,1,23
Albania,4/4/20,333,20,29,3,24
Albania,4/5/20,361,20,28,0,25
Albania,4/6/20,377,21,16,1,26
Albania,4/7/20,383,22,6,1,27
Albania,4/8/20,400,22,17,0,28
Albania,4/9/20,409,23,9,1,29
Albania,4/10/20,416,23,7,0,30
Albania,4/11/20,433,23,17,0,31
Albania,4/12/20,446,23,13,0,32
Albania,4/13/20,467,23,21,0,33
Albania,4/14/20,475,24,8,1,34
Albania,4/15/20,494,25,19,1,35
Albania,4/16/20,518,26,24,1,36
Albania,4/17/20,539,26,21,0,37
Albania,4/18/20,548,26,9,0,38
Albania,4/19/20,562,26,14,0,39
Albania,4/20/20,584,26,22,0,40
Albania,4/21/20,609,26,25,0,41
Albania,4/22/20,634,27,25,1,42
Albania,4/23/20,663,27,29,0,43
Albania,4/24/20,678,27,15,0,44
Albania,4/25/20,712,27,34,0,45
Albania,4/26/20,726,28,14,1,46
Albania,4/27/20,736,28,10,0,47
Albania,4/28/20,750,30,14,2,48
Albania,4/29/20,766,30,16,0,49
Albania,4/30/20,773,31,7,1,50
Albania,5/1/20,782,31,9,0,51
Albania,5/2/20,789,31,7,0,52
Albania,5/3/20,795,31,6,0,53
Albania,5/4/20,803,31,8,0,54
Albania,5/5/20,820,31,17,0,55
Albania,5/6/20,832,31,12,0,56
Albania,5/7/20,842,31,10,0,57
Albania,5/8/20,850,31,8,0,58
Albania,5/9/20,856,31,6,0,59
Albania,5/10/20,868,31,12,0,60
Albania,5/11/20,872,31,4,0,61
Albania,5/12/20,876,31,4,0,62
Albania,5/13/20,880,31,4,0,63
Albania,5/14/20,898,31,18,0,64
Albania,5/15/20,916,31,18,0,65
Albania,5/16/20,933,31,17,0,66
Albania,5/17/20,946,31,13,0,67
Albania,5/18/20,948,31,2,0,68
Albania,5/19/20,949,31,1,0,69
Albania,5/20/20,964,31,15,0,70
Albania,5/21/20,969,31,5,0,71
Albania,5/22/20,981,31,12,0,72
Albania,5/23/20,989,31,8,0,73
Albania,5/24/20,998,32,9,1,74
Albania,5/25/20,1004,32,6,0,75
Albania,5/26/20,1029,33,25,1,76
Albania,5/27/20,1050,33,21,0,77
Albania,5/28/20,1076,33,26,0,78
Albania,5/29/20,1099,33,23,0,79
Albania,5/30/20,1122,33,23,0,80
Albania,5/31/20,1137,33,15,0,81
Albania,6/1/20,1143,33,6,0,82
Albania,6/2/20,1164,33,21,0,83
Albania,6/3/20,1184,33,20,0,84
Albania,6/4/20,1197,33,13,0,85
Albania,6/5/20,1212,33,15,0,86
Albania,6/6/20,1232,34,20,1,87
Albania,6/7/20,1246,34,14,0,88
Albania,6/8/20,1263,34,17,0,89
Albania,6/9/20,1299,34,36,0,90
Albania,6/10/20,1341,34,42,0,91
Albania,6/11/20,1385,35,44,1,92
Albania,6/12/20,1416,36,31,1,93
Albania,6/13/20,1464,36,48,0,94
Albania,6/14/20,1521,36,57,0,95
Albania,6/15/20,1590,36,69,0,96
Albania,6/16/20,1672,37,82,1,97
Albania,6/17/20,1722,38,50,1,98
Albania,6/18/20,1788,39,66,1,99
Albania,6/19/20,1838,42,50,3,100
Albania,6/20/20,1891,43,53,1,101
Albania,6/21/20,1962,44,71,1,102
Albania,6/22/20,1995,44,33,0,103
Albania,6/23/20,2047,45,52,1,104
Albania,6/24/20,2114,47,67,2,105
Albania,6/25/20,2192,49,78,2,106
Albania,6/26/20,2269,51,77,2,107
Albania,6/27/20,2330,53,61,2,108
Albania,6/28/20,2402,55,72,2,109
Albania,6/29/20,2466,58,64,3,110
Albania,6/30/20,2535,62,69,4,111
Albania,7/1/20,2580,65,45,3,112
Albania,7/2/20,2662,69,82,4,113
Albania,7/3/20,2752,72,90,3,114
Albania,7/4/20,2819,74,67,2,115
Albania,7/5/20,2893,76,74,2,116
Albania,7/6/20,2964,79,71,3,117
Albania,7/7/20,3038,81,74,2,118
Albania,7/8/20,3106,83,68,2,119
Albania,7/9/20,3188,83,82,0,120
Albania,7/10/20,3278,85,90,2,121
Albania,7/11/20,3371,89,93,4,122
Albania,7/12/20,3454,93,83,4,123
Albania,7/13/20,3571,95,117,2,124
Albania,7/14/20,3667,97,96,2,125
Albania,7/15/20,3752,101,85,4,126
Albania,7/16/20,3851,104,99,3,127
Albania,7/17/20,3906,107,55,3,128
Albania,7/18/20,4008,111,102,4,129
Albania,7/19/20,4090,112,82,1,130
Albania,7/20/20,4171,113,81,1,131
Albania,7/21/20,4290,117,119,4,132
Albania,7/22/20,4358,120,68,3,133
Albania,7/23/20,4466,123,108,3,134
Albania,7/24/20,4570,128,104,5,135
Albania,7/25/20,4637,134,67,6,136
Albania,7/26/20,4763,138,126,4,137
Albania,7/27/20,4880,144,117,6,138
Albania,7/28/20,4997,148,117,4,139
Albania,7/29/20,5105,150,108,2,140
Albania,7/30/20,5197,154,92,4,141
Albania,7/31/20,5276,157,79,3,142
Albania,8/1/20,5396,161,120,4,143
Albania,8/2/20,5519,166,123,5,144
Albania,8/3/20,5620,172,101,6,145
Albania,8/4/20,5750,176,130,4,146
Albania,8/5/20,5889,182,139,6,147
Albania,8/6/20,6016,188,127,6,148
Albania,8/7/20,6151,189,135,1,149
Albania,8/8/20,6275,193,124,4,150
Albania,8/9/20,6411,199,136,6,151
Albania,8/10/20,6536,200,125,1,152
Albania,8/11/20,6676,205,140,5,153
Albania,8/12/20,6817,208,141,3,154
Albania,8/13/20,6971,213,154,5,155
Albania,8/14/20,7117,219,146,6,156
Albania,8/15/20,7260,225,143,6,157
Albania,8/16/20,7380,228,120,3,158
Albania,8/17/20,7499,230,119,2,159
Albania,8/18/20,7654,232,155,2,160
Albania,8/19/20,7812,234,158,2,161
Albania,8/20/20,7967,238,155,4,162
Albania,8/21/20,8119,240,152,2,163
Albania,8/22/20,8275,245,156,5,164
Albania,8/23/20,8427,250,152,5,165
Albania,8/24/20,8605,254,178,4,166
Albania,8/25/20,8759,259,154,5,167
Albania,8/26/20,8927,263,168,4,168
Albania,8/27/20,9083,266,156,3,169
Albania,8/28/20,9195,271,112,5,170
Albania,8/29/20,9279,275,84,4,171
Albania,8/30/20,9380,280,101,5,172
Albania,8/31/20,9513,284,133,4,173
Albania,9/1/20,9606,290,93,6,174
Albania,9/2/20,9728,296,122,6,175
Albania,9/3/20,9844,301,116,5,176
Albania,9/4/20,9967,306,123,5,177
Albania,9/5/20,10102,312,135,6,178
Albania,9/6/20,10255,316,153,4,179
Albania,9/7/20,10406,319,151,3,180
