country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Portugal,3/7/20,20,0,7,0,1
Portugal,3/8/20,30,0,10,0,2
Portugal,3/9/20,30,0,0,0,3
Portugal,3/10/20,41,0,11,0,4
Portugal,3/11/20,59,0,18,0,5
Portugal,3/12/20,59,0,0,0,6
Portugal,3/13/20,112,0,53,0,7
Portugal,3/14/20,169,0,57,0,8
Portugal,3/15/20,245,0,76,0,9
Portugal,3/16/20,331,0,86,0,10
Portugal,3/17/20,448,1,117,1,11
Portugal,3/18/20,448,2,0,1,12
Portugal,3/19/20,785,3,337,1,13
Portugal,3/20/20,1020,6,235,3,14
Portugal,3/21/20,1280,12,260,6,15
Portugal,3/22/20,1600,14,320,2,16
Portugal,3/23/20,2060,23,460,9,17
Portugal,3/24/20,2362,33,302,10,18
Portugal,3/25/20,2995,43,633,10,19
Portugal,3/26/20,3544,60,549,17,20
Portugal,3/27/20,4268,76,724,16,21
Portugal,3/28/20,5170,100,902,24,22
Portugal,3/29/20,5962,119,792,19,23
Portugal,3/30/20,6408,140,446,21,24
Portugal,3/31/20,7443,160,1035,20,25
Portugal,4/1/20,8251,187,808,27,26
Portugal,4/2/20,9034,209,783,22,27
Portugal,4/3/20,9886,246,852,37,28
Portugal,4/4/20,10524,266,638,20,29
Portugal,4/5/20,11278,295,754,29,30
Portugal,4/6/20,11730,311,452,16,31
Portugal,4/7/20,12442,345,712,34,32
Portugal,4/8/20,13141,380,699,35,33
Portugal,4/9/20,13956,409,815,29,34
Portugal,4/10/20,15472,435,1516,26,35
Portugal,4/11/20,15987,470,515,35,36
Portugal,4/12/20,16585,504,598,34,37
Portugal,4/13/20,16934,535,349,31,38
Portugal,4/14/20,17448,567,514,32,39
Portugal,4/15/20,18091,599,643,32,40
Portugal,4/16/20,18841,629,750,30,41
Portugal,4/17/20,19022,657,181,28,42
Portugal,4/18/20,19685,687,663,30,43
Portugal,4/19/20,20206,714,521,27,44
Portugal,4/20/20,20863,735,657,21,45
Portugal,4/21/20,21379,762,516,27,46
Portugal,4/22/20,21982,785,603,23,47
Portugal,4/23/20,22353,820,371,35,48
Portugal,4/24/20,22797,854,444,34,49
Portugal,4/25/20,23392,880,595,26,50
Portugal,4/26/20,23864,903,472,23,51
Portugal,4/27/20,24027,928,163,25,52
Portugal,4/28/20,24322,948,295,20,53
Portugal,4/29/20,24505,973,183,25,54
Portugal,4/30/20,25045,989,540,16,55
Portugal,5/1/20,25351,1007,306,18,56
Portugal,5/2/20,25190,1023,-161,16,57
Portugal,5/3/20,25282,1043,92,20,58
Portugal,5/4/20,25524,1063,242,20,59
Portugal,5/5/20,25702,1074,178,11,60
Portugal,5/6/20,26182,1089,480,15,61
Portugal,5/7/20,26715,1105,533,16,62
Portugal,5/8/20,27268,1114,553,9,63
Portugal,5/9/20,27406,1126,138,12,64
Portugal,5/10/20,27581,1135,175,9,65
Portugal,5/11/20,27679,1144,98,9,66
Portugal,5/12/20,27913,1163,234,19,67
Portugal,5/13/20,28132,1175,219,12,68
Portugal,5/14/20,28319,1184,187,9,69
Portugal,5/15/20,28583,1190,264,6,70
Portugal,5/16/20,28810,1203,227,13,71
Portugal,5/17/20,29036,1218,226,15,72
Portugal,5/18/20,29209,1231,173,13,73
Portugal,5/19/20,29432,1247,223,16,74
Portugal,5/20/20,29660,1263,228,16,75
Portugal,5/21/20,29912,1277,252,14,76
Portugal,5/22/20,30200,1289,288,12,77
Portugal,5/23/20,30471,1302,271,13,78
Portugal,5/24/20,30623,1316,152,14,79
Portugal,5/25/20,30788,1330,165,14,80
Portugal,5/26/20,31007,1342,219,12,81
Portugal,5/27/20,31292,1356,285,14,82
Portugal,5/28/20,31596,1369,304,13,83
Portugal,5/29/20,31946,1383,350,14,84
Portugal,5/30/20,32203,1396,257,13,85
Portugal,5/31/20,32500,1410,297,14,86
Portugal,6/1/20,32700,1424,200,14,87
Portugal,6/2/20,32895,1436,195,12,88
Portugal,6/3/20,33261,1447,366,11,89
Portugal,6/4/20,33592,1455,331,8,90
Portugal,6/5/20,33969,1465,377,10,91
Portugal,6/6/20,34351,1474,382,9,92
Portugal,6/7/20,34693,1479,342,5,93
Portugal,6/8/20,34885,1485,192,6,94
Portugal,6/9/20,35306,1492,421,7,95
Portugal,6/10/20,35600,1497,294,5,96
Portugal,6/11/20,35910,1504,310,7,97
Portugal,6/12/20,36180,1505,270,1,98
Portugal,6/13/20,36463,1512,283,7,99
Portugal,6/14/20,36690,1517,227,5,100
Portugal,6/15/20,37036,1520,346,3,101
Portugal,6/16/20,37336,1522,300,2,102
Portugal,6/17/20,37672,1523,336,1,103
Portugal,6/18/20,38089,1524,417,1,104
Portugal,6/19/20,38464,1527,375,3,105
Portugal,6/20/20,38841,1528,377,1,106
Portugal,6/21/20,39133,1530,292,2,107
Portugal,6/22/20,39392,1534,259,4,108
Portugal,6/23/20,39737,1540,345,6,109
Portugal,6/24/20,40104,1543,367,3,110
Portugal,6/25/20,40415,1549,311,6,111
Portugal,6/26/20,40866,1555,451,6,112
Portugal,6/27/20,41189,1561,323,6,113
Portugal,6/28/20,41646,1564,457,3,114
Portugal,6/29/20,41912,1568,266,4,115
Portugal,6/30/20,42141,1576,229,8,116
Portugal,7/1/20,42454,1579,313,3,117
Portugal,7/2/20,42782,1587,328,8,118
Portugal,7/3/20,43156,1598,374,11,119
Portugal,7/4/20,43569,1605,413,7,120
Portugal,7/5/20,43897,1614,328,9,121
Portugal,7/6/20,44129,1620,232,6,122
Portugal,7/7/20,44416,1629,287,9,123
Portugal,7/8/20,44859,1631,443,2,124
Portugal,7/9/20,45277,1644,418,13,125
Portugal,7/10/20,45679,1646,402,2,126
Portugal,7/11/20,46221,1654,542,8,127
Portugal,7/12/20,46512,1660,291,6,128
Portugal,7/13/20,46818,1662,306,2,129
Portugal,7/14/20,47051,1668,233,6,130
Portugal,7/15/20,47426,1676,375,8,131
Portugal,7/16/20,47765,1679,339,3,132
Portugal,7/17/20,48077,1682,312,3,133
Portugal,7/18/20,48390,1684,313,2,134
Portugal,7/19/20,48636,1689,246,5,135
Portugal,7/20/20,48771,1691,135,2,136
Portugal,7/21/20,48898,1697,127,6,137
Portugal,7/22/20,49150,1702,252,5,138
Portugal,7/23/20,49379,1705,229,3,139
Portugal,7/24/20,49692,1712,313,7,140
Portugal,7/25/20,49955,1716,263,4,141
Portugal,7/26/20,50164,1717,209,1,142
Portugal,7/27/20,50299,1719,135,2,143
Portugal,7/28/20,50410,1722,111,3,144
Portugal,7/29/20,50613,1725,203,3,145
Portugal,7/30/20,50868,1727,255,2,146
Portugal,7/31/20,51072,1735,204,8,147
Portugal,8/1/20,51310,1737,238,2,148
Portugal,8/2/20,51463,1738,153,1,149
Portugal,8/3/20,51569,1738,106,0,150
Portugal,8/4/20,51681,1739,112,1,151
Portugal,8/5/20,51848,1740,167,1,152
Portugal,8/6/20,52061,1743,213,3,153
Portugal,8/7/20,52351,1746,290,3,154
Portugal,8/8/20,52537,1750,186,4,155
Portugal,8/9/20,52668,1756,131,6,156
Portugal,8/10/20,52825,1759,157,3,157
Portugal,8/11/20,52945,1761,120,2,158
