country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Bhutan,5/14/20,20,0,5,0,1
Bhutan,5/15/20,21,0,1,0,2
Bhutan,5/16/20,21,0,0,0,3
Bhutan,5/17/20,21,0,0,0,4
Bhutan,5/18/20,21,0,0,0,5
Bhutan,5/19/20,21,0,0,0,6
Bhutan,5/20/20,21,0,0,0,7
Bhutan,5/21/20,21,0,0,0,8
Bhutan,5/22/20,21,0,0,0,9
Bhutan,5/23/20,24,0,3,0,10
Bhutan,5/24/20,24,0,0,0,11
Bhutan,5/25/20,27,0,3,0,12
Bhutan,5/26/20,27,0,0,0,13
Bhutan,5/27/20,28,0,1,0,14
Bhutan,5/28/20,31,0,3,0,15
Bhutan,5/29/20,31,0,0,0,16
Bhutan,5/30/20,33,0,2,0,17
Bhutan,5/31/20,43,0,10,0,18
Bhutan,6/1/20,43,0,0,0,19
Bhutan,6/2/20,47,0,4,0,20
Bhutan,6/3/20,47,0,0,0,21
Bhutan,6/4/20,47,0,0,0,22
Bhutan,6/5/20,48,0,1,0,23
Bhutan,6/6/20,48,0,0,0,24
Bhutan,6/7/20,59,0,11,0,25
Bhutan,6/8/20,59,0,0,0,26
Bhutan,6/9/20,59,0,0,0,27
Bhutan,6/10/20,59,0,0,0,28
Bhutan,6/11/20,62,0,3,0,29
Bhutan,6/12/20,62,0,0,0,30
Bhutan,6/13/20,66,0,4,0,31
Bhutan,6/14/20,66,0,0,0,32
Bhutan,6/15/20,67,0,1,0,33
Bhutan,6/16/20,67,0,0,0,34
Bhutan,6/17/20,67,0,0,0,35
Bhutan,6/18/20,67,0,0,0,36
Bhutan,6/19/20,68,0,1,0,37
Bhutan,6/20/20,68,0,0,0,38
Bhutan,6/21/20,68,0,0,0,39
Bhutan,6/22/20,68,0,0,0,40
Bhutan,6/23/20,70,0,2,0,41
Bhutan,6/24/20,70,0,0,0,42
Bhutan,6/25/20,70,0,0,0,43
Bhutan,6/26/20,70,0,0,0,44
Bhutan,6/27/20,75,0,5,0,45
Bhutan,6/28/20,76,0,1,0,46
Bhutan,6/29/20,77,0,1,0,47
Bhutan,6/30/20,77,0,0,0,48
Bhutan,7/1/20,77,0,0,0,49
Bhutan,7/2/20,77,0,0,0,50
Bhutan,7/3/20,77,0,0,0,51
Bhutan,7/4/20,78,0,1,0,52
Bhutan,7/5/20,80,0,2,0,53
Bhutan,7/6/20,80,0,0,0,54
Bhutan,7/7/20,80,0,0,0,55
Bhutan,7/8/20,80,0,0,0,56
Bhutan,7/9/20,80,0,0,0,57
Bhutan,7/10/20,80,0,0,0,58
Bhutan,7/11/20,82,0,2,0,59
Bhutan,7/12/20,84,0,2,0,60
Bhutan,7/13/20,84,0,0,0,61
Bhutan,7/14/20,84,0,0,0,62
Bhutan,7/15/20,84,0,0,0,63
Bhutan,7/16/20,86,0,2,0,64
Bhutan,7/17/20,87,0,1,0,65
Bhutan,7/18/20,87,0,0,0,66
Bhutan,7/19/20,89,0,2,0,67
Bhutan,7/20/20,90,0,1,0,68
Bhutan,7/21/20,92,0,2,0,69
Bhutan,7/22/20,92,0,0,0,70
Bhutan,7/23/20,92,0,0,0,71
Bhutan,7/24/20,92,0,0,0,72
Bhutan,7/25/20,92,0,0,0,73
Bhutan,7/26/20,95,0,3,0,74
Bhutan,7/27/20,99,0,4,0,75
Bhutan,7/28/20,99,0,0,0,76
Bhutan,7/29/20,99,0,0,0,77
Bhutan,7/30/20,101,0,2,0,78
Bhutan,7/31/20,101,0,0,0,79
Bhutan,8/1/20,102,0,1,0,80
Bhutan,8/2/20,102,0,0,0,81
Bhutan,8/3/20,103,0,1,0,82
Bhutan,8/4/20,105,0,2,0,83
Bhutan,8/5/20,105,0,0,0,84
Bhutan,8/6/20,108,0,3,0,85
Bhutan,8/7/20,108,0,0,0,86
Bhutan,8/8/20,108,0,0,0,87
Bhutan,8/9/20,110,0,2,0,88
Bhutan,8/10/20,110,0,0,0,89
Bhutan,8/11/20,113,0,3,0,90
Bhutan,8/12/20,113,0,0,0,91
Bhutan,8/13/20,128,0,15,0,92
Bhutan,8/14/20,133,0,5,0,93
Bhutan,8/15/20,133,0,0,0,94
Bhutan,8/16/20,138,0,5,0,95
Bhutan,8/17/20,141,0,3,0,96
Bhutan,8/18/20,147,0,6,0,97
Bhutan,8/19/20,147,0,0,0,98
Bhutan,8/20/20,153,0,6,0,99
Bhutan,8/21/20,154,0,1,0,100
Bhutan,8/22/20,155,0,1,0,101
Bhutan,8/23/20,155,0,0,0,102
Bhutan,8/24/20,156,0,1,0,103
Bhutan,8/25/20,173,0,17,0,104
Bhutan,8/26/20,173,0,0,0,105
Bhutan,8/27/20,184,0,11,0,106
Bhutan,8/28/20,195,0,11,0,107
Bhutan,8/29/20,195,0,0,0,108
Bhutan,8/30/20,224,0,29,0,109
Bhutan,8/31/20,225,0,1,0,110
Bhutan,9/1/20,227,0,2,0,111
Bhutan,9/2/20,227,0,0,0,112
Bhutan,9/3/20,227,0,0,0,113
Bhutan,9/4/20,228,0,1,0,114
Bhutan,9/5/20,228,0,0,0,115
Bhutan,9/6/20,228,0,0,0,116
Bhutan,9/7/20,233,0,5,0,117
