country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Albania,3/12/20,23,1,11,0,1
Albania,3/13/20,33,1,10,0,2
Albania,3/14/20,38,1,5,0,3
Albania,3/15/20,42,1,4,0,4
Albania,3/16/20,51,1,9,0,5
Albania,3/17/20,55,1,4,0,6
Albania,3/18/20,59,2,4,1,7
Albania,3/19/20,64,2,5,0,8
Albania,3/20/20,70,2,6,0,9
Albania,3/21/20,76,2,6,0,10
Albania,3/22/20,89,2,13,0,11
Albania,3/23/20,104,4,15,2,12
Albania,3/24/20,123,5,19,1,13
Albania,3/25/20,146,5,23,0,14
Albania,3/26/20,174,6,28,1,15
Albania,3/27/20,186,8,12,2,16
Albania,3/28/20,197,10,11,2,17
Albania,3/29/20,212,10,15,0,18
Albania,3/30/20,223,11,11,1,19
Albania,3/31/20,243,15,20,4,20
Albania,4/1/20,259,15,16,0,21
Albania,4/2/20,277,16,18,1,22
Albania,4/3/20,304,17,27,1,23
Albania,4/4/20,333,20,29,3,24
Albania,4/5/20,361,20,28,0,25
Albania,4/6/20,377,21,16,1,26
Albania,4/7/20,383,22,6,1,27
Albania,4/8/20,400,22,17,0,28
Albania,4/9/20,409,23,9,1,29
Albania,4/10/20,416,23,7,0,30
Albania,4/11/20,433,23,17,0,31
Albania,4/12/20,446,23,13,0,32
Albania,4/13/20,467,23,21,0,33
Albania,4/14/20,475,24,8,1,34
Albania,4/15/20,494,25,19,1,35
Albania,4/16/20,518,26,24,1,36
Albania,4/17/20,539,26,21,0,37
Albania,4/18/20,548,26,9,0,38
Albania,4/19/20,562,26,14,0,39
Albania,4/20/20,584,26,22,0,40
Albania,4/21/20,609,26,25,0,41
Albania,4/22/20,634,27,25,1,42
Albania,4/23/20,663,27,29,0,43
Albania,4/24/20,678,27,15,0,44
Albania,4/25/20,712,27,34,0,45
Albania,4/26/20,726,28,14,1,46
Albania,4/27/20,736,28,10,0,47
Albania,4/28/20,750,30,14,2,48
Albania,4/29/20,766,30,16,0,49
Albania,4/30/20,773,31,7,1,50
Albania,5/1/20,782,31,9,0,51
Albania,5/2/20,789,31,7,0,52
Albania,5/3/20,795,31,6,0,53
Albania,5/4/20,803,31,8,0,54
Albania,5/5/20,820,31,17,0,55
Albania,5/6/20,832,31,12,0,56
Albania,5/7/20,842,31,10,0,57
Albania,5/8/20,850,31,8,0,58
Albania,5/9/20,856,31,6,0,59
Albania,5/10/20,868,31,12,0,60
Albania,5/11/20,872,31,4,0,61
Albania,5/12/20,876,31,4,0,62
Albania,5/13/20,880,31,4,0,63
Albania,5/14/20,898,31,18,0,64
Albania,5/15/20,916,31,18,0,65
Albania,5/16/20,933,31,17,0,66
Albania,5/17/20,946,31,13,0,67
Albania,5/18/20,948,31,2,0,68
Albania,5/19/20,949,31,1,0,69
Albania,5/20/20,964,31,15,0,70
Albania,5/21/20,969,31,5,0,71
Albania,5/22/20,981,31,12,0,72
Albania,5/23/20,989,31,8,0,73
Albania,5/24/20,998,32,9,1,74
Albania,5/25/20,1004,32,6,0,75
Albania,5/26/20,1029,33,25,1,76
Albania,5/27/20,1050,33,21,0,77
Albania,5/28/20,1076,33,26,0,78
Albania,5/29/20,1099,33,23,0,79
Albania,5/30/20,1122,33,23,0,80
