country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Mozambique,4/10/20,20,0,3,0,1
Mozambique,4/11/20,20,0,0,0,2
Mozambique,4/12/20,21,0,1,0,3
Mozambique,4/13/20,21,0,0,0,4
Mozambique,4/14/20,28,0,7,0,5
Mozambique,4/15/20,29,0,1,0,6
Mozambique,4/16/20,31,0,2,0,7
Mozambique,4/17/20,34,0,3,0,8
Mozambique,4/18/20,35,0,1,0,9
Mozambique,4/19/20,39,0,4,0,10
Mozambique,4/20/20,39,0,0,0,11
Mozambique,4/21/20,39,0,0,0,12
Mozambique,4/22/20,41,0,2,0,13
Mozambique,4/23/20,46,0,5,0,14
Mozambique,4/24/20,65,0,19,0,15
Mozambique,4/25/20,70,0,5,0,16
Mozambique,4/26/20,76,0,6,0,17
Mozambique,4/27/20,76,0,0,0,18
Mozambique,4/28/20,76,0,0,0,19
Mozambique,4/29/20,76,0,0,0,20
Mozambique,4/30/20,76,0,0,0,21
Mozambique,5/1/20,79,0,3,0,22
Mozambique,5/2/20,79,0,0,0,23
Mozambique,5/3/20,80,0,1,0,24
Mozambique,5/4/20,80,0,0,0,25
Mozambique,5/5/20,81,0,1,0,26
Mozambique,5/6/20,81,0,0,0,27
Mozambique,5/7/20,81,0,0,0,28
Mozambique,5/8/20,82,0,1,0,29
Mozambique,5/9/20,87,0,5,0,30
Mozambique,5/10/20,91,0,4,0,31
Mozambique,5/11/20,103,0,12,0,32
Mozambique,5/12/20,104,0,1,0,33
Mozambique,5/13/20,104,0,0,0,34
Mozambique,5/14/20,115,0,11,0,35
Mozambique,5/15/20,119,0,4,0,36
Mozambique,5/16/20,129,0,10,0,37
Mozambique,5/17/20,137,0,8,0,38
Mozambique,5/18/20,145,0,8,0,39
Mozambique,5/19/20,146,0,1,0,40
Mozambique,5/20/20,156,0,10,0,41
Mozambique,5/21/20,162,0,6,0,42
Mozambique,5/22/20,164,0,2,0,43
Mozambique,5/23/20,168,0,4,0,44
Mozambique,5/24/20,194,0,26,0,45
Mozambique,5/25/20,209,1,15,1,46
Mozambique,5/26/20,213,1,4,0,47
Mozambique,5/27/20,227,1,14,0,48
Mozambique,5/28/20,233,2,6,1,49
Mozambique,5/29/20,234,2,1,0,50
Mozambique,5/30/20,244,2,10,0,51
