country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Jordan,3/17/20,34,0,17,0,1
Jordan,3/18/20,52,0,18,0,2
Jordan,3/19/20,69,0,17,0,3
Jordan,3/20/20,85,0,16,0,4
Jordan,3/21/20,85,0,0,0,5
Jordan,3/22/20,112,0,27,0,6
Jordan,3/23/20,127,0,15,0,7
Jordan,3/24/20,154,0,27,0,8
Jordan,3/25/20,172,0,18,0,9
Jordan,3/26/20,212,0,40,0,10
Jordan,3/27/20,235,1,23,1,11
Jordan,3/28/20,246,1,11,0,12
Jordan,3/29/20,259,3,13,2,13
Jordan,3/30/20,268,5,9,2,14
Jordan,3/31/20,274,5,6,0,15
Jordan,4/1/20,278,5,4,0,16
Jordan,4/2/20,299,5,21,0,17
Jordan,4/3/20,310,5,11,0,18
Jordan,4/4/20,323,5,13,0,19
Jordan,4/5/20,345,5,22,0,20
Jordan,4/6/20,349,6,4,1,21
Jordan,4/7/20,353,6,4,0,22
Jordan,4/8/20,358,6,5,0,23
Jordan,4/9/20,372,7,14,1,24
Jordan,4/10/20,372,7,0,0,25
Jordan,4/11/20,381,7,9,0,26
Jordan,4/12/20,389,7,8,0,27
Jordan,4/13/20,391,7,2,0,28
Jordan,4/14/20,397,7,6,0,29
Jordan,4/15/20,401,7,4,0,30
Jordan,4/16/20,402,7,1,0,31
Jordan,4/17/20,407,7,5,0,32
Jordan,4/18/20,413,7,6,0,33
Jordan,4/19/20,417,7,4,0,34
Jordan,4/20/20,425,7,8,0,35
Jordan,4/21/20,428,7,3,0,36
Jordan,4/22/20,435,7,7,0,37
Jordan,4/23/20,437,7,2,0,38
Jordan,4/24/20,441,7,4,0,39
Jordan,4/25/20,444,7,3,0,40
Jordan,4/26/20,447,7,3,0,41
Jordan,4/27/20,449,7,2,0,42
Jordan,4/28/20,449,8,0,1,43
Jordan,4/29/20,451,8,2,0,44
Jordan,4/30/20,453,8,2,0,45
Jordan,5/1/20,459,8,6,0,46
Jordan,5/2/20,460,9,1,1,47
Jordan,5/3/20,461,9,1,0,48
Jordan,5/4/20,465,9,4,0,49
Jordan,5/5/20,471,9,6,0,50
Jordan,5/6/20,473,9,2,0,51
Jordan,5/7/20,494,9,21,0,52
Jordan,5/8/20,508,9,14,0,53
Jordan,5/9/20,522,9,14,0,54
Jordan,5/10/20,540,9,18,0,55
Jordan,5/11/20,562,9,22,0,56
Jordan,5/12/20,576,9,14,0,57
Jordan,5/13/20,582,9,6,0,58
Jordan,5/14/20,586,9,4,0,59
Jordan,5/15/20,596,9,10,0,60
Jordan,5/16/20,607,9,11,0,61
Jordan,5/17/20,613,9,6,0,62
Jordan,5/18/20,629,9,16,0,63
Jordan,5/19/20,649,9,20,0,64
Jordan,5/20/20,672,9,23,0,65
Jordan,5/21/20,684,9,12,0,66
Jordan,5/22/20,700,9,16,0,67
Jordan,5/23/20,704,9,4,0,68
Jordan,5/24/20,708,9,4,0,69
Jordan,5/25/20,711,9,3,0,70
Jordan,5/26/20,718,9,7,0,71
Jordan,5/27/20,720,9,2,0,72
Jordan,5/28/20,728,9,8,0,73
Jordan,5/29/20,730,9,2,0,74
Jordan,5/30/20,734,9,4,0,75
