country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Sao Tome and Principe,5/4/20,23,3,7,2,1
Sao Tome and Principe,5/5/20,174,3,151,0,2
Sao Tome and Principe,5/6/20,174,3,0,0,3
Sao Tome and Principe,5/7/20,187,4,13,1,4
Sao Tome and Principe,5/8/20,208,5,21,1,5
Sao Tome and Principe,5/9/20,208,5,0,0,6
Sao Tome and Principe,5/10/20,208,5,0,0,7
Sao Tome and Principe,5/11/20,208,5,0,0,8
Sao Tome and Principe,5/12/20,208,5,0,0,9
Sao Tome and Principe,5/13/20,220,6,12,1,10
Sao Tome and Principe,5/14/20,235,7,15,1,11
Sao Tome and Principe,5/15/20,235,7,0,0,12
Sao Tome and Principe,5/16/20,235,7,0,0,13
Sao Tome and Principe,5/17/20,235,7,0,0,14
Sao Tome and Principe,5/18/20,246,7,11,0,15
Sao Tome and Principe,5/19/20,251,8,5,1,16
Sao Tome and Principe,5/20/20,251,8,0,0,17
Sao Tome and Principe,5/21/20,251,8,0,0,18
Sao Tome and Principe,5/22/20,251,8,0,0,19
Sao Tome and Principe,5/23/20,251,8,0,0,20
Sao Tome and Principe,5/24/20,251,8,0,0,21
Sao Tome and Principe,5/25/20,299,11,48,3,22
Sao Tome and Principe,5/26/20,441,12,142,1,23
Sao Tome and Principe,5/27/20,443,12,2,0,24
Sao Tome and Principe,5/28/20,458,12,15,0,25
Sao Tome and Principe,5/29/20,463,12,5,0,26
Sao Tome and Principe,5/30/20,479,12,16,0,27
Sao Tome and Principe,5/31/20,483,12,4,0,28
Sao Tome and Principe,6/1/20,484,12,1,0,29
Sao Tome and Principe,6/2/20,484,12,0,0,30
Sao Tome and Principe,6/3/20,484,12,0,0,31
Sao Tome and Principe,6/4/20,485,12,1,0,32
Sao Tome and Principe,6/5/20,499,12,14,0,33
Sao Tome and Principe,6/6/20,499,12,0,0,34
Sao Tome and Principe,6/7/20,513,12,14,0,35
Sao Tome and Principe,6/8/20,513,12,0,0,36
