country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Sudan,4/13/20,29,4,10,2,1
Sudan,4/14/20,32,5,3,1,2
Sudan,4/15/20,32,5,0,0,3
Sudan,4/16/20,32,5,0,0,4
Sudan,4/17/20,33,6,1,1,5
Sudan,4/18/20,66,10,33,4,6
Sudan,4/19/20,66,10,0,0,7
Sudan,4/20/20,107,12,41,2,8
Sudan,4/21/20,107,12,0,0,9
Sudan,4/22/20,140,13,33,1,10
Sudan,4/23/20,174,16,34,3,11
Sudan,4/24/20,174,16,0,0,12
Sudan,4/25/20,213,17,39,1,13
Sudan,4/26/20,237,21,24,4,14
Sudan,4/27/20,275,22,38,1,15
Sudan,4/28/20,318,25,43,3,16
Sudan,4/29/20,375,28,57,3,17
Sudan,4/30/20,442,31,67,3,18
Sudan,5/1/20,533,36,91,5,19
