state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Florida,3/9/20,13,2,3,0,1
Florida,3/10/20,15,2,2,0,2
Florida,3/11/20,24,2,9,0,3
Florida,3/12/20,30,2,6,0,4
Florida,3/13/20,50,2,20,0,5
Florida,3/14/20,76,2,26,0,6
Florida,3/15/20,100,3,24,1,7
Florida,3/16/20,101,3,1,0,8
Florida,3/17/20,190,5,89,2,9
Florida,3/18/20,306,7,116,2,10
Florida,3/19/20,432,9,126,2,11
Florida,3/20/20,564,11,132,2,12
Florida,3/21/20,763,13,199,2,13
Florida,3/22/20,1004,13,241,0,14
Florida,3/23/20,1227,18,223,5,15
Florida,3/24/20,1412,18,185,0,16
Florida,3/25/20,1682,23,270,5,17
Florida,3/26/20,2357,29,675,6,18
Florida,3/27/20,2900,35,543,6,19
Florida,3/28/20,3763,54,863,19,20
Florida,3/29/20,4246,56,483,2,21
Florida,3/30/20,5473,63,1227,7,22
Florida,3/31/20,6741,85,1268,22,23
Florida,4/1/20,6956,87,215,2,24
Florida,4/2/20,9008,164,2052,77,25
Florida,4/3/20,10268,170,1260,6,26
Florida,4/4/20,11537,195,1269,25,27
Florida,4/5/20,12350,221,813,26,28
Florida,4/6/20,13324,236,974,15,29
Florida,4/7/20,14545,283,1221,47,30
Florida,4/8/20,15456,309,911,26,31
Florida,4/9/20,16364,354,908,45,32
Florida,4/10/20,17531,390,1167,36,33
Florida,4/11/20,18494,438,963,48,34
Florida,4/12/20,19895,461,1401,23,35
Florida,4/13/20,21019,499,1124,38,36
Florida,4/14/20,21628,571,609,72,37
Florida,4/15/20,22511,596,883,25,38
Florida,4/16/20,23343,668,832,72,39
Florida,4/17/20,24759,725,1416,57,40
Florida,4/18/20,25492,748,733,23,41
Florida,4/19/20,26314,774,822,26,42
Florida,4/20/20,27059,822,745,48,43
Florida,4/21/20,27869,867,810,45,44
Florida,4/22/20,28309,893,440,26,45
Florida,4/23/20,29648,987,1339,94,46
Florida,4/24/20,30533,1046,885,59,47
Florida,4/25/20,30839,1055,306,9,48
Florida,4/26/20,31532,1075,693,20,49
Florida,4/27/20,32138,1088,606,13,50
