state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
South Dakota,3/16/20,10,1,2,0,1
South Dakota,3/17/20,11,1,1,0,2
South Dakota,3/18/20,11,1,0,0,3
South Dakota,3/19/20,14,1,3,0,4
South Dakota,3/20/20,14,1,0,0,5
South Dakota,3/21/20,14,1,0,0,6
South Dakota,3/22/20,21,1,7,0,7
South Dakota,3/23/20,28,1,7,0,8
South Dakota,3/24/20,30,1,2,0,9
South Dakota,3/25/20,41,1,11,0,10
South Dakota,3/26/20,46,1,5,0,11
South Dakota,3/27/20,58,1,12,0,12
South Dakota,3/28/20,68,1,10,0,13
South Dakota,3/29/20,90,1,22,0,14
South Dakota,3/30/20,101,1,11,0,15
South Dakota,3/31/20,108,1,7,0,16
South Dakota,4/1/20,129,2,21,1,17
South Dakota,4/2/20,165,2,36,0,18
South Dakota,4/3/20,187,2,22,0,19
South Dakota,4/4/20,212,2,25,0,20
South Dakota,4/5/20,240,2,28,0,21
South Dakota,4/6/20,288,4,48,2,22
South Dakota,4/7/20,320,6,32,2,23
South Dakota,4/8/20,393,6,73,0,24
South Dakota,4/9/20,447,6,54,0,25
South Dakota,4/10/20,536,6,89,0,26
South Dakota,4/11/20,626,6,90,0,27
South Dakota,4/12/20,730,6,104,0,28
South Dakota,4/13/20,868,6,138,0,29
South Dakota,4/14/20,988,6,120,0,30
South Dakota,4/15/20,1168,6,180,0,31
South Dakota,4/16/20,1311,7,143,1,32
South Dakota,4/17/20,1411,7,100,0,33
South Dakota,4/18/20,1542,7,131,0,34
South Dakota,4/19/20,1635,7,93,0,35
South Dakota,4/20/20,1685,7,50,0,36
South Dakota,4/21/20,1755,8,70,1,37
South Dakota,4/22/20,1858,9,103,1,38
South Dakota,4/23/20,1956,9,98,0,39
South Dakota,4/24/20,2040,10,84,1,40
South Dakota,4/25/20,2147,10,107,0,41
South Dakota,4/26/20,2212,11,65,1,42
South Dakota,4/27/20,2244,11,32,0,43
South Dakota,4/28/20,2313,11,69,0,44
South Dakota,4/29/20,2373,13,60,2,45
South Dakota,4/30/20,2449,17,76,4,46
South Dakota,5/1/20,2525,21,76,4,47
South Dakota,5/2/20,2588,21,63,0,48
South Dakota,5/3/20,2631,21,43,0,49
South Dakota,5/4/20,2668,21,37,0,50
South Dakota,5/5/20,2721,24,53,3,51
South Dakota,5/6/20,2780,29,59,5,52
South Dakota,5/7/20,2906,31,126,2,53
South Dakota,5/8/20,3145,31,239,0,54
South Dakota,5/9/20,3393,34,248,3,55
South Dakota,5/10/20,3517,34,124,0,56
South Dakota,5/11/20,3614,34,97,0,57
South Dakota,5/12/20,3663,39,49,5,58
South Dakota,5/13/20,3732,39,69,0,59
South Dakota,5/14/20,3792,43,60,4,60
South Dakota,5/15/20,3887,44,95,1,61
South Dakota,5/16/20,3959,44,72,0,62
South Dakota,5/17/20,3987,44,28,0,63
South Dakota,5/18/20,4027,44,40,0,64
South Dakota,5/19/20,4085,46,58,2,65
South Dakota,5/20/20,4177,46,92,0,66
South Dakota,5/21/20,4177,48,0,2,67
South Dakota,5/22/20,4356,50,179,2,68
South Dakota,5/23/20,4464,50,108,0,69
South Dakota,5/24/20,4563,50,99,0,70
South Dakota,5/25/20,4586,50,23,0,71
South Dakota,5/26/20,4653,50,67,0,72
South Dakota,5/27/20,4710,54,57,4,73
South Dakota,5/28/20,4793,54,83,0,74
South Dakota,5/29/20,4866,59,73,5,75
South Dakota,5/30/20,4960,62,94,3,76
South Dakota,5/31/20,4993,62,33,0,77
South Dakota,6/1/20,5034,62,41,0,78
South Dakota,6/2/20,5067,62,33,0,79
South Dakota,6/3/20,5162,62,95,0,80
South Dakota,6/4/20,5247,64,85,2,81
South Dakota,6/5/20,5277,64,30,0,82
South Dakota,6/6/20,5367,65,90,1,83
South Dakota,6/7/20,5438,65,71,0,84
South Dakota,6/8/20,5471,65,33,0,85
South Dakota,6/9/20,5523,68,52,3,86
South Dakota,6/10/20,5604,69,81,1,87
South Dakota,6/11/20,5665,73,61,4,88
South Dakota,6/12/20,5742,74,77,1,89
South Dakota,6/13/20,5833,75,91,1,90
South Dakota,6/14/20,5898,75,65,0,91
South Dakota,6/15/20,5928,75,30,0,92
South Dakota,6/16/20,5966,77,38,2,93
South Dakota,6/17/20,6050,78,84,1,94
South Dakota,6/18/20,6109,78,59,0,95
South Dakota,6/19/20,6158,81,49,3,96
South Dakota,6/20/20,6225,81,67,0,97
South Dakota,6/21/20,6297,81,72,0,98
South Dakota,6/22/20,6326,81,29,0,99
South Dakota,6/23/20,6353,83,27,2,100
South Dakota,6/24/20,6419,84,66,1,101
