country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Egypt,3/8/20,49,1,34,1,1
Egypt,3/9/20,55,1,6,0,2
Egypt,3/10/20,59,1,4,0,3
Egypt,3/11/20,60,1,1,0,4
Egypt,3/12/20,67,1,7,0,5
Egypt,3/13/20,80,2,13,1,6
Egypt,3/14/20,109,2,29,0,7
Egypt,3/15/20,110,2,1,0,8
Egypt,3/16/20,150,2,40,0,9
Egypt,3/17/20,196,4,46,2,10
Egypt,3/18/20,196,6,0,2,11
Egypt,3/19/20,256,6,60,0,12
Egypt,3/20/20,285,8,29,2,13
Egypt,3/21/20,294,10,9,2,14
Egypt,3/22/20,327,14,33,4,15
Egypt,3/23/20,366,19,39,5,16
Egypt,3/24/20,402,20,36,1,17
Egypt,3/25/20,456,21,54,1,18
Egypt,3/26/20,495,24,39,3,19
Egypt,3/27/20,536,30,41,6,20
Egypt,3/28/20,576,36,40,6,21
Egypt,3/29/20,609,40,33,4,22
Egypt,3/30/20,656,41,47,1,23
Egypt,3/31/20,710,46,54,5,24
Egypt,4/1/20,779,52,69,6,25
Egypt,4/2/20,865,58,86,6,26
Egypt,4/3/20,985,66,120,8,27
Egypt,4/4/20,1070,71,85,5,28
Egypt,4/5/20,1173,78,103,7,29
Egypt,4/6/20,1322,85,149,7,30
Egypt,4/7/20,1450,94,128,9,31
Egypt,4/8/20,1560,103,110,9,32
Egypt,4/9/20,1699,118,139,15,33
Egypt,4/10/20,1794,135,95,17,34
Egypt,4/11/20,1939,146,145,11,35
Egypt,4/12/20,2065,159,126,13,36
Egypt,4/13/20,2190,164,125,5,37
Egypt,4/14/20,2350,178,160,14,38
Egypt,4/15/20,2505,183,155,5,39
Egypt,4/16/20,2673,196,168,13,40
Egypt,4/17/20,2844,205,171,9,41
Egypt,4/18/20,3032,224,188,19,42
Egypt,4/19/20,3144,239,112,15,43
Egypt,4/20/20,3333,250,189,11,44
Egypt,4/21/20,3490,264,157,14,45
Egypt,4/22/20,3659,276,169,12,46
Egypt,4/23/20,3891,287,232,11,47
Egypt,4/24/20,4092,294,201,7,48
Egypt,4/25/20,4319,307,227,13,49
Egypt,4/26/20,4534,317,215,10,50
Egypt,4/27/20,4782,337,248,20,51
Egypt,4/28/20,5042,359,260,22,52
Egypt,4/29/20,5268,380,226,21,53
Egypt,4/30/20,5537,392,269,12,54
Egypt,5/1/20,5895,406,358,14,55
Egypt,5/2/20,6193,415,298,9,56
Egypt,5/3/20,6465,429,272,14,57
Egypt,5/4/20,6813,436,348,7,58
Egypt,5/5/20,7201,452,388,16,59
Egypt,5/6/20,7588,469,387,17,60
Egypt,5/7/20,7981,482,393,13,61
Egypt,5/8/20,8476,503,495,21,62
Egypt,5/9/20,8964,514,488,11,63
Egypt,5/10/20,9400,525,436,11,64
Egypt,5/11/20,9746,533,346,8,65
Egypt,5/12/20,10093,544,347,11,66
Egypt,5/13/20,10431,556,338,12,67
Egypt,5/14/20,10829,571,398,15,68
Egypt,5/15/20,11228,592,399,21,69
Egypt,5/16/20,11719,612,491,20,70
Egypt,5/17/20,12229,630,510,18,71
Egypt,5/18/20,12764,645,535,15,72
Egypt,5/19/20,13484,659,720,14,73
Egypt,5/20/20,14229,680,745,21,74
Egypt,5/21/20,15003,696,774,16,75
Egypt,5/22/20,15786,707,783,11,76
Egypt,5/23/20,16513,735,727,28,77
Egypt,5/24/20,17265,764,752,29,78
Egypt,5/25/20,17967,783,702,19,79
Egypt,5/26/20,18756,797,789,14,80
Egypt,5/27/20,19666,816,910,19,81
Egypt,5/28/20,20793,845,1127,29,82
Egypt,5/29/20,22082,879,1289,34,83
Egypt,5/30/20,23449,913,1367,34,84
Egypt,5/31/20,24985,959,1536,46,85
Egypt,6/1/20,26384,1005,1399,46,86
