country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Guinea,3/30/20,22,0,6,0,1
Guinea,3/31/20,22,0,0,0,2
Guinea,4/1/20,30,0,8,0,3
Guinea,4/2/20,52,0,22,0,4
Guinea,4/3/20,73,0,21,0,5
Guinea,4/4/20,111,0,38,0,6
Guinea,4/5/20,121,0,10,0,7
Guinea,4/6/20,128,0,7,0,8
Guinea,4/7/20,144,0,16,0,9
Guinea,4/8/20,164,0,20,0,10
Guinea,4/9/20,194,0,30,0,11
Guinea,4/10/20,212,0,18,0,12
Guinea,4/11/20,250,0,38,0,13
Guinea,4/12/20,250,0,0,0,14
Guinea,4/13/20,319,0,69,0,15
Guinea,4/14/20,363,0,44,0,16
Guinea,4/15/20,404,1,41,1,17
Guinea,4/16/20,438,1,34,0,18
Guinea,4/17/20,477,3,39,2,19
Guinea,4/18/20,518,3,41,0,20
Guinea,4/19/20,579,5,61,2,21
Guinea,4/20/20,622,5,43,0,22
Guinea,4/21/20,688,6,66,1,23
Guinea,4/22/20,761,6,73,0,24
Guinea,4/23/20,862,6,101,0,25
Guinea,4/24/20,954,6,92,0,26
Guinea,4/25/20,996,7,42,1,27
Guinea,4/26/20,996,7,0,0,28
Guinea,4/27/20,1163,7,167,0,29
Guinea,4/28/20,1240,7,77,0,30
Guinea,4/29/20,1351,7,111,0,31
Guinea,4/30/20,1495,7,144,0,32
Guinea,5/1/20,1537,7,42,0,33
Guinea,5/2/20,1586,7,49,0,34
Guinea,5/3/20,1586,7,0,0,35
Guinea,5/4/20,1710,9,124,2,36
Guinea,5/5/20,1811,10,101,1,37
Guinea,5/6/20,1856,11,45,1,38
Guinea,5/7/20,1927,11,71,0,39
Guinea,5/8/20,2009,11,82,0,40
Guinea,5/9/20,2042,11,33,0,41
Guinea,5/10/20,2146,11,104,0,42
Guinea,5/11/20,2146,11,0,0,43
Guinea,5/12/20,2298,11,152,0,44
Guinea,5/13/20,2374,14,76,3,45
Guinea,5/14/20,2473,15,99,1,46
Guinea,5/15/20,2473,15,0,0,47
Guinea,5/16/20,2658,16,185,1,48
Guinea,5/17/20,2658,16,0,0,49
Guinea,5/18/20,2796,16,138,0,50
Guinea,5/19/20,2863,18,67,2,51
Guinea,5/20/20,2863,18,0,0,52
Guinea,5/21/20,3067,18,204,0,53
Guinea,5/22/20,3067,19,0,1,54
Guinea,5/23/20,3176,20,109,1,55
Guinea,5/24/20,3275,20,99,0,56
Guinea,5/25/20,3275,20,0,0,57
Guinea,5/26/20,3275,20,0,0,58
Guinea,5/27/20,3275,20,0,0,59
Guinea,5/28/20,3553,22,278,2,60
Guinea,5/29/20,3656,22,103,0,61
Guinea,5/30/20,3706,23,50,1,62
Guinea,5/31/20,3706,23,0,0,63
Guinea,6/1/20,3844,23,138,0,64
