country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Panama,3/13/20,27,1,16,0,1
Panama,3/14/20,36,1,9,0,2
Panama,3/15/20,43,1,7,0,3
Panama,3/16/20,55,1,12,0,4
Panama,3/17/20,69,1,14,0,5
Panama,3/18/20,86,1,17,0,6
Panama,3/19/20,109,1,23,0,7
Panama,3/20/20,137,1,28,0,8
Panama,3/21/20,200,1,63,0,9
Panama,3/22/20,313,3,113,2,10
Panama,3/23/20,345,6,32,3,11
Panama,3/24/20,345,6,0,0,12
Panama,3/25/20,443,8,98,2,13
Panama,3/26/20,558,8,115,0,14
Panama,3/27/20,674,9,116,1,15
Panama,3/28/20,786,14,112,5,16
Panama,3/29/20,901,17,115,3,17
Panama,3/30/20,989,24,88,7,18
Panama,3/31/20,1181,30,192,6,19
Panama,4/1/20,1181,30,0,0,20
Panama,4/2/20,1317,32,136,2,21
Panama,4/3/20,1475,37,158,5,22
Panama,4/4/20,1673,41,198,4,23
Panama,4/5/20,1801,46,128,5,24
Panama,4/6/20,1988,54,187,8,25
Panama,4/7/20,2100,55,112,1,26
Panama,4/8/20,2249,59,149,4,27
Panama,4/9/20,2528,63,279,4,28
Panama,4/10/20,2752,66,224,3,29
Panama,4/11/20,2974,74,222,8,30
Panama,4/12/20,3234,79,260,5,31
Panama,4/13/20,3400,87,166,8,32
Panama,4/14/20,3472,94,72,7,33
Panama,4/15/20,3574,95,102,1,34
Panama,4/16/20,3751,103,177,8,35
Panama,4/17/20,4016,109,265,6,36
Panama,4/18/20,4210,116,194,7,37
Panama,4/19/20,4273,120,63,4,38
Panama,4/20/20,4467,126,194,6,39
Panama,4/21/20,4658,136,191,10,40
Panama,4/22/20,4821,141,163,5,41
Panama,4/23/20,5166,146,345,5,42
Panama,4/24/20,5338,154,172,8,43
Panama,4/25/20,5538,159,200,5,44
Panama,4/26/20,5779,165,241,6,45
Panama,4/27/20,6021,167,242,2,46
Panama,4/28/20,6021,167,0,0,47
Panama,4/29/20,6378,178,357,11,48
Panama,4/30/20,6532,188,154,10,49
Panama,5/1/20,6720,192,188,4,50
Panama,5/2/20,7090,197,370,5,51
Panama,5/3/20,7090,197,0,0,52
Panama,5/4/20,7197,200,107,3,53
Panama,5/5/20,7523,210,326,10,54
Panama,5/6/20,7731,218,208,8,55
Panama,5/7/20,7868,225,137,7,56
Panama,5/8/20,8070,231,202,6,57
Panama,5/9/20,8282,237,212,6,58
Panama,5/10/20,8448,244,166,7,59
Panama,5/11/20,8616,249,168,5,60
Panama,5/12/20,8783,252,167,3,61
Panama,5/13/20,8944,256,161,4,62
Panama,5/14/20,9118,260,174,4,63
Panama,5/15/20,9268,266,150,6,64
Panama,5/16/20,9449,269,181,3,65
Panama,5/17/20,9606,275,157,6,66
Panama,5/18/20,9726,279,120,4,67
Panama,5/19/20,9867,281,141,2,68
Panama,5/20/20,9977,287,110,6,69
Panama,5/21/20,10116,291,139,4,70
Panama,5/22/20,10267,295,151,4,71
Panama,5/23/20,10577,299,310,4,72
Panama,5/24/20,10926,306,349,7,73
Panama,5/25/20,11183,310,257,4,74
Panama,5/26/20,11447,313,264,3,75
Panama,5/27/20,11728,315,281,2,76
Panama,5/28/20,12131,320,403,5,77
Panama,5/29/20,12531,326,400,6,78
Panama,5/30/20,13018,330,487,4,79
Panama,5/31/20,13463,336,445,6,80
Panama,6/1/20,13837,344,374,8,81
