country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Haiti,4/4/20,20,0,2,0,1
Haiti,4/5/20,21,1,1,1,2
Haiti,4/6/20,24,1,3,0,3
Haiti,4/7/20,25,1,1,0,4
Haiti,4/8/20,27,1,2,0,5
Haiti,4/9/20,30,2,3,1,6
Haiti,4/10/20,31,2,1,0,7
Haiti,4/11/20,33,2,2,0,8
Haiti,4/12/20,33,3,0,1,9
Haiti,4/13/20,40,3,7,0,10
Haiti,4/14/20,40,3,0,0,11
Haiti,4/15/20,41,3,1,0,12
Haiti,4/16/20,41,3,0,0,13
Haiti,4/17/20,43,3,2,0,14
Haiti,4/18/20,44,3,1,0,15
Haiti,4/19/20,47,3,3,0,16
Haiti,4/20/20,57,3,10,0,17
Haiti,4/21/20,57,3,0,0,18
Haiti,4/22/20,62,4,5,1,19
Haiti,4/23/20,72,5,10,1,20
Haiti,4/24/20,72,5,0,0,21
Haiti,4/25/20,72,6,0,1,22
Haiti,4/26/20,74,6,2,0,23
Haiti,4/27/20,76,6,2,0,24
Haiti,4/28/20,76,6,0,0,25
Haiti,4/29/20,76,6,0,0,26
Haiti,4/30/20,81,8,5,2,27
Haiti,5/1/20,85,8,4,0,28
Haiti,5/2/20,85,8,0,0,29
Haiti,5/3/20,88,9,3,1,30
Haiti,5/4/20,100,11,12,2,31
Haiti,5/5/20,101,12,1,1,32
Haiti,5/6/20,101,12,0,0,33
Haiti,5/7/20,129,12,28,0,34
Haiti,5/8/20,146,12,17,0,35
Haiti,5/9/20,151,12,5,0,36
Haiti,5/10/20,182,15,31,3,37
Haiti,5/11/20,209,16,27,1,38
Haiti,5/12/20,209,16,0,0,39
Haiti,5/13/20,234,18,25,2,40
Haiti,5/14/20,273,20,39,2,41
Haiti,5/15/20,310,20,37,0,42
Haiti,5/16/20,358,20,48,0,43
Haiti,5/17/20,456,20,98,0,44
Haiti,5/18/20,533,21,77,1,45
Haiti,5/19/20,533,21,0,0,46
Haiti,5/20/20,596,22,63,1,47
Haiti,5/21/20,734,25,138,3,48
Haiti,5/22/20,812,25,78,0,49
Haiti,5/23/20,865,26,53,1,50
Haiti,5/24/20,865,26,0,0,51
Haiti,5/25/20,958,27,93,1,52
