state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Illinois,3/10/20,12,0,5,0,1
Illinois,3/11/20,25,0,13,0,2
Illinois,3/12/20,32,0,7,0,3
Illinois,3/13/20,46,0,14,0,4
Illinois,3/14/20,64,0,18,0,5
Illinois,3/15/20,66,0,2,0,6
Illinois,3/16/20,83,0,17,0,7
Illinois,3/17/20,161,1,78,1,8
Illinois,3/18/20,272,1,111,0,9
Illinois,3/19/20,422,4,150,3,10
Illinois,3/20/20,585,5,163,1,11
Illinois,3/21/20,753,6,168,1,12
Illinois,3/22/20,1049,9,296,3,13
Illinois,3/23/20,1285,12,236,3,14
Illinois,3/24/20,1537,16,252,4,15
Illinois,3/25/20,1865,19,328,3,16
Illinois,3/26/20,2538,26,673,7,17
Illinois,3/27/20,3024,34,486,8,18
Illinois,3/28/20,3491,47,467,13,19
Illinois,3/29/20,4596,66,1105,19,20
Illinois,3/30/20,5056,73,460,7,21
Illinois,3/31/20,5994,99,938,26,22
Illinois,4/1/20,6980,141,986,42,23
Illinois,4/2/20,7695,163,715,22,24
Illinois,4/3/20,8904,210,1209,47,25
Illinois,4/4/20,10357,244,1453,34,26
Illinois,4/5/20,11259,274,902,30,27
Illinois,4/6/20,12262,307,1003,33,28
Illinois,4/7/20,13553,380,1291,73,29
Illinois,4/8/20,15078,462,1525,82,30
Illinois,4/9/20,16422,528,1344,66,31
Illinois,4/10/20,17887,597,1465,69,32
Illinois,4/11/20,19180,677,1293,80,33
Illinois,4/12/20,20852,720,1672,43,34
Illinois,4/13/20,22025,798,1173,78,35
Illinois,4/14/20,23248,868,1223,70,36
Illinois,4/15/20,24593,949,1345,81,37
Illinois,4/16/20,25734,1072,1141,123,38
Illinois,4/17/20,27578,1132,1844,60,39
Illinois,4/18/20,29160,1259,1582,127,40
Illinois,4/19/20,30357,1290,1197,31,41
Illinois,4/20/20,31513,1349,1156,59,42
Illinois,4/21/20,33059,1468,1546,119,43
Illinois,4/22/20,35107,1565,2048,97,44
Illinois,4/23/20,36937,1688,1830,123,45
Illinois,4/24/20,39658,1795,2721,107,46
Illinois,4/25/20,41777,1875,2119,80,47
Illinois,4/26/20,43903,1933,2126,58,48
Illinois,4/27/20,45883,1983,1980,50,49
Illinois,4/28/20,48102,2125,2219,142,50
Illinois,4/29/20,50358,2215,2256,90,51
Illinois,4/30/20,52918,2355,2560,140,52
Illinois,5/1/20,56055,2457,3137,102,53
Illinois,5/2/20,58505,2559,2450,102,54
Illinois,5/3/20,61499,2618,2994,59,55
Illinois,5/4/20,63777,2659,2278,41,56
Illinois,5/5/20,65889,2834,2112,175,57
Illinois,5/6/20,68232,2974,2343,140,58
Illinois,5/7/20,70871,3111,2639,137,59
Illinois,5/8/20,73760,3241,2889,130,60
Illinois,5/9/20,76085,3349,2325,108,61
Illinois,5/10/20,77741,3406,1656,57,62
Illinois,5/11/20,79007,3459,1266,53,63
Illinois,5/12/20,83021,3601,4014,142,64
Illinois,5/13/20,84694,3792,1673,191,65
Illinois,5/14/20,87937,3928,3243,136,66
Illinois,5/15/20,90369,4059,2432,131,67
Illinois,5/16/20,92457,4129,2088,70,68
Illinois,5/17/20,94191,4177,1734,48,69
Illinois,5/18/20,96485,4234,2294,57,70
Illinois,5/19/20,98030,4379,1545,145,71
Illinois,5/20/20,100418,4525,2388,146,72
Illinois,5/21/20,102688,4607,2270,82,73
Illinois,5/22/20,105444,4715,2756,108,74
Illinois,5/23/20,107796,4790,2352,75,75
Illinois,5/24/20,110304,4856,2508,66,76
Illinois,5/25/20,112017,4885,1713,29,77
Illinois,5/26/20,113195,4923,1178,38,78
Illinois,5/27/20,114306,5083,1111,160,79
Illinois,5/28/20,115833,5186,1527,103,80
Illinois,5/29/20,117455,5270,1622,84,81
Illinois,5/30/20,118917,5330,1462,60,82
Illinois,5/31/20,120260,5390,1343,60,83
Illinois,6/1/20,121234,5412,974,22,84
Illinois,6/2/20,122848,5525,1614,113,85
Illinois,6/3/20,123830,5621,982,96,86
Illinois,6/4/20,124759,5736,929,115,87
Illinois,6/5/20,125915,5795,1156,59,88
Illinois,6/6/20,126890,5864,975,69,89
Illinois,6/7/20,127757,5904,867,40,90
Illinois,6/8/20,128415,5924,658,20,91
Illinois,6/9/20,129212,6018,797,94,92
Illinois,6/10/20,129837,6095,625,77,93
Illinois,6/11/20,130603,6185,766,90,94
Illinois,6/12/20,131198,6260,595,75,95
Illinois,6/13/20,131871,6289,673,29,96
Illinois,6/14/20,132543,6308,672,19,97
Illinois,6/15/20,133016,6326,473,18,98
Illinois,6/16/20,133639,6398,623,72,99
Illinois,6/17/20,134185,6485,546,87,100
Illinois,6/18/20,134778,6537,593,52,101
Illinois,6/19/20,135470,6580,692,43,102
Illinois,6/20/20,136104,6625,634,45,103
Illinois,6/21/20,136762,6647,658,22,104
Illinois,6/22/20,137224,6671,462,24,105
Illinois,6/23/20,137825,6707,601,36,106
Illinois,6/24/20,138540,6770,715,63,107
Illinois,6/25/20,139434,6810,894,40,108
