state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Tennessee,3/12/20,18,0,9,0,1
Tennessee,3/13/20,26,0,8,0,2
Tennessee,3/14/20,32,0,6,0,3
Tennessee,3/15/20,32,0,0,0,4
Tennessee,3/16/20,52,0,20,0,5
Tennessee,3/17/20,74,0,22,0,6
Tennessee,3/18/20,100,0,26,0,7
Tennessee,3/19/20,154,0,54,0,8
Tennessee,3/20/20,223,1,69,1,9
Tennessee,3/21/20,304,1,81,0,10
Tennessee,3/22/20,393,2,89,1,11
Tennessee,3/23/20,614,2,221,0,12
Tennessee,3/24/20,772,2,158,0,13
Tennessee,3/25/20,916,3,144,1,14
Tennessee,3/26/20,1097,3,181,0,15
Tennessee,3/27/20,1318,6,221,3,16
Tennessee,3/28/20,1511,7,193,1,17
Tennessee,3/29/20,1720,8,209,1,18
Tennessee,3/30/20,1917,14,197,6,19
Tennessee,3/31/20,2391,23,474,9,20
Tennessee,4/1/20,2933,24,542,1,21
Tennessee,4/2/20,3013,36,80,12,22
Tennessee,4/3/20,3067,41,54,5,23
Tennessee,4/4/20,3322,50,255,9,24
Tennessee,4/5/20,3633,53,311,3,25
Tennessee,4/6/20,3802,65,169,12,26
Tennessee,4/7/20,4139,72,337,7,27
Tennessee,4/8/20,4363,80,224,8,28
Tennessee,4/9/20,4634,94,271,14,29
Tennessee,4/10/20,4891,98,257,4,30
Tennessee,4/11/20,5132,106,241,8,31
Tennessee,4/12/20,5508,106,376,0,32
Tennessee,4/13/20,5610,109,102,3,33
Tennessee,4/14/20,5827,124,217,15,34
Tennessee,4/15/20,5827,124,0,0,35
Tennessee,4/16/20,6166,136,339,12,36
Tennessee,4/17/20,6263,141,97,5,37
Tennessee,4/18/20,6589,142,326,1,38
Tennessee,4/19/20,7070,148,481,6,39
Tennessee,4/20/20,7238,152,168,4,40
Tennessee,4/21/20,7394,157,156,5,41
Tennessee,4/22/20,7394,157,0,0,42
Tennessee,4/23/20,8266,171,872,14,43
Tennessee,4/24/20,8728,169,462,-2,44
Tennessee,4/25/20,9189,177,461,8,45
Tennessee,4/26/20,9667,181,478,4,46
Tennessee,4/27/20,9918,184,251,3,47
Tennessee,4/28/20,10052,188,134,4,48
Tennessee,4/29/20,10366,195,314,7,49
Tennessee,4/30/20,10735,199,369,4,50
Tennessee,5/1/20,11891,204,1156,5,51
Tennessee,5/2/20,12661,209,770,5,52
Tennessee,5/3/20,13177,210,516,1,53
Tennessee,5/4/20,13571,219,394,9,54
Tennessee,5/5/20,13690,226,119,7,55
Tennessee,5/6/20,13938,239,248,13,56
Tennessee,5/7/20,14096,238,158,-1,57
Tennessee,5/8/20,14441,242,345,4,58
Tennessee,5/9/20,14768,242,327,0,59
Tennessee,5/10/20,14985,243,217,1,60
Tennessee,5/11/20,15544,251,559,8,61
Tennessee,5/12/20,16111,266,567,15,62
Tennessee,5/13/20,16370,273,259,7,63
Tennessee,5/14/20,16699,287,329,14,64
Tennessee,5/15/20,16960,290,261,3,65
Tennessee,5/16/20,17263,295,303,5,66
Tennessee,5/17/20,17359,298,96,3,67
Tennessee,5/18/20,18011,301,652,3,68
Tennessee,5/19/20,18412,305,401,4,69
Tennessee,5/20/20,18412,305,0,0,70
