country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Kyrgyzstan,3/24/20,42,0,26,0,1
Kyrgyzstan,3/25/20,44,0,2,0,2
Kyrgyzstan,3/26/20,44,0,0,0,3
Kyrgyzstan,3/27/20,58,0,14,0,4
Kyrgyzstan,3/28/20,58,0,0,0,5
Kyrgyzstan,3/29/20,84,0,26,0,6
Kyrgyzstan,3/30/20,94,0,10,0,7
Kyrgyzstan,3/31/20,107,0,13,0,8
Kyrgyzstan,4/1/20,111,0,4,0,9
Kyrgyzstan,4/2/20,116,0,5,0,10
Kyrgyzstan,4/3/20,130,1,14,1,11
Kyrgyzstan,4/4/20,144,1,14,0,12
Kyrgyzstan,4/5/20,147,1,3,0,13
Kyrgyzstan,4/6/20,216,4,69,3,14
Kyrgyzstan,4/7/20,228,4,12,0,15
Kyrgyzstan,4/8/20,270,4,42,0,16
Kyrgyzstan,4/9/20,280,4,10,0,17
Kyrgyzstan,4/10/20,298,5,18,1,18
Kyrgyzstan,4/11/20,339,5,41,0,19
Kyrgyzstan,4/12/20,377,5,38,0,20
Kyrgyzstan,4/13/20,419,5,42,0,21
Kyrgyzstan,4/14/20,430,5,11,0,22
Kyrgyzstan,4/15/20,449,5,19,0,23
Kyrgyzstan,4/16/20,466,5,17,0,24
Kyrgyzstan,4/17/20,489,5,23,0,25
Kyrgyzstan,4/18/20,506,5,17,0,26
Kyrgyzstan,4/19/20,554,5,48,0,27
Kyrgyzstan,4/20/20,568,7,14,2,28
Kyrgyzstan,4/21/20,590,7,22,0,29
Kyrgyzstan,4/22/20,612,7,22,0,30
Kyrgyzstan,4/23/20,631,8,19,1,31
Kyrgyzstan,4/24/20,665,8,34,0,32
Kyrgyzstan,4/25/20,665,8,0,0,33
Kyrgyzstan,4/26/20,682,8,17,0,34
Kyrgyzstan,4/27/20,695,8,13,0,35
Kyrgyzstan,4/28/20,708,8,13,0,36
Kyrgyzstan,4/29/20,729,8,21,0,37
Kyrgyzstan,4/30/20,746,8,17,0,38
Kyrgyzstan,5/1/20,756,8,10,0,39
Kyrgyzstan,5/2/20,769,8,13,0,40
Kyrgyzstan,5/3/20,795,10,26,2,41
Kyrgyzstan,5/4/20,830,10,35,0,42
Kyrgyzstan,5/5/20,843,11,13,1,43
Kyrgyzstan,5/6/20,871,12,28,1,44
Kyrgyzstan,5/7/20,895,12,24,0,45
Kyrgyzstan,5/8/20,906,12,11,0,46
Kyrgyzstan,5/9/20,931,12,25,0,47
Kyrgyzstan,5/10/20,1002,12,71,0,48
Kyrgyzstan,5/11/20,1016,12,14,0,49
Kyrgyzstan,5/12/20,1037,12,21,0,50
Kyrgyzstan,5/13/20,1044,12,7,0,51
Kyrgyzstan,5/14/20,1082,12,38,0,52
Kyrgyzstan,5/15/20,1111,14,29,2,53
Kyrgyzstan,5/16/20,1117,14,6,0,54
Kyrgyzstan,5/17/20,1138,14,21,0,55
Kyrgyzstan,5/18/20,1216,14,78,0,56
Kyrgyzstan,5/19/20,1243,14,27,0,57
Kyrgyzstan,5/20/20,1270,14,27,0,58
Kyrgyzstan,5/21/20,1313,14,43,0,59
Kyrgyzstan,5/22/20,1350,14,37,0,60
Kyrgyzstan,5/23/20,1365,14,15,0,61
Kyrgyzstan,5/24/20,1403,14,38,0,62
Kyrgyzstan,5/25/20,1433,16,30,2,63
Kyrgyzstan,5/26/20,1468,16,35,0,64
Kyrgyzstan,5/27/20,1520,16,52,0,65
Kyrgyzstan,5/28/20,1594,16,74,0,66
Kyrgyzstan,5/29/20,1662,16,68,0,67
Kyrgyzstan,5/30/20,1722,16,60,0,68
Kyrgyzstan,5/31/20,1748,16,26,0,69
Kyrgyzstan,6/1/20,1817,16,69,0,70
Kyrgyzstan,6/2/20,1845,17,28,1,71
Kyrgyzstan,6/3/20,1871,20,26,3,72
Kyrgyzstan,6/4/20,1899,20,28,0,73
Kyrgyzstan,6/5/20,1936,22,37,2,74
Kyrgyzstan,6/6/20,1974,22,38,0,75
Kyrgyzstan,6/7/20,2007,22,33,0,76
Kyrgyzstan,6/8/20,2032,23,25,1,77
Kyrgyzstan,6/9/20,2055,24,23,1,78
Kyrgyzstan,6/10/20,2093,26,38,2,79
Kyrgyzstan,6/11/20,2166,26,73,0,80
Kyrgyzstan,6/12/20,2166,26,0,0,81
Kyrgyzstan,6/13/20,2207,27,41,1,82
Kyrgyzstan,6/14/20,2285,27,78,0,83
Kyrgyzstan,6/15/20,2472,28,187,1,84
Kyrgyzstan,6/16/20,2562,30,90,2,85
Kyrgyzstan,6/17/20,2657,31,95,1,86
Kyrgyzstan,6/18/20,2657,31,0,0,87
Kyrgyzstan,6/19/20,2789,32,132,1,88
Kyrgyzstan,6/20/20,2981,35,192,3,89
Kyrgyzstan,6/21/20,3356,40,375,5,90
Kyrgyzstan,6/22/20,3356,40,0,0,91
Kyrgyzstan,6/23/20,3726,42,370,2,92
Kyrgyzstan,6/24/20,3954,43,228,1,93
Kyrgyzstan,6/25/20,4204,43,250,0,94
Kyrgyzstan,6/26/20,4446,46,242,3,95
Kyrgyzstan,6/27/20,4513,46,67,0,96
Kyrgyzstan,6/28/20,5017,50,504,4,97
Kyrgyzstan,6/29/20,5296,57,279,7,98
Kyrgyzstan,6/30/20,5506,61,210,4,99
Kyrgyzstan,7/1/20,6261,66,755,5,100
Kyrgyzstan,7/2/20,6767,76,506,10,101
Kyrgyzstan,7/3/20,6878,76,111,0,102
Kyrgyzstan,7/4/20,7094,78,216,2,103
Kyrgyzstan,7/5/20,7377,88,283,10,104
Kyrgyzstan,7/6/20,8141,99,764,11,105
Kyrgyzstan,7/7/20,8279,107,138,8,106
Kyrgyzstan,7/8/20,8847,116,568,9,107
Kyrgyzstan,7/9/20,9358,122,511,6,108
Kyrgyzstan,7/10/20,9910,125,552,3,109
Kyrgyzstan,7/11/20,10410,129,500,4,110
Kyrgyzstan,7/12/20,11117,147,707,18,111
Kyrgyzstan,7/13/20,11444,149,327,2,112
Kyrgyzstan,7/14/20,11444,149,0,0,113
Kyrgyzstan,7/15/20,12282,165,838,16,114
Kyrgyzstan,7/16/20,12498,167,216,2,115
Kyrgyzstan,7/17/20,13101,173,603,6,116
Kyrgyzstan,7/18/20,24606,900,11505,727,117
Kyrgyzstan,7/19/20,27143,1037,2537,137,118
Kyrgyzstan,7/20/20,27143,1037,0,0,119
Kyrgyzstan,7/21/20,28251,1079,1108,42,120
Kyrgyzstan,7/22/20,28980,1111,729,32,121
Kyrgyzstan,7/23/20,31247,1211,2267,100,122
Kyrgyzstan,7/24/20,31247,1211,0,0,123
Kyrgyzstan,7/25/20,32124,1249,877,38,124
Kyrgyzstan,7/26/20,32813,1277,689,28,125
Kyrgyzstan,7/27/20,33296,1301,483,24,126
Kyrgyzstan,7/28/20,33844,1329,548,28,127
Kyrgyzstan,7/29/20,34592,1347,748,18,128
Kyrgyzstan,7/30/20,35223,1364,631,17,129
Kyrgyzstan,7/31/20,35805,1378,582,14,130
Kyrgyzstan,8/1/20,36299,1397,494,19,131
Kyrgyzstan,8/2/20,36719,1409,420,12,132
Kyrgyzstan,8/3/20,37129,1420,410,11,133
Kyrgyzstan,8/4/20,37541,1427,412,7,134
Kyrgyzstan,8/5/20,38110,1438,569,11,135
Kyrgyzstan,8/6/20,38659,1447,549,9,136
Kyrgyzstan,8/7/20,39162,1451,503,4,137
Kyrgyzstan,8/8/20,39571,1459,409,8,138
Kyrgyzstan,8/9/20,39919,1468,348,9,139
Kyrgyzstan,8/10/20,40085,1474,166,6,140
Kyrgyzstan,8/11/20,40455,1478,370,4,141
Kyrgyzstan,8/12/20,40759,1484,304,6,142
Kyrgyzstan,8/13/20,41069,1487,310,3,143
Kyrgyzstan,8/14/20,41373,1491,304,4,144
Kyrgyzstan,8/15/20,41645,1493,272,2,145
Kyrgyzstan,8/16/20,41856,1495,211,2,146
Kyrgyzstan,8/17/20,41991,1496,135,1,147
Kyrgyzstan,8/18/20,42146,1498,155,2,148
Kyrgyzstan,8/19/20,42325,1498,179,0,149
Kyrgyzstan,8/20/20,42507,1498,182,0,150
Kyrgyzstan,8/21/20,42703,1055,196,-443,151
Kyrgyzstan,8/22/20,42889,1055,186,0,152
Kyrgyzstan,8/23/20,43023,1056,134,1,153
Kyrgyzstan,8/24/20,43126,1057,103,1,154
Kyrgyzstan,8/25/20,43245,1057,119,0,155
Kyrgyzstan,8/26/20,43358,1057,113,0,156
Kyrgyzstan,8/27/20,43459,1057,101,0,157
Kyrgyzstan,8/28/20,43587,1057,128,0,158
Kyrgyzstan,8/29/20,43712,1057,125,0,159
Kyrgyzstan,8/30/20,43820,1058,108,1,160
Kyrgyzstan,8/31/20,43898,1058,78,0,161
Kyrgyzstan,9/1/20,43958,1059,60,1,162
Kyrgyzstan,9/2/20,44036,1059,78,0,163
Kyrgyzstan,9/3/20,44135,1059,99,0,164
Kyrgyzstan,9/4/20,44199,1060,64,1,165
Kyrgyzstan,9/5/20,44293,1060,94,0,166
Kyrgyzstan,9/6/20,44403,1060,110,0,167
Kyrgyzstan,9/7/20,44458,1060,55,0,168
Kyrgyzstan,9/8/20,44487,1060,29,0,169
Kyrgyzstan,9/9/20,44613,1061,126,1,170
Kyrgyzstan,9/10/20,44684,1061,71,0,171
Kyrgyzstan,9/11/20,44761,1063,77,2,172
Kyrgyzstan,9/12/20,44828,1063,67,0,173
Kyrgyzstan,9/13/20,44881,1063,53,0,174
Kyrgyzstan,9/14/20,44928,1063,47,0,175
Kyrgyzstan,9/15/20,44999,1063,71,0,176
Kyrgyzstan,9/16/20,45072,1063,73,0,177
Kyrgyzstan,9/17/20,45153,1063,81,0,178
Kyrgyzstan,9/18/20,45244,1063,91,0,179
Kyrgyzstan,9/19/20,45335,1063,91,0,180
Kyrgyzstan,9/20/20,45335,1063,0,0,181
Kyrgyzstan,9/21/20,45471,1063,136,0,182
Kyrgyzstan,9/22/20,45542,1063,71,0,183
Kyrgyzstan,9/23/20,45630,1063,88,0,184
Kyrgyzstan,9/24/20,45757,1063,127,0,185
Kyrgyzstan,9/25/20,45932,1063,175,0,186
Kyrgyzstan,9/26/20,46090,1063,158,0,187
Kyrgyzstan,9/27/20,46251,1063,161,0,188
Kyrgyzstan,9/28/20,46355,1064,104,1,189
Kyrgyzstan,9/29/20,46522,1064,167,0,190
Kyrgyzstan,9/30/20,46669,1064,147,0,191
Kyrgyzstan,10/1/20,46841,1065,172,1,192
Kyrgyzstan,10/2/20,47056,1065,215,0,193
Kyrgyzstan,10/3/20,47184,1066,128,1,194
Kyrgyzstan,10/4/20,47428,1066,244,0,195
Kyrgyzstan,10/5/20,47635,1066,207,0,196
Kyrgyzstan,10/6/20,47799,1066,164,0,197
Kyrgyzstan,10/7/20,48097,1069,298,3,198
Kyrgyzstan,10/8/20,48342,1073,245,4,199
Kyrgyzstan,10/9/20,48617,1077,275,4,200
Kyrgyzstan,10/10/20,48924,1082,307,5,201
Kyrgyzstan,10/11/20,49230,1085,306,3,202
Kyrgyzstan,10/12/20,49528,1090,298,5,203
Kyrgyzstan,10/13/20,49871,1092,343,2,204
Kyrgyzstan,10/14/20,50201,1094,330,2,205
Kyrgyzstan,10/15/20,50589,1099,388,5,206
Kyrgyzstan,10/16/20,51020,1103,431,4,207
Kyrgyzstan,10/17/20,51490,1108,470,5,208
Kyrgyzstan,10/18/20,52044,1111,554,3,209
Kyrgyzstan,10/19/20,52526,1111,482,0,210
Kyrgyzstan,10/20/20,52910,1113,384,2,211
Kyrgyzstan,10/21/20,53459,1118,549,5,212
Kyrgyzstan,10/22/20,54006,1122,547,4,213
Kyrgyzstan,10/23/20,54588,1126,582,4,214
Kyrgyzstan,10/24/20,55144,1130,556,4,215
Kyrgyzstan,10/25/20,55750,1134,606,4,216
Kyrgyzstan,10/26/20,56170,1134,420,0,217
Kyrgyzstan,10/27/20,56738,1136,568,2,218
Kyrgyzstan,10/28/20,57276,1138,538,2,219
Kyrgyzstan,10/29/20,57798,1139,522,1,220
Kyrgyzstan,10/30/20,58394,1142,596,3,221
Kyrgyzstan,10/31/20,58878,1144,484,2,222
Kyrgyzstan,11/1/20,58878,1144,0,0,223
Kyrgyzstan,11/2/20,59879,1155,1001,11,224
Kyrgyzstan,11/3/20,60774,1163,895,8,225
Kyrgyzstan,11/4/20,61309,1167,535,4,226
Kyrgyzstan,11/5/20,61309,1167,0,0,227
Kyrgyzstan,11/6/20,61748,1170,439,3,228
Kyrgyzstan,11/7/20,62304,1172,556,2,229
Kyrgyzstan,11/8/20,62819,1177,515,5,230
Kyrgyzstan,11/9/20,63390,1182,571,5,231
Kyrgyzstan,11/10/20,64360,1188,970,6,232
