country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Zimbabwe,4/15/20,23,3,6,0,1
Zimbabwe,4/16/20,23,3,0,0,2
Zimbabwe,4/17/20,24,3,1,0,3
Zimbabwe,4/18/20,25,3,1,0,4
Zimbabwe,4/19/20,25,3,0,0,5
Zimbabwe,4/20/20,25,3,0,0,6
Zimbabwe,4/21/20,28,3,3,0,7
Zimbabwe,4/22/20,28,4,0,1,8
Zimbabwe,4/23/20,28,4,0,0,9
Zimbabwe,4/24/20,29,4,1,0,10
Zimbabwe,4/25/20,31,4,2,0,11
Zimbabwe,4/26/20,31,4,0,0,12
Zimbabwe,4/27/20,32,4,1,0,13
Zimbabwe,4/28/20,32,4,0,0,14
Zimbabwe,4/29/20,32,4,0,0,15
Zimbabwe,4/30/20,40,4,8,0,16
Zimbabwe,5/1/20,40,4,0,0,17
Zimbabwe,5/2/20,34,4,-6,0,18
Zimbabwe,5/3/20,34,4,0,0,19
Zimbabwe,5/4/20,34,4,0,0,20
Zimbabwe,5/5/20,34,4,0,0,21
Zimbabwe,5/6/20,34,4,0,0,22
Zimbabwe,5/7/20,34,4,0,0,23
Zimbabwe,5/8/20,34,4,0,0,24
Zimbabwe,5/9/20,35,4,1,0,25
Zimbabwe,5/10/20,36,4,1,0,26
Zimbabwe,5/11/20,36,4,0,0,27
Zimbabwe,5/12/20,36,4,0,0,28
Zimbabwe,5/13/20,37,4,1,0,29
Zimbabwe,5/14/20,37,4,0,0,30
Zimbabwe,5/15/20,42,4,5,0,31
Zimbabwe,5/16/20,42,4,0,0,32
Zimbabwe,5/17/20,44,4,2,0,33
Zimbabwe,5/18/20,46,4,2,0,34
Zimbabwe,5/19/20,46,4,0,0,35
Zimbabwe,5/20/20,48,4,2,0,36
Zimbabwe,5/21/20,51,4,3,0,37
Zimbabwe,5/22/20,51,4,0,0,38
Zimbabwe,5/23/20,56,4,5,0,39
Zimbabwe,5/24/20,56,4,0,0,40
Zimbabwe,5/25/20,56,4,0,0,41
Zimbabwe,5/26/20,56,4,0,0,42
Zimbabwe,5/27/20,132,4,76,0,43
Zimbabwe,5/28/20,149,4,17,0,44
Zimbabwe,5/29/20,149,4,0,0,45
Zimbabwe,5/30/20,174,4,25,0,46
Zimbabwe,5/31/20,178,4,4,0,47
Zimbabwe,6/1/20,203,4,25,0,48
Zimbabwe,6/2/20,206,4,3,0,49
Zimbabwe,6/3/20,222,4,16,0,50
Zimbabwe,6/4/20,237,4,15,0,51
Zimbabwe,6/5/20,265,4,28,0,52
Zimbabwe,6/6/20,279,4,14,0,53
Zimbabwe,6/7/20,282,4,3,0,54
Zimbabwe,6/8/20,287,4,5,0,55
Zimbabwe,6/9/20,314,4,27,0,56
Zimbabwe,6/10/20,320,4,6,0,57
Zimbabwe,6/11/20,332,4,12,0,58
Zimbabwe,6/12/20,343,4,11,0,59
Zimbabwe,6/13/20,356,4,13,0,60
Zimbabwe,6/14/20,383,4,27,0,61
Zimbabwe,6/15/20,387,4,4,0,62
Zimbabwe,6/16/20,391,4,4,0,63
Zimbabwe,6/17/20,401,4,10,0,64
Zimbabwe,6/18/20,463,4,62,0,65
Zimbabwe,6/19/20,479,4,16,0,66
Zimbabwe,6/20/20,479,4,0,0,67
Zimbabwe,6/21/20,489,6,10,2,68
Zimbabwe,6/22/20,512,6,23,0,69
Zimbabwe,6/23/20,525,6,13,0,70
Zimbabwe,6/24/20,530,6,5,0,71
Zimbabwe,6/25/20,551,6,21,0,72
Zimbabwe,6/26/20,561,6,10,0,73
Zimbabwe,6/27/20,567,6,6,0,74
Zimbabwe,6/28/20,567,6,0,0,75
Zimbabwe,6/29/20,574,7,7,1,76
Zimbabwe,6/30/20,591,7,17,0,77
Zimbabwe,7/1/20,605,7,14,0,78
Zimbabwe,7/2/20,617,7,12,0,79
Zimbabwe,7/3/20,625,7,8,0,80
Zimbabwe,7/4/20,698,8,73,1,81
Zimbabwe,7/5/20,716,8,18,0,82
Zimbabwe,7/6/20,734,9,18,1,83
Zimbabwe,7/7/20,787,9,53,0,84
Zimbabwe,7/8/20,885,9,98,0,85
Zimbabwe,7/9/20,885,9,0,0,86
Zimbabwe,7/10/20,942,13,57,4,87
Zimbabwe,7/11/20,982,18,40,5,88
Zimbabwe,7/12/20,985,18,3,0,89
Zimbabwe,7/13/20,1034,19,49,1,90
Zimbabwe,7/14/20,1064,20,30,1,91
Zimbabwe,7/15/20,1089,20,25,0,92
Zimbabwe,7/16/20,1362,23,273,3,93
Zimbabwe,7/17/20,1420,24,58,1,94
Zimbabwe,7/18/20,1478,25,58,1,95
Zimbabwe,7/19/20,1611,25,133,0,96
Zimbabwe,7/20/20,1713,26,102,1,97
