country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Gabon,4/2/20,21,1,3,0,1
Gabon,4/3/20,21,1,0,0,2
Gabon,4/4/20,21,1,0,0,3
Gabon,4/5/20,21,1,0,0,4
Gabon,4/6/20,24,1,3,0,5
Gabon,4/7/20,30,1,6,0,6
Gabon,4/8/20,34,1,4,0,7
Gabon,4/9/20,44,1,10,0,8
Gabon,4/10/20,44,1,0,0,9
Gabon,4/11/20,46,1,2,0,10
Gabon,4/12/20,49,1,3,0,11
Gabon,4/13/20,57,1,8,0,12
Gabon,4/14/20,57,1,0,0,13
Gabon,4/15/20,80,1,23,0,14
Gabon,4/16/20,80,1,0,0,15
Gabon,4/17/20,108,1,28,0,16
Gabon,4/18/20,108,1,0,0,17
Gabon,4/19/20,109,1,1,0,18
Gabon,4/20/20,120,1,11,0,19
Gabon,4/21/20,156,1,36,0,20
Gabon,4/22/20,166,1,10,0,21
Gabon,4/23/20,167,2,1,1,22
Gabon,4/24/20,172,3,5,1,23
Gabon,4/25/20,176,3,4,0,24
Gabon,4/26/20,176,3,0,0,25
Gabon,4/27/20,211,3,35,0,26
Gabon,4/28/20,238,3,27,0,27
Gabon,4/29/20,276,3,38,0,28
Gabon,4/30/20,276,3,0,0,29
Gabon,5/1/20,276,3,0,0,30
Gabon,5/2/20,335,5,59,2,31
Gabon,5/3/20,335,5,0,0,32
Gabon,5/4/20,367,6,32,1,33
Gabon,5/5/20,397,6,30,0,34
Gabon,5/6/20,397,6,0,0,35
Gabon,5/7/20,504,8,107,2,36
Gabon,5/8/20,620,8,116,0,37
Gabon,5/9/20,661,8,41,0,38
Gabon,5/10/20,661,8,0,0,39
Gabon,5/11/20,802,9,141,1,40
Gabon,5/12/20,863,9,61,0,41
Gabon,5/13/20,1004,9,141,0,42
Gabon,5/14/20,1104,10,100,1,43
Gabon,5/15/20,1209,10,105,0,44
Gabon,5/16/20,1320,11,111,1,45
Gabon,5/17/20,1320,11,0,0,46
Gabon,5/18/20,1432,11,112,0,47
Gabon,5/19/20,1502,12,70,1,48
Gabon,5/20/20,1567,12,65,0,49
Gabon,5/21/20,1567,12,0,0,50
Gabon,5/22/20,1728,12,161,0,51
Gabon,5/23/20,1934,12,206,0,52
Gabon,5/24/20,1934,12,0,0,53
Gabon,5/25/20,2135,14,201,2,54
Gabon,5/26/20,2238,14,103,0,55
Gabon,5/27/20,2319,14,81,0,56
Gabon,5/28/20,2431,14,112,0,57
Gabon,5/29/20,2613,15,182,1,58
Gabon,5/30/20,2655,17,42,2,59
Gabon,5/31/20,2655,17,0,0,60
Gabon,6/1/20,2655,17,0,0,61
Gabon,6/2/20,2803,20,148,3,62
Gabon,6/3/20,2902,20,99,0,63
Gabon,6/4/20,2955,21,53,1,64
Gabon,6/5/20,3101,21,146,0,65
Gabon,6/6/20,3101,21,0,0,66
Gabon,6/7/20,3101,21,0,0,67
Gabon,6/8/20,3101,21,0,0,68
Gabon,6/9/20,3247,21,146,0,69
Gabon,6/10/20,3375,22,128,1,70
Gabon,6/11/20,3463,23,88,1,71
Gabon,6/12/20,3463,23,0,0,72
Gabon,6/13/20,3463,23,0,0,73
Gabon,6/14/20,3463,23,0,0,74
Gabon,6/15/20,4033,27,570,4,75
Gabon,6/16/20,4114,29,81,2,76
Gabon,6/17/20,4229,30,115,1,77
Gabon,6/18/20,4340,32,111,2,78
Gabon,6/19/20,4428,34,88,2,79
Gabon,6/20/20,4428,34,0,0,80
Gabon,6/21/20,4428,34,0,0,81
Gabon,6/22/20,4739,39,311,5,82
Gabon,6/23/20,4849,39,110,0,83
Gabon,6/24/20,4956,39,107,0,84
Gabon,6/25/20,5087,40,131,1,85
Gabon,6/26/20,5209,40,122,0,86
Gabon,6/27/20,5209,40,0,0,87
Gabon,6/28/20,5209,40,0,0,88
Gabon,6/29/20,5394,42,185,2,89
Gabon,6/30/20,5394,42,0,0,90
Gabon,7/1/20,5513,42,119,0,91
Gabon,7/2/20,5513,42,0,0,92
Gabon,7/3/20,5620,44,107,2,93
Gabon,7/4/20,5620,44,0,0,94
Gabon,7/5/20,5620,44,0,0,95
Gabon,7/6/20,5743,46,123,2,96
Gabon,7/7/20,5743,46,0,0,97
Gabon,7/8/20,5871,46,128,0,98
Gabon,7/9/20,5871,46,0,0,99
Gabon,7/10/20,5942,46,71,0,100
Gabon,7/11/20,5942,46,0,0,101
Gabon,7/12/20,5942,46,0,0,102
Gabon,7/13/20,6026,46,84,0,103
Gabon,7/14/20,6026,46,0,0,104
Gabon,7/15/20,6121,46,95,0,105
Gabon,7/16/20,6121,46,0,0,106
Gabon,7/17/20,6315,46,194,0,107
Gabon,7/18/20,6315,46,0,0,108
Gabon,7/19/20,6315,46,0,0,109
Gabon,7/20/20,6433,46,118,0,110
Gabon,7/21/20,6433,46,0,0,111
Gabon,7/22/20,6588,47,155,1,112
Gabon,7/23/20,6588,47,0,0,113
Gabon,7/24/20,6984,49,396,2,114
Gabon,7/25/20,6984,49,0,0,115
Gabon,7/26/20,6984,49,0,0,116
Gabon,7/27/20,7189,49,205,0,117
Gabon,7/28/20,7189,49,0,0,118
Gabon,7/29/20,7352,49,163,0,119
Gabon,7/30/20,7352,49,0,0,120
Gabon,7/31/20,7352,49,0,0,121
Gabon,8/1/20,7531,50,179,1,122
Gabon,8/2/20,7531,50,0,0,123
Gabon,8/3/20,7646,51,115,1,124
Gabon,8/4/20,7646,51,0,0,125
Gabon,8/5/20,7787,51,141,0,126
Gabon,8/6/20,7787,51,0,0,127
Gabon,8/7/20,7923,51,136,0,128
Gabon,8/8/20,7923,51,0,0,129
Gabon,8/9/20,7923,51,0,0,130
Gabon,8/10/20,8006,51,83,0,131
Gabon,8/11/20,8006,51,0,0,132
Gabon,8/12/20,8077,51,71,0,133
Gabon,8/13/20,8077,51,0,0,134
Gabon,8/14/20,8225,51,148,0,135
Gabon,8/15/20,8225,51,0,0,136
Gabon,8/16/20,8225,51,0,0,137
Gabon,8/17/20,8270,53,45,2,138
Gabon,8/18/20,8270,53,0,0,139
Gabon,8/19/20,8319,53,49,0,140
Gabon,8/20/20,8319,53,0,0,141
Gabon,8/21/20,8388,53,69,0,142
Gabon,8/22/20,8388,53,0,0,143
Gabon,8/23/20,8388,53,0,0,144
Gabon,8/24/20,8409,53,21,0,145
Gabon,8/25/20,8409,53,0,0,146
Gabon,8/26/20,8468,53,59,0,147
Gabon,8/27/20,8468,53,0,0,148
Gabon,8/28/20,8505,53,37,0,149
Gabon,8/29/20,8505,53,0,0,150
Gabon,8/30/20,8505,53,0,0,151
Gabon,8/31/20,8533,53,28,0,152
Gabon,9/1/20,8533,53,0,0,153
Gabon,9/2/20,8538,53,5,0,154
Gabon,9/3/20,8538,53,0,0,155
Gabon,9/4/20,8601,53,63,0,156
Gabon,9/5/20,8601,53,0,0,157
Gabon,9/6/20,8601,53,0,0,158
Gabon,9/7/20,8608,53,7,0,159
Gabon,9/8/20,8608,53,0,0,160
Gabon,9/9/20,8621,53,13,0,161
Gabon,9/10/20,8621,53,0,0,162
Gabon,9/11/20,8643,53,22,0,163
Gabon,9/12/20,8643,53,0,0,164
Gabon,9/13/20,8643,53,0,0,165
Gabon,9/14/20,8654,53,11,0,166
Gabon,9/15/20,8654,53,0,0,167
Gabon,9/16/20,8678,53,24,0,168
Gabon,9/17/20,8678,53,0,0,169
Gabon,9/18/20,8696,53,18,0,170
Gabon,9/19/20,8696,53,0,0,171
Gabon,9/20/20,8696,53,0,0,172
Gabon,9/21/20,8704,54,8,1,173
Gabon,9/22/20,8704,54,0,0,174
Gabon,9/23/20,8716,54,12,0,175
Gabon,9/24/20,8716,54,0,0,176
Gabon,9/25/20,8728,54,12,0,177
Gabon,9/26/20,8728,54,0,0,178
Gabon,9/27/20,8728,54,0,0,179
Gabon,9/28/20,8728,54,0,0,180
Gabon,9/29/20,8752,54,24,0,181
Gabon,9/30/20,8766,54,14,0,182
Gabon,10/1/20,8766,54,0,0,183
Gabon,10/2/20,8797,54,31,0,184
Gabon,10/3/20,8797,54,0,0,185
Gabon,10/4/20,8797,54,0,0,186
Gabon,10/5/20,8808,54,11,0,187
Gabon,10/6/20,8808,54,0,0,188
Gabon,10/7/20,8815,54,7,0,189
Gabon,10/8/20,8815,54,0,0,190
Gabon,10/9/20,8835,54,20,0,191
Gabon,10/10/20,8835,54,0,0,192
Gabon,10/11/20,8835,54,0,0,193
Gabon,10/12/20,8860,54,25,0,194
Gabon,10/13/20,8860,54,0,0,195
Gabon,10/14/20,8869,54,9,0,196
Gabon,10/15/20,8869,54,0,0,197
Gabon,10/16/20,8881,54,12,0,198
Gabon,10/17/20,8881,54,0,0,199
Gabon,10/18/20,8881,54,0,0,200
Gabon,10/19/20,8884,54,3,0,201
Gabon,10/20/20,8884,54,0,0,202
Gabon,10/21/20,8901,54,17,0,203
Gabon,10/22/20,8901,54,0,0,204
Gabon,10/23/20,8919,54,18,0,205
Gabon,10/24/20,8919,54,0,0,206
Gabon,10/25/20,8919,54,0,0,207
Gabon,10/26/20,8937,54,18,0,208
Gabon,10/27/20,8937,54,0,0,209
Gabon,10/28/20,8957,55,20,1,210
Gabon,10/29/20,8957,55,0,0,211
Gabon,10/30/20,8968,55,11,0,212
Gabon,10/31/20,8968,55,0,0,213
Gabon,11/1/20,8968,55,0,0,214
Gabon,11/2/20,8984,55,16,0,215
Gabon,11/3/20,8984,55,0,0,216
Gabon,11/4/20,9005,55,21,0,217
Gabon,11/5/20,9005,55,0,0,218
Gabon,11/6/20,9022,55,17,0,219
Gabon,11/7/20,9022,55,0,0,220
Gabon,11/8/20,9022,55,0,0,221
Gabon,11/9/20,9029,57,7,2,222
Gabon,11/10/20,9029,57,0,0,223
Gabon,11/11/20,9048,57,19,0,224
Gabon,11/12/20,9048,57,0,0,225
