country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Ukraine,3/20/20,29,3,13,1,1
Ukraine,3/21/20,47,3,18,0,2
Ukraine,3/22/20,73,3,26,0,3
Ukraine,3/23/20,73,3,0,0,4
Ukraine,3/24/20,97,3,24,0,5
Ukraine,3/25/20,145,5,48,2,6
Ukraine,3/26/20,196,5,51,0,7
Ukraine,3/27/20,310,5,114,0,8
Ukraine,3/28/20,356,9,46,4,9
Ukraine,3/29/20,475,10,119,1,10
Ukraine,3/30/20,548,13,73,3,11
Ukraine,3/31/20,645,17,97,4,12
Ukraine,4/1/20,794,20,149,3,13
Ukraine,4/2/20,897,22,103,2,14
Ukraine,4/3/20,1072,27,175,5,15
Ukraine,4/4/20,1225,32,153,5,16
Ukraine,4/5/20,1308,37,83,5,17
Ukraine,4/6/20,1319,38,11,1,18
Ukraine,4/7/20,1462,45,143,7,19
Ukraine,4/8/20,1668,52,206,7,20
Ukraine,4/9/20,1892,57,224,5,21
Ukraine,4/10/20,2203,69,311,12,22
Ukraine,4/11/20,2511,73,308,4,23
Ukraine,4/12/20,2777,83,266,10,24
Ukraine,4/13/20,3102,93,325,10,25
Ukraine,4/14/20,3372,98,270,5,26
Ukraine,4/15/20,3764,108,392,10,27
Ukraine,4/16/20,4161,116,397,8,28
Ukraine,4/17/20,4662,125,501,9,29
Ukraine,4/18/20,5106,133,444,8,30
Ukraine,4/19/20,5449,141,343,8,31
Ukraine,4/20/20,5710,151,261,10,32
Ukraine,4/21/20,6125,161,415,10,33
Ukraine,4/22/20,6592,174,467,13,34
Ukraine,4/23/20,7170,187,578,13,35
Ukraine,4/24/20,7647,201,477,14,36
Ukraine,4/25/20,8125,201,478,0,37
Ukraine,4/26/20,8617,209,492,8,38
Ukraine,4/27/20,9009,220,392,11,39
Ukraine,4/28/20,9410,239,401,19,40
Ukraine,4/29/20,9866,250,456,11,41
Ukraine,4/30/20,10406,261,540,11,42
Ukraine,5/1/20,10861,272,455,11,43
Ukraine,5/2/20,11411,279,550,7,44
Ukraine,5/3/20,11913,288,502,9,45
Ukraine,5/4/20,12331,303,418,15,46
Ukraine,5/5/20,12697,316,366,13,47
Ukraine,5/6/20,13184,327,487,11,48
Ukraine,5/7/20,13691,340,507,13,49
Ukraine,5/8/20,14195,361,504,21,50
Ukraine,5/9/20,14710,376,515,15,51
Ukraine,5/10/20,15232,391,522,15,52
Ukraine,5/11/20,15648,408,416,17,53
Ukraine,5/12/20,16023,425,375,17,54
Ukraine,5/13/20,16425,439,402,14,55
Ukraine,5/14/20,16847,456,422,17,56
Ukraine,5/15/20,17330,476,483,20,57
Ukraine,5/16/20,17858,497,528,21,58
Ukraine,5/17/20,18291,514,433,17,59
Ukraine,5/18/20,18616,535,325,21,60
Ukraine,5/19/20,18876,548,260,13,61
Ukraine,5/20/20,19230,564,354,16,62
Ukraine,5/21/20,19706,579,476,15,63
Ukraine,5/22/20,20148,588,442,9,64
Ukraine,5/23/20,20580,605,432,17,65
Ukraine,5/24/20,20986,617,406,12,66
Ukraine,5/25/20,21245,623,259,6,67
Ukraine,5/26/20,21584,644,339,21,68
Ukraine,5/27/20,21905,658,321,14,69
Ukraine,5/28/20,22382,669,477,11,70
Ukraine,5/29/20,22811,679,429,10,71
Ukraine,5/30/20,23204,696,393,17,72
Ukraine,5/31/20,23672,708,468,12,73
Ukraine,6/1/20,24562,724,890,16,74
Ukraine,6/2/20,24895,733,333,9,75
Ukraine,6/3/20,25385,742,490,9,76
Ukraine,6/4/20,25981,755,596,13,77
Ukraine,6/5/20,26542,770,561,15,78
Ukraine,6/6/20,27101,785,559,15,79
Ukraine,6/7/20,27599,796,498,11,80
Ukraine,6/8/20,28077,805,478,9,81
Ukraine,6/9/20,28479,818,402,13,82
Ukraine,6/10/20,29015,841,536,23,83
Ukraine,6/11/20,29706,864,691,23,84
Ukraine,6/12/20,30415,880,709,16,85
Ukraine,6/13/20,31177,890,762,10,86
Ukraine,6/14/20,31851,899,674,9,87
Ukraine,6/15/20,32536,911,685,12,88
Ukraine,6/16/20,33209,922,673,11,89
Ukraine,6/17/20,33986,953,777,31,90
Ukraine,6/18/20,34833,976,847,23,91
Ukraine,6/19/20,35755,995,922,19,92
Ukraine,6/20/20,36615,1004,860,9,93
Ukraine,6/21/20,37361,1012,746,8,94
Ukraine,6/22/20,38056,1022,695,10,95
Ukraine,6/23/20,38901,1045,845,23,96
Ukraine,6/24/20,39852,1061,951,16,97
Ukraine,6/25/20,40854,1078,1002,17,98
Ukraine,6/26/20,41975,1097,1121,19,99
Ukraine,6/27/20,42932,1121,957,24,100
Ukraine,6/28/20,43856,1142,924,21,101
Ukraine,6/29/20,44538,1161,682,19,102
Ukraine,6/30/20,45254,1173,716,12,103
Ukraine,7/1/20,45924,1188,670,15,104
Ukraine,7/2/20,46821,1200,897,12,105
Ukraine,7/3/20,47705,1227,884,27,106
Ukraine,7/4/20,48628,1243,923,16,107
Ukraine,7/5/20,49468,1265,840,22,108
Ukraine,7/6/20,50053,1278,585,13,109
Ukraine,7/7/20,50622,1299,569,21,110
Ukraine,7/8/20,51457,1323,835,24,111
Ukraine,7/9/20,52285,1344,828,21,112
Ukraine,7/10/20,53116,1362,831,18,113
Ukraine,7/11/20,53941,1389,825,27,114
Ukraine,7/12/20,54647,1400,706,11,115
Ukraine,7/13/20,55285,1415,638,15,116
Ukraine,7/14/20,55931,1429,646,14,117
