state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Pennsylvania,3/10/20,12,0,5,0,1
Pennsylvania,3/11/20,16,0,4,0,2
Pennsylvania,3/12/20,22,0,6,0,3
Pennsylvania,3/13/20,41,0,19,0,4
Pennsylvania,3/14/20,47,0,6,0,5
Pennsylvania,3/15/20,47,0,0,0,6
Pennsylvania,3/16/20,79,0,32,0,7
Pennsylvania,3/17/20,112,0,33,0,8
Pennsylvania,3/18/20,155,1,43,1,9
Pennsylvania,3/19/20,206,1,51,0,10
Pennsylvania,3/20/20,311,1,105,0,11
Pennsylvania,3/21/20,399,2,88,1,12
Pennsylvania,3/22/20,509,4,110,2,13
Pennsylvania,3/23/20,698,6,189,2,14
Pennsylvania,3/24/20,946,8,248,2,15
Pennsylvania,3/25/20,1260,15,314,7,16
Pennsylvania,3/26/20,1795,18,535,3,17
Pennsylvania,3/27/20,2345,22,550,4,18
Pennsylvania,3/28/20,2845,34,500,12,19
Pennsylvania,3/29/20,3432,41,587,7,20
Pennsylvania,3/30/20,4155,50,723,9,21
Pennsylvania,3/31/20,4963,63,808,13,22
Pennsylvania,4/1/20,6009,74,1046,11,23
Pennsylvania,4/2/20,7268,90,1259,16,24
Pennsylvania,4/3/20,8570,102,1302,12,25
Pennsylvania,4/4/20,10444,136,1874,34,26
Pennsylvania,4/5/20,11589,151,1145,15,27
Pennsylvania,4/6/20,13127,179,1538,28,28
Pennsylvania,4/7/20,14853,247,1726,68,29
Pennsylvania,4/8/20,16631,318,1778,71,30
Pennsylvania,4/9/20,18300,345,1669,27,31
Pennsylvania,4/10/20,20051,418,1751,73,32
Pennsylvania,4/11/20,21719,503,1668,85,33
Pennsylvania,4/12/20,22938,557,1219,54,34
Pennsylvania,4/13/20,24292,589,1354,32,35
Pennsylvania,4/14/20,25465,691,1173,102,36
Pennsylvania,4/15/20,26753,779,1288,88,37
Pennsylvania,4/16/20,28258,841,1505,62,38
Pennsylvania,4/17/20,29888,921,1630,80,39
Pennsylvania,4/18/20,31652,1042,1764,121,40
Pennsylvania,4/19/20,32902,1276,1250,234,41
Pennsylvania,4/20/20,33914,1348,1012,72,42
Pennsylvania,4/21/20,35249,1614,1335,266,43
Pennsylvania,4/22/20,36082,1673,833,59,44
Pennsylvania,4/23/20,38379,1724,2297,51,45
Pennsylvania,4/24/20,40208,1747,1829,23,46
Pennsylvania,4/25/20,41153,1793,945,46,47
Pennsylvania,4/26/20,42616,1816,1463,23,48
Pennsylvania,4/27/20,43558,1886,942,70,49
Pennsylvania,4/28/20,45137,2046,1579,160,50
Pennsylvania,4/29/20,46327,2373,1190,327,51
Pennsylvania,4/30/20,47971,2475,1644,102,52
