country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Sierra Leone,4/17/20,26,0,11,0,1
Sierra Leone,4/18/20,30,0,4,0,2
Sierra Leone,4/19/20,35,0,5,0,3
Sierra Leone,4/20/20,43,0,8,0,4
Sierra Leone,4/21/20,50,0,7,0,5
Sierra Leone,4/22/20,61,0,11,0,6
Sierra Leone,4/23/20,64,1,3,1,7
Sierra Leone,4/24/20,82,2,18,1,8
Sierra Leone,4/25/20,82,2,0,0,9
Sierra Leone,4/26/20,93,4,11,2,10
Sierra Leone,4/27/20,93,4,0,0,11
Sierra Leone,4/28/20,104,4,11,0,12
Sierra Leone,4/29/20,104,4,0,0,13
Sierra Leone,4/30/20,124,7,20,3,14
Sierra Leone,5/1/20,136,7,12,0,15
Sierra Leone,5/2/20,155,8,19,1,16
Sierra Leone,5/3/20,166,8,11,0,17
Sierra Leone,5/4/20,178,9,12,1,18
Sierra Leone,5/5/20,199,11,21,2,19
Sierra Leone,5/6/20,225,14,26,3,20
Sierra Leone,5/7/20,231,16,6,2,21
Sierra Leone,5/8/20,257,17,26,1,22
Sierra Leone,5/9/20,291,18,34,1,23
Sierra Leone,5/10/20,307,18,16,0,24
Sierra Leone,5/11/20,338,19,31,1,25
Sierra Leone,5/12/20,338,19,0,0,26
Sierra Leone,5/13/20,387,26,49,7,27
Sierra Leone,5/14/20,408,26,21,0,28
Sierra Leone,5/15/20,447,27,39,1,29
Sierra Leone,5/16/20,462,29,15,2,30
Sierra Leone,5/17/20,505,32,43,3,31
Sierra Leone,5/18/20,519,33,14,1,32
Sierra Leone,5/19/20,534,33,15,0,33
Sierra Leone,5/20/20,570,34,36,1,34
Sierra Leone,5/21/20,585,35,15,1,35
Sierra Leone,5/22/20,606,38,21,3,36
Sierra Leone,5/23/20,621,39,15,1,37
Sierra Leone,5/24/20,707,40,86,1,38
Sierra Leone,5/25/20,735,42,28,2,39
Sierra Leone,5/26/20,754,44,19,2,40
Sierra Leone,5/27/20,782,45,28,1,41
Sierra Leone,5/28/20,812,45,30,0,42
Sierra Leone,5/29/20,829,45,17,0,43
Sierra Leone,5/30/20,852,46,23,1,44
Sierra Leone,5/31/20,861,46,9,0,45
Sierra Leone,6/1/20,865,46,4,0,46
Sierra Leone,6/2/20,896,46,31,0,47
Sierra Leone,6/3/20,909,47,13,1,48
Sierra Leone,6/4/20,914,47,5,0,49
Sierra Leone,6/5/20,929,47,15,0,50
Sierra Leone,6/6/20,946,48,17,1,51
Sierra Leone,6/7/20,969,48,23,0,52
Sierra Leone,6/8/20,1001,49,32,1,53
Sierra Leone,6/9/20,1025,50,24,1,54
Sierra Leone,6/10/20,1062,50,37,0,55
Sierra Leone,6/11/20,1085,50,23,0,56
Sierra Leone,6/12/20,1103,51,18,1,57
Sierra Leone,6/13/20,1132,51,29,0,58
Sierra Leone,6/14/20,1169,51,37,0,59
Sierra Leone,6/15/20,1176,51,7,0,60
Sierra Leone,6/16/20,1225,51,49,0,61
Sierra Leone,6/17/20,1249,51,24,0,62
Sierra Leone,6/18/20,1272,51,23,0,63
Sierra Leone,6/19/20,1298,53,26,2,64
Sierra Leone,6/20/20,1309,53,11,0,65
Sierra Leone,6/21/20,1327,55,18,2,66
Sierra Leone,6/22/20,1340,55,13,0,67
Sierra Leone,6/23/20,1347,55,7,0,68
Sierra Leone,6/24/20,1354,55,7,0,69
Sierra Leone,6/25/20,1354,56,0,1,70
Sierra Leone,6/26/20,1394,59,40,3,71
Sierra Leone,6/27/20,1410,59,16,0,72
Sierra Leone,6/28/20,1427,60,17,1,73
Sierra Leone,6/29/20,1450,60,23,0,74
Sierra Leone,6/30/20,1462,60,12,0,75
Sierra Leone,7/1/20,1498,60,36,0,76
Sierra Leone,7/2/20,1518,60,20,0,77
Sierra Leone,7/3/20,1524,62,6,2,78
Sierra Leone,7/4/20,1533,62,9,0,79
Sierra Leone,7/5/20,1542,62,9,0,80
Sierra Leone,7/6/20,1547,62,5,0,81
Sierra Leone,7/7/20,1572,63,25,1,82
Sierra Leone,7/8/20,1584,63,12,0,83
Sierra Leone,7/9/20,1598,63,14,0,84
Sierra Leone,7/10/20,1613,63,15,0,85
Sierra Leone,7/11/20,1618,63,5,0,86
Sierra Leone,7/12/20,1635,63,17,0,87
Sierra Leone,7/13/20,1642,63,7,0,88
Sierra Leone,7/14/20,1651,64,9,1,89
Sierra Leone,7/15/20,1668,64,17,0,90
Sierra Leone,7/16/20,1678,64,10,0,91
Sierra Leone,7/17/20,1688,65,10,1,92
Sierra Leone,7/18/20,1701,65,13,0,93
Sierra Leone,7/19/20,1711,65,10,0,94
Sierra Leone,7/20/20,1711,66,0,1,95
Sierra Leone,7/21/20,1727,66,16,0,96
Sierra Leone,7/22/20,1731,66,4,0,97
Sierra Leone,7/23/20,1752,66,21,0,98
Sierra Leone,7/24/20,1765,66,13,0,99
Sierra Leone,7/25/20,1768,66,3,0,100
Sierra Leone,7/26/20,1783,66,15,0,101
Sierra Leone,7/27/20,1783,66,0,0,102
Sierra Leone,7/28/20,1786,66,3,0,103
Sierra Leone,7/29/20,1803,67,17,1,104
Sierra Leone,7/30/20,1818,67,15,0,105
Sierra Leone,7/31/20,1823,67,5,0,106
Sierra Leone,8/1/20,1823,67,0,0,107
Sierra Leone,8/2/20,1843,67,20,0,108
Sierra Leone,8/3/20,1848,67,5,0,109
Sierra Leone,8/4/20,1855,67,7,0,110
Sierra Leone,8/5/20,1860,67,5,0,111
Sierra Leone,8/6/20,1877,67,17,0,112
Sierra Leone,8/7/20,1887,68,10,1,113
Sierra Leone,8/8/20,1895,68,8,0,114
Sierra Leone,8/9/20,1916,68,21,0,115
Sierra Leone,8/10/20,1917,69,1,1,116
Sierra Leone,8/11/20,1932,69,15,0,117
Sierra Leone,8/12/20,1937,69,5,0,118
Sierra Leone,8/13/20,1940,69,3,0,119
Sierra Leone,8/14/20,1947,69,7,0,120
Sierra Leone,8/15/20,1954,69,7,0,121
Sierra Leone,8/16/20,1956,69,2,0,122
Sierra Leone,8/17/20,1956,69,0,0,123
Sierra Leone,8/18/20,1959,69,3,0,124
Sierra Leone,8/19/20,1961,69,2,0,125
Sierra Leone,8/20/20,1969,69,8,0,126
Sierra Leone,8/21/20,1972,69,3,0,127
Sierra Leone,8/22/20,1980,69,8,0,128
Sierra Leone,8/23/20,1992,69,12,0,129
Sierra Leone,8/24/20,1997,69,5,0,130
Sierra Leone,8/25/20,2001,69,4,0,131
Sierra Leone,8/26/20,2003,69,2,0,132
Sierra Leone,8/27/20,2013,70,10,1,133
Sierra Leone,8/28/20,2013,70,0,0,134
Sierra Leone,8/29/20,2019,70,6,0,135
Sierra Leone,8/30/20,2022,70,3,0,136
Sierra Leone,8/31/20,2022,70,0,0,137
Sierra Leone,9/1/20,2028,71,6,1,138
Sierra Leone,9/2/20,2029,71,1,0,139
Sierra Leone,9/3/20,2035,71,6,0,140
Sierra Leone,9/4/20,2041,71,6,0,141
Sierra Leone,9/5/20,2041,71,0,0,142
Sierra Leone,9/6/20,2054,71,13,0,143
Sierra Leone,9/7/20,2055,71,1,0,144
Sierra Leone,9/8/20,2064,72,9,1,145
Sierra Leone,9/9/20,2067,72,3,0,146
Sierra Leone,9/10/20,2069,72,2,0,147
Sierra Leone,9/11/20,2087,72,18,0,148
Sierra Leone,9/12/20,2096,72,9,0,149
Sierra Leone,9/13/20,2109,72,13,0,150
Sierra Leone,9/14/20,2111,72,2,0,151
Sierra Leone,9/15/20,2126,72,15,0,152
Sierra Leone,9/16/20,2133,72,7,0,153
Sierra Leone,9/17/20,2133,72,0,0,154
Sierra Leone,9/18/20,2153,72,20,0,155
Sierra Leone,9/19/20,2159,72,6,0,156
Sierra Leone,9/20/20,2168,72,9,0,157
Sierra Leone,9/21/20,2168,72,0,0,158
Sierra Leone,9/22/20,2174,72,6,0,159
Sierra Leone,9/23/20,2183,72,9,0,160
Sierra Leone,9/24/20,2188,72,5,0,161
Sierra Leone,9/25/20,2199,72,11,0,162
Sierra Leone,9/26/20,2208,72,9,0,163
Sierra Leone,9/27/20,2215,72,7,0,164
Sierra Leone,9/28/20,2215,72,0,0,165
