country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
"Korea, South",2/6/20,23,0,4,0,1
"Korea, South",2/7/20,24,0,1,0,2
"Korea, South",2/8/20,24,0,0,0,3
"Korea, South",2/9/20,25,0,1,0,4
"Korea, South",2/10/20,27,0,2,0,5
"Korea, South",2/11/20,28,0,1,0,6
"Korea, South",2/12/20,28,0,0,0,7
"Korea, South",2/13/20,28,0,0,0,8
"Korea, South",2/14/20,28,0,0,0,9
"Korea, South",2/15/20,28,0,0,0,10
"Korea, South",2/16/20,29,0,1,0,11
"Korea, South",2/17/20,30,0,1,0,12
"Korea, South",2/18/20,31,0,1,0,13
"Korea, South",2/19/20,31,0,0,0,14
"Korea, South",2/20/20,104,1,73,1,15
"Korea, South",2/21/20,204,2,100,1,16
"Korea, South",2/22/20,433,2,229,0,17
"Korea, South",2/23/20,602,6,169,4,18
"Korea, South",2/24/20,833,8,231,2,19
"Korea, South",2/25/20,977,10,144,2,20
"Korea, South",2/26/20,1261,12,284,2,21
"Korea, South",2/27/20,1766,13,505,1,22
"Korea, South",2/28/20,2337,13,571,0,23
"Korea, South",2/29/20,3150,16,813,3,24
"Korea, South",3/1/20,3736,17,586,1,25
"Korea, South",3/2/20,4335,28,599,11,26
"Korea, South",3/3/20,5186,28,851,0,27
"Korea, South",3/4/20,5621,35,435,7,28
"Korea, South",3/5/20,6088,35,467,0,29
"Korea, South",3/6/20,6593,42,505,7,30
"Korea, South",3/7/20,7041,44,448,2,31
"Korea, South",3/8/20,7314,50,273,6,32
"Korea, South",3/9/20,7478,53,164,3,33
"Korea, South",3/10/20,7513,54,35,1,34
"Korea, South",3/11/20,7755,60,242,6,35
"Korea, South",3/12/20,7869,66,114,6,36
"Korea, South",3/13/20,7979,66,110,0,37
"Korea, South",3/14/20,8086,72,107,6,38
"Korea, South",3/15/20,8162,75,76,3,39
"Korea, South",3/16/20,8236,75,74,0,40
"Korea, South",3/17/20,8320,81,84,6,41
"Korea, South",3/18/20,8413,84,93,3,42
"Korea, South",3/19/20,8565,91,152,7,43
"Korea, South",3/20/20,8652,94,87,3,44
"Korea, South",3/21/20,8799,102,147,8,45
"Korea, South",3/22/20,8961,111,162,9,46
"Korea, South",3/23/20,8961,111,0,0,47
"Korea, South",3/24/20,9037,120,76,9,48
"Korea, South",3/25/20,9137,126,100,6,49
"Korea, South",3/26/20,9241,131,104,5,50
"Korea, South",3/27/20,9332,139,91,8,51
"Korea, South",3/28/20,9478,144,146,5,52
"Korea, South",3/29/20,9583,152,105,8,53
"Korea, South",3/30/20,9661,158,78,6,54
"Korea, South",3/31/20,9786,162,125,4,55
"Korea, South",4/1/20,9887,165,101,3,56
"Korea, South",4/2/20,9976,169,89,4,57
"Korea, South",4/3/20,10062,174,86,5,58
"Korea, South",4/4/20,10156,177,94,3,59
"Korea, South",4/5/20,10237,183,81,6,60
"Korea, South",4/6/20,10284,186,47,3,61
"Korea, South",4/7/20,10331,192,47,6,62
"Korea, South",4/8/20,10384,200,53,8,63
"Korea, South",4/9/20,10423,204,39,4,64
"Korea, South",4/10/20,10450,208,27,4,65
"Korea, South",4/11/20,10480,211,30,3,66
"Korea, South",4/12/20,10512,214,32,3,67
"Korea, South",4/13/20,10537,217,25,3,68
"Korea, South",4/14/20,10564,222,27,5,69
"Korea, South",4/15/20,10591,225,27,3,70
"Korea, South",4/16/20,10613,229,22,4,71
"Korea, South",4/17/20,10635,230,22,1,72
"Korea, South",4/18/20,10653,232,18,2,73
"Korea, South",4/19/20,10661,234,8,2,74
"Korea, South",4/20/20,10674,236,13,2,75
"Korea, South",4/21/20,10683,237,9,1,76
