country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Bangladesh,3/20/20,20,1,3,0,1
Bangladesh,3/21/20,25,2,5,1,2
Bangladesh,3/22/20,27,2,2,0,3
Bangladesh,3/23/20,33,3,6,1,4
Bangladesh,3/24/20,39,4,6,1,5
Bangladesh,3/25/20,39,5,0,1,6
Bangladesh,3/26/20,44,5,5,0,7
Bangladesh,3/27/20,48,5,4,0,8
Bangladesh,3/28/20,48,5,0,0,9
Bangladesh,3/29/20,48,5,0,0,10
Bangladesh,3/30/20,49,5,1,0,11
Bangladesh,3/31/20,51,5,2,0,12
Bangladesh,4/1/20,54,6,3,1,13
Bangladesh,4/2/20,56,6,2,0,14
Bangladesh,4/3/20,61,6,5,0,15
Bangladesh,4/4/20,70,8,9,2,16
Bangladesh,4/5/20,88,9,18,1,17
Bangladesh,4/6/20,123,12,35,3,18
Bangladesh,4/7/20,164,17,41,5,19
Bangladesh,4/8/20,218,20,54,3,20
Bangladesh,4/9/20,330,21,112,1,21
Bangladesh,4/10/20,424,27,94,6,22
Bangladesh,4/11/20,482,30,58,3,23
Bangladesh,4/12/20,621,34,139,4,24
Bangladesh,4/13/20,803,39,182,5,25
Bangladesh,4/14/20,1012,46,209,7,26
Bangladesh,4/15/20,1231,50,219,4,27
Bangladesh,4/16/20,1572,60,341,10,28
Bangladesh,4/17/20,1838,75,266,15,29
