country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Liechtenstein,3/18/20,28,0,21,0,1
Liechtenstein,3/19/20,28,0,0,0,2
Liechtenstein,3/20/20,28,0,0,0,3
Liechtenstein,3/21/20,37,0,9,0,4
Liechtenstein,3/22/20,37,0,0,0,5
Liechtenstein,3/23/20,51,0,14,0,6
Liechtenstein,3/24/20,51,0,0,0,7
Liechtenstein,3/25/20,51,0,0,0,8
Liechtenstein,3/26/20,56,0,5,0,9
Liechtenstein,3/27/20,56,0,0,0,10
Liechtenstein,3/28/20,56,0,0,0,11
Liechtenstein,3/29/20,56,0,0,0,12
Liechtenstein,3/30/20,62,0,6,0,13
Liechtenstein,3/31/20,68,0,6,0,14
Liechtenstein,4/1/20,68,0,0,0,15
Liechtenstein,4/2/20,75,0,7,0,16
Liechtenstein,4/3/20,75,0,0,0,17
Liechtenstein,4/4/20,77,1,2,1,18
Liechtenstein,4/5/20,77,1,0,0,19
Liechtenstein,4/6/20,77,1,0,0,20
Liechtenstein,4/7/20,78,1,1,0,21
Liechtenstein,4/8/20,78,1,0,0,22
Liechtenstein,4/9/20,78,1,0,0,23
Liechtenstein,4/10/20,79,1,1,0,24
Liechtenstein,4/11/20,79,1,0,0,25
Liechtenstein,4/12/20,79,1,0,0,26
Liechtenstein,4/13/20,79,1,0,0,27
Liechtenstein,4/14/20,79,1,0,0,28
Liechtenstein,4/15/20,79,1,0,0,29
Liechtenstein,4/16/20,79,1,0,0,30
Liechtenstein,4/17/20,79,1,0,0,31
Liechtenstein,4/18/20,79,1,0,0,32
