country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Gambia,5/8/20,20,1,2,0,1
Gambia,5/9/20,20,1,0,0,2
Gambia,5/10/20,20,1,0,0,3
Gambia,5/11/20,22,1,2,0,4
Gambia,5/12/20,22,1,0,0,5
Gambia,5/13/20,23,1,1,0,6
Gambia,5/14/20,23,1,0,0,7
Gambia,5/15/20,23,1,0,0,8
Gambia,5/16/20,23,1,0,0,9
Gambia,5/17/20,23,1,0,0,10
Gambia,5/18/20,24,1,1,0,11
Gambia,5/19/20,24,1,0,0,12
Gambia,5/20/20,24,1,0,0,13
Gambia,5/21/20,24,1,0,0,14
Gambia,5/22/20,25,1,1,0,15
Gambia,5/23/20,25,1,0,0,16
Gambia,5/24/20,25,1,0,0,17
Gambia,5/25/20,25,1,0,0,18
Gambia,5/26/20,25,1,0,0,19
Gambia,5/27/20,25,1,0,0,20
Gambia,5/28/20,25,1,0,0,21
Gambia,5/29/20,25,1,0,0,22
Gambia,5/30/20,25,1,0,0,23
Gambia,5/31/20,25,1,0,0,24
Gambia,6/1/20,25,1,0,0,25
Gambia,6/2/20,25,1,0,0,26
Gambia,6/3/20,26,1,1,0,27
Gambia,6/4/20,26,1,0,0,28
Gambia,6/5/20,26,1,0,0,29
Gambia,6/6/20,26,1,0,0,30
Gambia,6/7/20,26,1,0,0,31
Gambia,6/8/20,28,1,2,0,32
Gambia,6/9/20,28,1,0,0,33
Gambia,6/10/20,28,1,0,0,34
Gambia,6/11/20,28,1,0,0,35
Gambia,6/12/20,28,1,0,0,36
Gambia,6/13/20,28,1,0,0,37
Gambia,6/14/20,28,1,0,0,38
Gambia,6/15/20,30,1,2,0,39
Gambia,6/16/20,34,1,4,0,40
Gambia,6/17/20,34,1,0,0,41
Gambia,6/18/20,36,1,2,0,42
Gambia,6/19/20,36,1,0,0,43
Gambia,6/20/20,37,2,1,1,44
Gambia,6/21/20,37,2,0,0,45
Gambia,6/22/20,41,2,4,0,46
Gambia,6/23/20,42,2,1,0,47
Gambia,6/24/20,42,2,0,0,48
Gambia,6/25/20,43,2,1,0,49
Gambia,6/26/20,43,2,0,0,50
Gambia,6/27/20,44,2,1,0,51
Gambia,6/28/20,45,2,1,0,52
Gambia,6/29/20,47,2,2,0,53
Gambia,6/30/20,49,2,2,0,54
Gambia,7/1/20,49,2,0,0,55
Gambia,7/2/20,55,2,6,0,56
Gambia,7/3/20,55,2,0,0,57
Gambia,7/4/20,57,2,2,0,58
Gambia,7/5/20,57,2,0,0,59
Gambia,7/6/20,61,3,4,1,60
Gambia,7/7/20,61,3,0,0,61
