country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Sao Tome and Principe,5/4/20,23,3,7,2,1
Sao Tome and Principe,5/5/20,174,3,151,0,2
Sao Tome and Principe,5/6/20,174,3,0,0,3
Sao Tome and Principe,5/7/20,187,4,13,1,4
Sao Tome and Principe,5/8/20,208,5,21,1,5
Sao Tome and Principe,5/9/20,208,5,0,0,6
Sao Tome and Principe,5/10/20,208,5,0,0,7
Sao Tome and Principe,5/11/20,208,5,0,0,8
Sao Tome and Principe,5/12/20,208,5,0,0,9
Sao Tome and Principe,5/13/20,220,6,12,1,10
Sao Tome and Principe,5/14/20,235,7,15,1,11
Sao Tome and Principe,5/15/20,235,7,0,0,12
Sao Tome and Principe,5/16/20,235,7,0,0,13
Sao Tome and Principe,5/17/20,235,7,0,0,14
Sao Tome and Principe,5/18/20,246,7,11,0,15
Sao Tome and Principe,5/19/20,251,8,5,1,16
Sao Tome and Principe,5/20/20,251,8,0,0,17
Sao Tome and Principe,5/21/20,251,8,0,0,18
Sao Tome and Principe,5/22/20,251,8,0,0,19
Sao Tome and Principe,5/23/20,251,8,0,0,20
Sao Tome and Principe,5/24/20,251,8,0,0,21
Sao Tome and Principe,5/25/20,299,11,48,3,22
Sao Tome and Principe,5/26/20,441,12,142,1,23
Sao Tome and Principe,5/27/20,443,12,2,0,24
Sao Tome and Principe,5/28/20,458,12,15,0,25
Sao Tome and Principe,5/29/20,463,12,5,0,26
Sao Tome and Principe,5/30/20,479,12,16,0,27
Sao Tome and Principe,5/31/20,483,12,4,0,28
Sao Tome and Principe,6/1/20,484,12,1,0,29
Sao Tome and Principe,6/2/20,484,12,0,0,30
Sao Tome and Principe,6/3/20,484,12,0,0,31
Sao Tome and Principe,6/4/20,485,12,1,0,32
Sao Tome and Principe,6/5/20,499,12,14,0,33
Sao Tome and Principe,6/6/20,499,12,0,0,34
Sao Tome and Principe,6/7/20,513,12,14,0,35
Sao Tome and Principe,6/8/20,513,12,0,0,36
Sao Tome and Principe,6/9/20,514,12,1,0,37
Sao Tome and Principe,6/10/20,611,12,97,0,38
Sao Tome and Principe,6/11/20,632,12,21,0,39
Sao Tome and Principe,6/12/20,639,12,7,0,40
Sao Tome and Principe,6/13/20,659,12,20,0,41
Sao Tome and Principe,6/14/20,661,12,2,0,42
Sao Tome and Principe,6/15/20,662,12,1,0,43
Sao Tome and Principe,6/16/20,671,12,9,0,44
Sao Tome and Principe,6/17/20,683,12,12,0,45
Sao Tome and Principe,6/18/20,688,12,5,0,46
Sao Tome and Principe,6/19/20,693,12,5,0,47
Sao Tome and Principe,6/20/20,698,12,5,0,48
Sao Tome and Principe,6/21/20,698,12,0,0,49
Sao Tome and Principe,6/22/20,702,12,4,0,50
Sao Tome and Principe,6/23/20,707,12,5,0,51
Sao Tome and Principe,6/24/20,710,13,3,1,52
Sao Tome and Principe,6/25/20,711,13,1,0,53
Sao Tome and Principe,6/26/20,712,13,1,0,54
Sao Tome and Principe,6/27/20,713,13,1,0,55
Sao Tome and Principe,6/28/20,713,13,0,0,56
Sao Tome and Principe,6/29/20,713,13,0,0,57
Sao Tome and Principe,6/30/20,714,13,1,0,58
Sao Tome and Principe,7/1/20,715,13,1,0,59
Sao Tome and Principe,7/2/20,717,13,2,0,60
Sao Tome and Principe,7/3/20,719,13,2,0,61
Sao Tome and Principe,7/4/20,719,13,0,0,62
Sao Tome and Principe,7/5/20,720,13,1,0,63
Sao Tome and Principe,7/6/20,721,13,1,0,64
Sao Tome and Principe,7/7/20,724,13,3,0,65
