country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Andorra,3/17/20,39,0,37,0,1
Andorra,3/18/20,39,0,0,0,2
Andorra,3/19/20,53,0,14,0,3
Andorra,3/20/20,75,0,22,0,4
Andorra,3/21/20,88,0,13,0,5
Andorra,3/22/20,113,1,25,1,6
Andorra,3/23/20,133,1,20,0,7
Andorra,3/24/20,164,1,31,0,8
Andorra,3/25/20,188,1,24,0,9
Andorra,3/26/20,224,3,36,2,10
Andorra,3/27/20,267,3,43,0,11
Andorra,3/28/20,308,3,41,0,12
Andorra,3/29/20,334,6,26,3,13
Andorra,3/30/20,370,8,36,2,14
Andorra,3/31/20,376,12,6,4,15
Andorra,4/1/20,390,14,14,2,16
Andorra,4/2/20,428,15,38,1,17
Andorra,4/3/20,439,16,11,1,18
Andorra,4/4/20,466,17,27,1,19
Andorra,4/5/20,501,18,35,1,20
Andorra,4/6/20,525,21,24,3,21
Andorra,4/7/20,545,22,20,1,22
Andorra,4/8/20,564,23,19,1,23
Andorra,4/9/20,583,25,19,2,24
Andorra,4/10/20,601,26,18,1,25
Andorra,4/11/20,601,26,0,0,26
Andorra,4/12/20,638,29,37,3,27
Andorra,4/13/20,646,29,8,0,28
Andorra,4/14/20,659,31,13,2,29
Andorra,4/15/20,673,33,14,2,30
Andorra,4/16/20,673,33,0,0,31
Andorra,4/17/20,696,35,23,2,32
Andorra,4/18/20,704,35,8,0,33
Andorra,4/19/20,713,36,9,1,34
Andorra,4/20/20,717,37,4,1,35
Andorra,4/21/20,717,37,0,0,36
Andorra,4/22/20,723,37,6,0,37
Andorra,4/23/20,723,37,0,0,38
Andorra,4/24/20,731,40,8,3,39
Andorra,4/25/20,738,40,7,0,40
Andorra,4/26/20,738,40,0,0,41
Andorra,4/27/20,743,40,5,0,42
Andorra,4/28/20,743,41,0,1,43
Andorra,4/29/20,743,42,0,1,44
Andorra,4/30/20,745,42,2,0,45
Andorra,5/1/20,745,43,0,1,46
Andorra,5/2/20,747,44,2,1,47
Andorra,5/3/20,748,45,1,1,48
Andorra,5/4/20,750,45,2,0,49
Andorra,5/5/20,751,46,1,1,50
Andorra,5/6/20,751,46,0,0,51
Andorra,5/7/20,752,47,1,1,52
Andorra,5/8/20,752,47,0,0,53
Andorra,5/9/20,754,48,2,1,54
Andorra,5/10/20,755,48,1,0,55
Andorra,5/11/20,755,48,0,0,56
Andorra,5/12/20,758,48,3,0,57
Andorra,5/13/20,760,49,2,1,58
Andorra,5/14/20,761,49,1,0,59
Andorra,5/15/20,761,49,0,0,60
Andorra,5/16/20,761,51,0,2,61
Andorra,5/17/20,761,51,0,0,62
Andorra,5/18/20,761,51,0,0,63
Andorra,5/19/20,761,51,0,0,64
Andorra,5/20/20,762,51,1,0,65
Andorra,5/21/20,762,51,0,0,66
Andorra,5/22/20,762,51,0,0,67
