country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Ecuador,3/14/20,28,2,11,2,1
Ecuador,3/15/20,28,2,0,0,2
Ecuador,3/16/20,37,2,9,0,3
Ecuador,3/17/20,58,2,21,0,4
Ecuador,3/18/20,111,2,53,0,5
Ecuador,3/19/20,199,3,88,1,6
Ecuador,3/20/20,367,5,168,2,7
Ecuador,3/21/20,506,7,139,2,8
Ecuador,3/22/20,789,14,283,7,9
Ecuador,3/23/20,981,18,192,4,10
Ecuador,3/24/20,1082,27,101,9,11
Ecuador,3/25/20,1173,28,91,1,12
Ecuador,3/26/20,1403,34,230,6,13
Ecuador,3/27/20,1595,36,192,2,14
Ecuador,3/28/20,1823,48,228,12,15
Ecuador,3/29/20,1924,58,101,10,16
Ecuador,3/30/20,1962,60,38,2,17
Ecuador,3/31/20,2240,75,278,15,18
Ecuador,4/1/20,2748,93,508,18,19
Ecuador,4/2/20,3163,120,415,27,20
Ecuador,4/3/20,3368,145,205,25,21
Ecuador,4/4/20,3465,172,97,27,22
Ecuador,4/5/20,3646,180,181,8,23
Ecuador,4/6/20,3747,191,101,11,24
Ecuador,4/7/20,3747,191,0,0,25
Ecuador,4/8/20,4450,242,703,51,26
Ecuador,4/9/20,4965,272,515,30,27
Ecuador,4/10/20,7161,297,2196,25,28
Ecuador,4/11/20,7257,315,96,18,29
Ecuador,4/12/20,7466,333,209,18,30
Ecuador,4/13/20,7529,355,63,22,31
Ecuador,4/14/20,7603,369,74,14,32
Ecuador,4/15/20,7858,388,255,19,33
Ecuador,4/16/20,8225,403,367,15,34
Ecuador,4/17/20,8450,421,225,18,35
Ecuador,4/18/20,9022,456,572,35,36
Ecuador,4/19/20,9468,474,446,18,37
Ecuador,4/20/20,10128,507,660,33,38
Ecuador,4/21/20,10398,520,270,13,39
Ecuador,4/22/20,10850,537,452,17,40
Ecuador,4/23/20,11183,560,333,23,41
Ecuador,4/24/20,22719,576,11536,16,42
Ecuador,4/25/20,22719,576,0,0,43
Ecuador,4/26/20,22719,576,0,0,44
Ecuador,4/27/20,23240,663,521,87,45
Ecuador,4/28/20,24258,871,1018,208,46
Ecuador,4/29/20,24675,883,417,12,47
Ecuador,4/30/20,24934,900,259,17,48
Ecuador,5/1/20,26336,1063,1402,163,49
Ecuador,5/2/20,27464,1371,1128,308,50
Ecuador,5/3/20,29538,1564,2074,193,51
Ecuador,5/4/20,31881,1569,2343,5,52
Ecuador,5/5/20,31881,1569,0,0,53
Ecuador,5/6/20,31881,1618,0,49,54
Ecuador,5/7/20,30298,1654,-1583,36,55
Ecuador,5/8/20,28818,1704,-1480,50,56
Ecuador,5/9/20,29071,1717,253,13,57
Ecuador,5/10/20,29559,2127,488,410,58
Ecuador,5/11/20,29509,2145,-50,18,59
Ecuador,5/12/20,30419,2327,910,182,60
Ecuador,5/13/20,30486,2334,67,7,61
Ecuador,5/14/20,30502,2338,16,4,62
Ecuador,5/15/20,31467,2594,965,256,63
Ecuador,5/16/20,32763,2688,1296,94,64
Ecuador,5/17/20,33182,2736,419,48,65
Ecuador,5/18/20,33582,2799,400,63,66
Ecuador,5/19/20,34151,2839,569,40,67
Ecuador,5/20/20,34854,2888,703,49,68
Ecuador,5/21/20,35306,2939,452,51,69
Ecuador,5/22/20,35828,3056,522,117,70
