state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Nevada,3/13/20,18,0,8,0,1
Nevada,3/14/20,20,0,2,0,2
Nevada,3/15/20,20,0,0,0,3
Nevada,3/16/20,45,1,25,1,4
Nevada,3/17/20,55,1,10,0,5
Nevada,3/18/20,55,1,0,0,6
Nevada,3/19/20,95,1,40,0,7
Nevada,3/20/20,161,2,66,1,8
Nevada,3/21/20,161,2,0,0,9
Nevada,3/22/20,190,2,29,0,10
Nevada,3/23/20,245,4,55,2,11
Nevada,3/24/20,278,4,33,0,12
Nevada,3/25/20,323,6,45,2,13
Nevada,3/26/20,420,10,97,4,14
Nevada,3/27/20,536,10,116,0,15
Nevada,3/28/20,626,10,90,0,16
Nevada,3/29/20,920,15,294,5,17
Nevada,3/30/20,1012,15,92,0,18
Nevada,3/31/20,1114,26,102,11,19
Nevada,4/1/20,1279,31,165,5,20
Nevada,4/2/20,1463,38,184,7,21
Nevada,4/3/20,1514,43,51,5,22
Nevada,4/4/20,1742,46,228,3,23
Nevada,4/5/20,1855,46,113,0,24
Nevada,4/6/20,1953,46,98,0,25
Nevada,4/7/20,2124,72,171,26,26
Nevada,4/8/20,2259,72,135,0,27
Nevada,4/9/20,2456,81,197,9,28
Nevada,4/10/20,2722,90,266,9,29
Nevada,4/11/20,2702,102,-20,12,30
Nevada,4/12/20,2836,112,134,10,31
Nevada,4/13/20,2990,114,154,2,32
Nevada,4/14/20,3134,126,144,12,33
Nevada,4/15/20,3211,131,77,5,34
Nevada,4/16/20,3214,137,3,6,35
Nevada,4/17/20,3524,142,310,5,36
Nevada,4/18/20,3626,151,102,9,37
Nevada,4/19/20,3728,158,102,7,38
Nevada,4/20/20,3830,159,102,1,39
Nevada,4/21/20,3937,163,107,4,40
Nevada,4/22/20,4081,172,144,9,41
Nevada,4/23/20,4208,195,127,23,42
Nevada,4/24/20,4398,197,190,2,43
Nevada,4/25/20,4539,205,141,8,44
Nevada,4/26/20,4734,206,195,1,45
Nevada,4/27/20,4700,206,-34,0,46
Nevada,4/28/20,4821,219,121,13,47
Nevada,4/29/20,4934,230,113,11,48
Nevada,4/30/20,5053,243,119,13,49
Nevada,5/1/20,5248,246,195,3,50
Nevada,5/2/20,5389,255,141,9,51
Nevada,5/3/20,5472,258,83,3,52
Nevada,5/4/20,5630,265,158,7,53
Nevada,5/5/20,5660,270,30,5,54
Nevada,5/6/20,5741,289,81,19,55
Nevada,5/7/20,5855,297,114,8,56
Nevada,5/8/20,5920,294,65,-3,57
Nevada,5/9/20,6171,313,251,19,58
Nevada,5/10/20,6120,310,-51,-3,59
Nevada,5/11/20,6152,312,32,2,60
Nevada,5/12/20,6313,321,161,9,61
Nevada,5/13/20,6476,331,163,10,62
Nevada,5/14/20,6504,333,28,2,63
Nevada,5/15/20,6733,343,229,10,64
Nevada,5/16/20,6813,347,80,4,65
Nevada,5/17/20,6949,350,136,3,66
Nevada,5/18/20,7061,358,112,8,67
Nevada,5/19/20,7096,358,35,0,68
Nevada,5/20/20,7388,377,292,19,69
Nevada,5/21/20,7400,383,12,6,70
Nevada,5/22/20,7525,386,125,3,71
Nevada,5/23/20,7526,387,1,1,72
Nevada,5/24/20,7881,380,355,-7,73
Nevada,5/25/20,7956,394,75,14,74
Nevada,5/26/20,8057,394,101,0,75
Nevada,5/27/20,8150,402,93,8,76
Nevada,5/28/20,8248,406,98,4,77
Nevada,5/29/20,8376,406,128,0,78
Nevada,5/30/20,8517,417,141,11,79
Nevada,5/31/20,8628,417,111,0,80
Nevada,6/1/20,8702,417,74,0,81
Nevada,6/2/20,8858,417,156,0,82
Nevada,6/3/20,8951,431,93,14,83
Nevada,6/4/20,9129,430,178,-1,84
Nevada,6/5/20,9309,436,180,6,85
Nevada,6/6/20,9491,437,182,1,86
Nevada,6/7/20,9669,438,178,1,87
Nevada,6/8/20,9816,442,147,4,88
Nevada,6/9/20,10045,446,229,4,89
Nevada,6/10/20,10218,449,173,3,90
Nevada,6/11/20,10473,459,255,10,91
Nevada,6/12/20,10704,461,231,2,92
Nevada,6/13/20,10997,462,293,1,93
Nevada,6/14/20,11201,463,204,1,94
Nevada,6/15/20,11315,465,114,2,95
Nevada,6/16/20,11683,467,368,2,96
Nevada,6/17/20,11854,473,171,6,97
Nevada,6/18/20,12169,475,315,2,98
Nevada,6/19/20,12524,479,355,4,99
Nevada,6/20/20,12976,486,452,7,100
Nevada,6/21/20,13240,487,264,1,101
Nevada,6/22/20,13528,489,288,2,102
Nevada,6/23/20,13997,492,469,3,103
Nevada,6/24/20,14362,494,365,2,104
Nevada,6/25/20,14859,495,497,1,105
Nevada,6/26/20,15240,498,381,3,106
Nevada,6/27/20,16339,500,1099,2,107
Nevada,6/28/20,17160,500,821,0,108
Nevada,6/29/20,17894,504,734,4,109
Nevada,6/30/20,18456,507,562,3,110
Nevada,7/1/20,19101,511,645,4,111
Nevada,7/2/20,19733,525,632,14,112
Nevada,7/3/20,20718,528,985,3,113
Nevada,7/4/20,21575,530,857,2,114
Nevada,7/5/20,22418,534,843,4,115
Nevada,7/6/20,22909,537,491,3,116
Nevada,7/7/20,23785,548,876,11,117
Nevada,7/8/20,24301,553,516,5,118
Nevada,7/9/20,24904,571,603,18,119
Nevada,7/10/20,25908,579,1004,8,120
Nevada,7/11/20,26838,592,930,13,121
Nevada,7/12/20,27683,593,845,1,122
Nevada,7/13/20,28515,593,832,0,123
Nevada,7/14/20,29619,612,1104,19,124
Nevada,7/15/20,30468,618,849,6,125
Nevada,7/16/20,31915,626,1447,8,126
Nevada,7/17/20,33295,637,1380,11,127
Nevada,7/18/20,34477,646,1182,9,128
Nevada,7/19/20,35765,647,1288,1,129
Nevada,7/20/20,36713,648,948,1,130
Nevada,7/21/20,37528,676,815,28,131
Nevada,7/22/20,38657,704,1129,28,132
Nevada,7/23/20,39919,709,1262,5,133
Nevada,7/24/20,40885,722,966,13,134
Nevada,7/25/20,41816,732,931,10,135
Nevada,7/26/20,42843,734,1027,2,136
Nevada,7/27/20,43831,739,988,5,137
Nevada,7/28/20,44936,759,1105,20,138
Nevada,7/29/20,45806,780,870,21,139
Nevada,7/30/20,46824,801,1018,21,140
Nevada,7/31/20,48088,830,1264,29,141
Nevada,8/1/20,49074,832,986,2,142
Nevada,8/2/20,50205,832,1131,0,143
Nevada,8/3/20,51199,847,994,15,144
Nevada,8/4/20,52179,862,980,15,145
Nevada,8/5/20,52828,890,649,28,146
Nevada,8/6/20,53557,900,729,10,147
Nevada,8/7/20,54533,920,976,20,148
Nevada,8/8/20,55419,949,886,29,149
Nevada,8/9/20,56230,957,811,8,150
Nevada,8/10/20,56972,963,742,6,151
Nevada,8/11/20,57520,981,548,18,152
Nevada,8/12/20,58048,996,528,15,153
Nevada,8/13/20,58650,1030,602,34,154
Nevada,8/14/20,59749,1045,1099,15,155
Nevada,8/15/20,60608,1069,859,24,156
Nevada,8/16/20,61305,1072,697,3,157
Nevada,8/17/20,61967,1077,662,5,158
Nevada,8/18/20,62639,1102,672,25,159
Nevada,8/19/20,63028,1134,389,32,160
Nevada,8/20/20,63584,1172,556,38,161
Nevada,8/21/20,64433,1185,849,13,162
Nevada,8/22/20,65069,1197,636,12,163
Nevada,8/23/20,65601,1197,532,0,164
Nevada,8/24/20,66010,1200,409,3,165
Nevada,8/25/20,66413,1230,403,30,166
Nevada,8/26/20,66666,1250,253,20,167
Nevada,8/27/20,67220,1271,554,21,168
Nevada,8/28/20,67852,1287,632,16,169
Nevada,8/29/20,68461,1302,609,15,170
Nevada,8/30/20,68908,1302,447,0,171
Nevada,8/31/20,69228,1305,320,3,172
Nevada,9/1/20,69633,1313,405,8,173
Nevada,9/2/20,69872,1336,239,23,174
Nevada,9/3/20,70223,1363,351,27,175
Nevada,9/4/20,70712,1375,489,12,176
Nevada,9/5/20,71102,1388,390,13,177
Nevada,9/6/20,71610,1389,508,1,178
Nevada,9/7/20,71967,1393,357,4,179
Nevada,9/8/20,72104,1393,137,0,180
Nevada,9/9/20,72258,1412,154,19,181
Nevada,9/10/20,72546,1429,288,17,182
Nevada,9/11/20,72806,1439,260,10,183
Nevada,9/12/20,73220,1449,414,10,184
Nevada,9/13/20,73537,1452,317,3,185
Nevada,9/14/20,73814,1456,277,4,186
Nevada,9/15/20,74040,1482,226,26,187
Nevada,9/16/20,74248,1494,208,12,188
Nevada,9/17/20,74595,1506,347,12,189
Nevada,9/18/20,75096,1524,501,18,190
Nevada,9/19/20,75419,1528,323,4,191
Nevada,9/20/20,75804,1531,385,3,192
Nevada,9/21/20,76036,1531,232,0,193
Nevada,9/22/20,76298,1546,262,15,194
Nevada,9/23/20,76807,1556,509,10,195
Nevada,9/24/20,77197,1564,390,8,196
Nevada,9/25/20,77753,1573,556,9,197
Nevada,9/26/20,78355,1582,602,9,198
Nevada,9/27/20,78728,1585,373,3,199
Nevada,9/28/20,79191,1585,463,0,200
Nevada,9/29/20,79595,1593,404,8,201
Nevada,9/30/20,79980,1600,385,7,202
Nevada,10/1/20,80410,1603,430,3,203
Nevada,10/2/20,81182,1609,772,6,204
Nevada,10/3/20,81708,1620,526,11,205
Nevada,10/4/20,82100,1623,392,3,206
Nevada,10/5/20,82437,1623,337,0,207
Nevada,10/6/20,82916,1629,479,6,208
Nevada,10/7/20,83347,1636,431,7,209
Nevada,10/8/20,83827,1649,480,13,210
Nevada,10/9/20,84593,1657,766,8,211
Nevada,10/10/20,85399,1659,806,2,212
Nevada,10/11/20,85779,1661,380,2,213
Nevada,10/12/20,86348,1664,569,3,214
Nevada,10/13/20,86835,1674,487,10,215
Nevada,10/14/20,87314,1691,479,17,216
Nevada,10/15/20,87969,1698,655,7,217
Nevada,10/16/20,88685,1707,716,9,218
Nevada,10/17/20,89652,1707,967,0,219
Nevada,10/18/20,90261,1710,609,3,220
Nevada,10/19/20,90843,1712,582,2,221
Nevada,10/20/20,91499,1727,656,15,222
Nevada,10/21/20,92064,1732,565,5,223
Nevada,10/22/20,92853,1736,789,4,224
Nevada,10/23/20,93665,1738,812,2,225
Nevada,10/24/20,94812,1743,1147,5,226
Nevada,10/25/20,95703,1748,891,5,227
Nevada,10/26/20,96178,1749,475,1,228
Nevada,10/27/20,96908,1756,730,7,229
Nevada,10/28/20,97479,1766,571,10,230
Nevada,10/29/20,98552,1769,1073,3,231
Nevada,10/30/20,99784,1777,1232,8,232
Nevada,10/31/20,100761,1777,977,0,233
Nevada,11/1/20,101477,1781,716,4,234
Nevada,11/2/20,102114,1784,637,3,235
Nevada,11/3/20,103025,1807,911,23,236
Nevada,11/4/20,104093,1814,1068,7,237
Nevada,11/5/20,105360,1824,1267,10,238
Nevada,11/6/20,106922,1845,1562,21,239
Nevada,11/7/20,108746,1850,1824,5,240
Nevada,11/8/20,110022,1851,1276,1,241
Nevada,11/9/20,110982,1852,960,1,242
Nevada,11/10/20,112304,1859,1322,7,243
Nevada,11/11/20,113411,1877,1107,18,244
Nevada,11/12/20,114880,1880,1469,3,245
Nevada,11/13/20,116737,1893,1857,13,246
Nevada,11/14/20,119006,1908,2269,15,247
Nevada,11/15/20,120183,1909,1177,1,248
Nevada,11/16/20,122099,1917,1916,8,249
Nevada,11/17/20,123795,1944,1696,27,250
Nevada,11/18/20,125459,1947,1664,3,251
Nevada,11/19/20,127876,1953,2417,6,252
