state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Idaho,3/19/20,23,0,14,0,1
Idaho,3/20/20,36,0,13,0,2
Idaho,3/21/20,42,0,6,0,3
Idaho,3/22/20,42,0,0,0,4
Idaho,3/23/20,68,0,26,0,5
Idaho,3/24/20,81,0,13,0,6
Idaho,3/25/20,91,0,10,0,7
Idaho,3/26/20,146,3,55,3,8
Idaho,3/27/20,205,3,59,0,9
Idaho,3/28/20,234,4,29,1,10
Idaho,3/29/20,281,5,47,1,11
Idaho,3/30/20,340,6,59,1,12
Idaho,3/31/20,515,8,175,2,13
Idaho,4/1/20,566,9,51,1,14
Idaho,4/2/20,776,9,210,0,15
Idaho,4/3/20,891,9,115,0,16
Idaho,4/4/20,1022,10,131,1,17
Idaho,4/5/20,1078,10,56,0,18
Idaho,4/6/20,1101,10,23,0,19
Idaho,4/7/20,1170,13,69,3,20
Idaho,4/8/20,1210,15,40,2,21
Idaho,4/9/20,1232,18,22,3,22
Idaho,4/10/20,1354,24,122,6,23
Idaho,4/11/20,1396,25,42,1,24
Idaho,4/12/20,1407,27,11,2,25
Idaho,4/13/20,1426,27,19,0,26
Idaho,4/14/20,1464,33,38,6,27
Idaho,4/15/20,1473,39,9,6,28
Idaho,4/16/20,1587,41,114,2,29
Idaho,4/17/20,1609,41,22,0,30
Idaho,4/18/20,1655,43,46,2,31
Idaho,4/19/20,1668,44,13,1,32
Idaho,4/20/20,1672,45,4,1,33
Idaho,4/21/20,1736,48,64,3,34
Idaho,4/22/20,1766,51,30,3,35
Idaho,4/23/20,1836,54,70,3,36
Idaho,4/24/20,1870,54,34,0,37
Idaho,4/25/20,1887,56,17,2,38
Idaho,4/26/20,1897,56,10,0,39
Idaho,4/27/20,1897,56,0,0,40
Idaho,4/28/20,1952,60,55,4,41
Idaho,4/29/20,1952,60,0,0,42
Idaho,4/30/20,1984,60,32,0,43
Idaho,5/1/20,2015,63,31,3,44
Idaho,5/2/20,2061,64,46,1,45
Idaho,5/3/20,2061,64,0,0,46
Idaho,5/4/20,2106,64,45,0,47
Idaho,5/5/20,2127,65,21,1,48
Idaho,5/6/20,2158,66,31,1,49
Idaho,5/7/20,2178,67,20,1,50
Idaho,5/8/20,2178,67,0,0,51
