state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Indiana,3/11/20,11,0,5,0,1
Indiana,3/12/20,13,0,2,0,2
Indiana,3/13/20,13,0,0,0,3
Indiana,3/14/20,16,0,3,0,4
Indiana,3/15/20,20,0,4,0,5
Indiana,3/16/20,25,1,5,1,6
Indiana,3/17/20,30,2,5,1,7
Indiana,3/18/20,38,2,8,0,8
Indiana,3/19/20,60,2,22,0,9
Indiana,3/20/20,86,3,26,1,10
Indiana,3/21/20,128,4,42,1,11
Indiana,3/22/20,204,6,76,2,12
Indiana,3/23/20,270,7,66,1,13
Indiana,3/24/20,368,12,98,5,14
Indiana,3/25/20,477,14,109,2,15
Indiana,3/26/20,645,17,168,3,16
Indiana,3/27/20,979,25,334,8,17
Indiana,3/28/20,1233,31,254,6,18
Indiana,3/29/20,1513,32,280,1,19
Indiana,3/30/20,1786,35,273,3,20
Indiana,3/31/20,2158,49,372,14,21
Indiana,4/1/20,2564,65,406,16,22
Indiana,4/2/20,3038,78,474,13,23
Indiana,4/3/20,3437,102,399,24,24
Indiana,4/4/20,3953,116,516,14,25
Indiana,4/5/20,4411,127,458,11,26
Indiana,4/6/20,4956,143,545,16,27
Indiana,4/7/20,5510,173,554,30,28
Indiana,4/8/20,5943,203,433,30,29
Indiana,4/9/20,6351,245,408,42,30
Indiana,4/10/20,6907,300,556,55,31
Indiana,4/11/20,7435,330,528,30,32
Indiana,4/12/20,7928,343,493,13,33
Indiana,4/13/20,8359,350,431,7,34
Indiana,4/14/20,8527,387,168,37,35
Indiana,4/15/20,8960,436,433,49,36
Indiana,4/16/20,9542,477,582,41,37
Indiana,4/17/20,10154,522,612,45,38
Indiana,4/18/20,10641,545,487,23,39
Indiana,4/19/20,11211,562,570,17,40
Indiana,4/20/20,11688,577,477,15,41
Indiana,4/21/20,12097,635,409,58,42
Indiana,4/22/20,12438,666,341,31,43
Indiana,4/23/20,13039,706,601,40,44
Indiana,4/24/20,13681,741,642,35,45
Indiana,4/25/20,14399,786,718,45,46
Indiana,4/26/20,15012,813,613,27,47
Indiana,4/27/20,15961,844,949,31,48
Indiana,4/28/20,16588,901,627,57,49
Indiana,4/29/20,17182,964,594,63,50
Indiana,4/30/20,17835,1114,653,150,51
Indiana,5/1/20,18630,1175,795,61,52
Indiana,5/2/20,19295,1229,665,54,53
Indiana,5/3/20,19933,1246,638,17,54
Indiana,5/4/20,20507,1264,574,18,55
Indiana,5/5/20,21033,1326,526,62,56
Indiana,5/6/20,21870,1377,837,51,57
Indiana,5/7/20,22503,1414,633,37,58
Indiana,5/8/20,23146,1447,643,33,59
Indiana,5/9/20,23732,1490,586,43,60
Indiana,5/10/20,24126,1508,394,18,61
Indiana,5/11/20,24627,1540,501,32,62
Indiana,5/12/20,25127,1578,500,38,63
Indiana,5/13/20,25473,1619,346,41,64
Indiana,5/14/20,26053,1646,580,27,65
Indiana,5/15/20,26656,1691,603,45,66
Indiana,5/16/20,27280,1741,624,50,67
Indiana,5/17/20,27778,1751,498,10,68
Indiana,5/18/20,28255,1765,477,14,69
Indiana,5/19/20,28705,1824,450,59,70
Indiana,5/20/20,29274,1864,569,40,71
Indiana,5/21/20,29936,1913,662,49,72
Indiana,5/22/20,30409,1941,473,28,73
Indiana,5/23/20,30901,1964,492,23,74
Indiana,5/24/20,31376,1976,475,12,75
Indiana,5/25/20,31715,1984,339,8,76
Indiana,5/26/20,32078,2004,363,20,77
Indiana,5/27/20,32437,2030,359,26,78
Indiana,5/28/20,33068,2068,631,38,79
Indiana,5/29/20,33558,2110,490,42,80
Indiana,5/30/20,34211,2125,653,15,81
Indiana,5/31/20,34574,2134,363,9,82
Indiana,6/1/20,34830,2143,256,9,83
Indiana,6/2/20,35237,2197,407,54,84
Indiana,6/3/20,35712,2207,475,10,85
Indiana,6/4/20,36096,2231,384,24,86
Indiana,6/5/20,36578,2258,482,27,87
Indiana,6/6/20,36997,2292,419,34,88
Indiana,6/7/20,37397,2303,400,11,89
Indiana,6/8/20,37623,2316,226,13,90
Indiana,6/9/20,38033,2339,410,23,91
Indiana,6/10/20,38337,2355,304,16,92
Indiana,6/11/20,38748,2380,411,25,93
Indiana,6/12/20,39146,2396,398,16,94
Indiana,6/13/20,39543,2413,397,17,95
Indiana,6/14/20,39909,2422,366,9,96
Indiana,6/15/20,40430,2433,521,11,97
Indiana,6/16/20,40786,2447,356,14,98
Indiana,6/17/20,41013,2475,227,28,99
Indiana,6/18/20,41438,2491,425,16,100
Indiana,6/19/20,41746,2516,308,25,101
Indiana,6/20/20,42061,2536,315,20,102
Indiana,6/21/20,42423,2540,362,4,103
Indiana,6/22/20,42633,2553,210,13,104
Indiana,6/23/20,42871,2569,238,16,105
Indiana,6/24/20,43140,2578,269,9,106
Indiana,6/25/20,43655,2586,515,8,107
Indiana,6/26/20,44140,2595,485,9,108
Indiana,6/27/20,44575,2616,435,21,109
Indiana,6/28/20,44930,2619,355,3,110
Indiana,6/29/20,45228,2624,298,5,111
Indiana,6/30/20,45594,2640,366,16,112
Indiana,7/1/20,45952,2650,358,10,113
Indiana,7/2/20,46387,2662,435,12,114
Indiana,7/3/20,46915,2681,528,19,115
