state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Colorado,3/9/20,12,0,4,0,1
Colorado,3/10/20,17,0,5,0,2
Colorado,3/11/20,34,0,17,0,3
Colorado,3/12/20,49,1,15,1,4
Colorado,3/13/20,78,2,29,1,5
Colorado,3/14/20,103,2,25,0,6
Colorado,3/15/20,136,2,33,0,7
Colorado,3/16/20,161,2,25,0,8
Colorado,3/17/20,183,3,22,1,9
Colorado,3/18/20,216,3,33,0,10
Colorado,3/19/20,278,5,62,2,11
Colorado,3/20/20,364,5,86,0,12
Colorado,3/21/20,475,6,111,1,13
Colorado,3/22/20,595,7,120,1,14
Colorado,3/23/20,723,7,128,0,15
Colorado,3/24/20,912,11,189,4,16
Colorado,3/25/20,1087,20,175,9,17
Colorado,3/26/20,1430,19,343,-1,18
Colorado,3/27/20,1738,31,308,12,19
Colorado,3/28/20,2061,44,323,13,20
Colorado,3/29/20,2308,47,247,3,21
Colorado,3/30/20,2627,51,319,4,22
Colorado,3/31/20,2966,69,339,18,23
Colorado,4/1/20,3342,79,376,10,24
Colorado,4/2/20,3728,97,386,18,25
Colorado,4/3/20,4173,111,445,14,26
Colorado,4/4/20,4565,126,392,15,27
Colorado,4/5/20,4950,140,385,14,28
Colorado,4/6/20,5183,150,233,10,29
Colorado,4/7/20,5429,179,246,29,30
Colorado,4/8/20,5655,193,226,14,31
Colorado,4/9/20,6202,226,547,33,32
Colorado,4/10/20,6513,250,311,24,33
Colorado,4/11/20,6893,274,380,24,34
Colorado,4/12/20,7307,289,414,15,35
Colorado,4/13/20,7696,306,389,17,36
Colorado,4/14/20,7950,327,254,21,37
Colorado,4/15/20,8280,354,330,27,38
Colorado,4/16/20,8675,372,395,18,39
Colorado,4/17/20,9047,389,372,17,40
Colorado,4/18/20,9440,411,393,22,41
Colorado,4/19/20,9730,420,290,9,42
Colorado,4/20/20,10112,447,382,27,43
Colorado,4/21/20,10473,483,361,36,44
Colorado,4/22/20,10891,506,418,23,45
Colorado,4/23/20,11278,552,387,46,46
Colorado,4/24/20,12256,674,978,122,47
Colorado,4/25/20,12968,684,712,10,48
Colorado,4/26/20,13441,688,473,4,49
Colorado,4/27/20,13879,706,438,18,50
Colorado,4/28/20,14316,736,437,30,51
Colorado,4/29/20,14758,766,442,30,52
Colorado,4/30/20,15284,777,526,11,53
Colorado,5/1/20,15793,821,509,44,54
Colorado,5/2/20,16225,832,432,11,55
Colorado,5/3/20,16635,842,410,10,56
Colorado,5/4/20,16918,851,283,9,57
Colorado,5/5/20,17367,903,449,52,58
Colorado,5/6/20,17832,919,465,16,59
Colorado,5/7/20,18370,944,538,25,60
Colorado,5/8/20,18827,960,457,16,61
Colorado,5/9/20,19375,967,548,7,62
Colorado,5/10/20,19703,971,328,4,63
Colorado,5/11/20,19879,987,176,16,64
Colorado,5/12/20,20157,1010,278,23,65
Colorado,5/13/20,20475,1062,318,52,66
Colorado,5/14/20,20838,1086,363,24,67
Colorado,5/15/20,21232,1150,394,64,68
Colorado,5/16/20,21633,1192,401,42,69
Colorado,5/17/20,21938,1215,305,23,70
Colorado,5/18/20,22202,1224,264,9,71
Colorado,5/19/20,22482,1257,280,33,72
Colorado,5/20/20,22797,1299,315,42,73
Colorado,5/21/20,23191,1310,394,11,74
Colorado,5/22/20,23487,1324,296,14,75
Colorado,5/23/20,23964,1327,477,3,76
Colorado,5/24/20,24174,1332,210,5,77
Colorado,5/25/20,24269,1333,95,1,78
Colorado,5/26/20,24565,1352,296,19,79
Colorado,5/27/20,24767,1392,202,40,80
Colorado,5/28/20,25121,1421,354,29,81
Colorado,5/29/20,25612,1436,491,15,82
Colorado,5/30/20,26098,1443,486,7,83
Colorado,5/31/20,26378,1445,280,2,84
Colorado,6/1/20,26577,1458,199,13,85
Colorado,6/2/20,26788,1474,211,16,86
Colorado,6/3/20,27060,1494,272,20,87
Colorado,6/4/20,27360,1512,300,18,88
Colorado,6/5/20,27615,1524,255,12,89
Colorado,6/6/20,27848,1527,233,3,90
Colorado,6/7/20,28001,1527,153,0,91
Colorado,6/8/20,28183,1543,182,16,92
Colorado,6/9/20,28347,1553,164,10,93
Colorado,6/10/20,28499,1572,152,19,94
Colorado,6/11/20,28647,1582,148,10,95
Colorado,6/12/20,28822,1582,175,0,96
Colorado,6/13/20,29017,1597,195,15,97
Colorado,6/14/20,29130,1598,113,1,98
Colorado,6/15/20,29299,1605,169,7,99
Colorado,6/16/20,29442,1617,143,12,100
Colorado,6/17/20,29671,1631,229,14,101
Colorado,6/18/20,29901,1638,230,7,102
Colorado,6/19/20,30187,1643,286,5,103
Colorado,6/20/20,30348,1647,161,4,104
Colorado,6/21/20,30539,1647,191,0,105
Colorado,6/22/20,30705,1651,166,4,106
Colorado,6/23/20,30893,1665,188,14,107
Colorado,6/24/20,31155,1667,262,2,108
Colorado,6/25/20,31479,1669,324,2,109
Colorado,6/26/20,31796,1673,317,4,110
Colorado,6/27/20,32022,1674,226,1,111
Colorado,6/28/20,32307,1676,285,2,112
Colorado,6/29/20,32511,1681,204,5,113
Colorado,6/30/20,32715,1690,204,9,114
Colorado,7/1/20,33029,1697,314,7,115
Colorado,7/2/20,33352,1701,323,4,116
Colorado,7/3/20,33612,1701,260,0,117
Colorado,7/4/20,33866,1701,254,0,118
Colorado,7/5/20,34065,1701,199,0,119
Colorado,7/6/20,34257,1691,192,-10,120
Colorado,7/7/20,34664,1696,407,5,121
Colorado,7/8/20,35116,1704,452,8,122
Colorado,7/9/20,35525,1706,409,2,123
Colorado,7/10/20,36191,1724,666,18,124
Colorado,7/11/20,36591,1725,400,1,125
Colorado,7/12/20,36913,1725,322,0,126
Colorado,7/13/20,37236,1727,323,2,127
Colorado,7/14/20,37686,1738,450,11,128
Colorado,7/15/20,38155,1744,469,6,129
Colorado,7/16/20,38726,1745,571,1,130
Colorado,7/17/20,39344,1751,618,6,131
Colorado,7/18/20,39788,1752,444,1,132
Colorado,7/19/20,40142,1752,354,0,133
Colorado,7/20/20,40566,1758,424,6,134
Colorado,7/21/20,41059,1763,493,5,135
Colorado,7/22/20,41698,1771,639,8,136
Colorado,7/23/20,42313,1786,615,15,137
Colorado,7/24/20,42980,1790,667,4,138
Colorado,7/25/20,43789,1794,809,4,139
Colorado,7/26/20,44336,1794,547,0,140
Colorado,7/27/20,44565,1799,229,5,141
Colorado,7/28/20,45314,1807,749,8,142
Colorado,7/29/20,45796,1822,482,15,143
Colorado,7/30/20,46204,1822,408,0,144
Colorado,7/31/20,46809,1838,605,16,145
Colorado,8/1/20,47267,1844,458,6,146
Colorado,8/2/20,47727,1844,460,0,147
Colorado,8/3/20,47968,1844,241,0,148
