state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
New Hampshire,3/16/20,17,0,10,0,1
New Hampshire,3/17/20,26,0,9,0,2
New Hampshire,3/18/20,37,0,11,0,3
New Hampshire,3/19/20,42,0,5,0,4
New Hampshire,3/20/20,53,0,11,0,5
New Hampshire,3/21/20,61,0,8,0,6
New Hampshire,3/22/20,73,0,12,0,7
New Hampshire,3/23/20,101,1,28,1,8
New Hampshire,3/24/20,101,1,0,0,9
New Hampshire,3/25/20,108,1,7,0,10
New Hampshire,3/26/20,137,1,29,0,11
New Hampshire,3/27/20,158,1,21,0,12
New Hampshire,3/28/20,187,2,29,1,13
New Hampshire,3/29/20,214,2,27,0,14
New Hampshire,3/30/20,314,3,100,1,15
New Hampshire,3/31/20,357,3,43,0,16
New Hampshire,4/1/20,367,3,10,0,17
New Hampshire,4/2/20,479,3,112,0,18
New Hampshire,4/3/20,479,5,0,2,19
New Hampshire,4/4/20,540,7,61,2,20
New Hampshire,4/5/20,621,9,81,2,21
New Hampshire,4/6/20,715,9,94,0,22
New Hampshire,4/7/20,715,9,0,0,23
New Hampshire,4/8/20,747,13,32,4,24
New Hampshire,4/9/20,819,21,72,8,25
New Hampshire,4/10/20,819,21,0,0,26
New Hampshire,4/11/20,885,22,66,1,27
New Hampshire,4/12/20,929,23,44,1,28
New Hampshire,4/13/20,985,23,56,0,29
New Hampshire,4/14/20,922,25,-63,2,30
New Hampshire,4/15/20,1139,32,217,7,31
New Hampshire,4/16/20,1139,32,0,0,32
New Hampshire,4/17/20,1287,37,148,5,33
New Hampshire,4/18/20,1342,38,55,1,34
New Hampshire,4/19/20,1390,38,48,0,35
New Hampshire,4/20/20,1447,42,57,4,36
New Hampshire,4/21/20,1490,42,43,0,37
New Hampshire,4/22/20,1588,48,98,6,38
New Hampshire,4/23/20,1670,51,82,3,39
New Hampshire,4/24/20,1720,53,50,2,40
New Hampshire,4/25/20,1797,53,77,0,41
New Hampshire,4/26/20,1864,60,67,7,42
New Hampshire,4/27/20,1938,60,74,0,43
New Hampshire,4/28/20,2010,60,72,0,44
New Hampshire,4/29/20,2058,60,48,0,45
New Hampshire,4/30/20,2146,72,88,12,46
New Hampshire,5/1/20,2310,81,164,9,47
New Hampshire,5/2/20,2429,84,119,3,48
New Hampshire,5/3/20,2518,86,89,2,49
New Hampshire,5/4/20,2588,86,70,0,50
New Hampshire,5/5/20,2636,92,48,6,51
New Hampshire,5/6/20,2741,92,105,0,52
New Hampshire,5/7/20,2843,114,102,22,53
New Hampshire,5/8/20,2947,121,104,7,54
New Hampshire,5/9/20,3011,131,64,10,55
New Hampshire,5/10/20,3071,133,60,2,56
New Hampshire,5/11/20,3160,133,89,0,57
New Hampshire,5/12/20,3239,142,79,9,58
New Hampshire,5/13/20,3299,150,60,8,59
New Hampshire,5/14/20,3382,151,83,1,60
New Hampshire,5/15/20,3453,159,71,8,61
New Hampshire,5/16/20,3556,171,103,12,62
New Hampshire,5/17/20,3596,172,40,1,63
New Hampshire,5/18/20,3652,172,56,0,64
New Hampshire,5/19/20,3721,172,69,0,65
New Hampshire,5/20/20,3868,190,147,18,66
New Hampshire,5/21/20,3935,199,67,9,67
New Hampshire,5/22/20,4014,204,79,5,68
New Hampshire,5/23/20,4089,208,75,4,69
New Hampshire,5/24/20,4149,209,60,1,70
New Hampshire,5/25/20,4197,210,48,1,71
New Hampshire,5/26/20,4231,214,34,4,72
New Hampshire,5/27/20,4286,223,55,9,73
New Hampshire,5/28/20,4389,232,103,9,74
New Hampshire,5/29/20,4492,238,103,6,75
New Hampshire,5/30/20,4492,238,0,0,76
New Hampshire,5/31/20,4651,245,159,7,77
New Hampshire,6/1/20,4685,245,34,0,78
New Hampshire,6/2/20,4749,256,64,11,79
New Hampshire,6/3/20,4795,265,46,9,80
New Hampshire,6/4/20,4876,273,81,8,81
New Hampshire,6/5/20,4953,278,77,5,82
New Hampshire,6/6/20,5019,283,66,5,83
New Hampshire,6/7/20,5043,286,24,3,84
New Hampshire,6/8/20,5079,286,36,0,85
New Hampshire,6/9/20,5079,286,0,0,86
New Hampshire,6/10/20,5178,301,99,15,87
New Hampshire,6/11/20,5209,308,31,7,88
New Hampshire,6/12/20,5251,315,42,7,89
New Hampshire,6/13/20,5299,318,48,3,90
New Hampshire,6/14/20,5318,320,19,2,91
New Hampshire,6/15/20,5345,320,27,0,92
New Hampshire,6/16/20,5364,326,19,6,93
New Hampshire,6/17/20,5436,330,72,4,94
New Hampshire,6/18/20,5450,331,14,1,95
New Hampshire,6/19/20,5486,337,36,6,96
New Hampshire,6/20/20,5518,339,32,2,97
New Hampshire,6/21/20,5544,339,26,0,98
New Hampshire,6/22/20,5558,339,14,0,99
New Hampshire,6/23/20,5571,343,13,4,100
New Hampshire,6/24/20,5598,347,27,4,101
New Hampshire,6/25/20,5638,357,40,10,102
New Hampshire,6/26/20,5671,365,33,8,103
New Hampshire,6/27/20,5717,367,46,2,104
New Hampshire,6/28/20,5747,367,30,0,105
New Hampshire,6/29/20,5760,367,13,0,106
New Hampshire,6/30/20,5782,371,22,4,107
New Hampshire,7/1/20,5802,373,20,2,108
New Hampshire,7/2/20,5822,375,20,2,109
New Hampshire,7/3/20,5857,376,35,1,110
New Hampshire,7/4/20,5872,379,15,3,111
New Hampshire,7/5/20,5897,381,25,2,112
New Hampshire,7/6/20,5914,382,17,1,113
New Hampshire,7/7/20,5932,384,18,2,114
New Hampshire,7/8/20,5952,386,20,2,115
New Hampshire,7/9/20,5973,387,21,1,116
New Hampshire,7/10/20,5991,390,18,3,117
New Hampshire,7/11/20,6024,391,33,1,118
New Hampshire,7/12/20,6054,391,30,0,119
New Hampshire,7/13/20,6068,391,14,0,120
New Hampshire,7/14/20,6091,392,23,1,121
New Hampshire,7/15/20,6113,394,22,2,122
New Hampshire,7/16/20,6139,395,26,1,123
New Hampshire,7/17/20,6165,395,26,0,124
New Hampshire,7/18/20,6188,396,23,1,125
New Hampshire,7/19/20,6203,398,15,2,126
New Hampshire,7/20/20,6249,398,46,0,127
New Hampshire,7/21/20,6262,400,13,2,128
New Hampshire,7/22/20,6295,402,33,2,129
New Hampshire,7/23/20,6318,405,23,3,130
New Hampshire,7/24/20,6375,407,57,2,131
New Hampshire,7/25/20,6415,409,40,2,132
New Hampshire,7/26/20,6436,409,21,0,133
New Hampshire,7/27/20,6441,409,5,0,134
New Hampshire,7/28/20,6500,409,59,0,135
New Hampshire,7/29/20,6513,411,13,2,136
New Hampshire,7/30/20,6544,415,31,4,137
New Hampshire,7/31/20,6583,415,39,0,138
New Hampshire,8/1/20,6614,416,31,1,139
New Hampshire,8/2/20,6634,417,20,1,140
New Hampshire,8/3/20,6660,417,26,0,141
New Hampshire,8/4/20,6693,418,33,1,142
New Hampshire,8/5/20,6719,418,26,0,143
New Hampshire,8/6/20,6742,419,23,1,144
New Hampshire,8/7/20,6779,419,37,0,145
New Hampshire,8/8/20,6818,419,39,0,146
New Hampshire,8/9/20,6835,419,17,0,147
New Hampshire,8/10/20,6840,419,5,0,148
New Hampshire,8/11/20,6861,419,21,0,149
New Hampshire,8/12/20,6887,420,26,1,150
New Hampshire,8/13/20,6921,422,34,2,151
New Hampshire,8/14/20,6964,423,43,1,152
New Hampshire,8/15/20,6980,423,16,0,153
New Hampshire,8/16/20,6988,423,8,0,154
New Hampshire,8/17/20,7004,423,16,0,155
New Hampshire,8/18/20,7017,424,13,1,156
New Hampshire,8/19/20,7036,427,19,3,157
New Hampshire,8/20/20,7050,428,14,1,158
New Hampshire,8/21/20,7071,428,21,0,159
New Hampshire,8/22/20,7094,429,23,1,160
New Hampshire,8/23/20,7107,429,13,0,161
New Hampshire,8/24/20,7140,429,33,0,162
New Hampshire,8/25/20,7156,429,16,0,163
New Hampshire,8/26/20,7156,429,0,0,164
New Hampshire,8/27/20,7194,431,38,2,165
New Hampshire,8/28/20,7216,432,22,1,166
New Hampshire,8/29/20,7246,432,30,0,167
New Hampshire,8/30/20,7254,432,8,0,168
New Hampshire,8/31/20,7275,432,21,0,169
New Hampshire,9/1/20,7297,432,22,0,170
New Hampshire,9/2/20,7309,432,12,0,171
New Hampshire,9/3/20,7347,432,38,0,172
New Hampshire,9/4/20,7368,432,21,0,173
New Hampshire,9/5/20,7424,432,56,0,174
New Hampshire,9/6/20,7447,433,23,1,175
New Hampshire,9/7/20,7476,433,29,0,176
New Hampshire,9/8/20,7494,433,18,0,177
New Hampshire,9/9/20,7494,433,0,0,178
New Hampshire,9/10/20,7573,434,79,1,179
New Hampshire,9/11/20,7620,434,47,0,180
New Hampshire,9/12/20,7652,435,32,1,181
New Hampshire,9/13/20,7696,436,44,1,182
New Hampshire,9/14/20,7714,436,18,0,183
New Hampshire,9/15/20,7750,438,36,2,184
New Hampshire,9/16/20,7781,438,31,0,185
New Hampshire,9/17/20,7781,438,0,0,186
New Hampshire,9/18/20,7861,438,80,0,187
New Hampshire,9/19/20,7920,438,59,0,188
New Hampshire,9/20/20,7947,438,27,0,189
New Hampshire,9/21/20,7952,438,5,0,190
New Hampshire,9/22/20,7990,438,38,0,191
New Hampshire,9/23/20,8007,438,17,0,192
New Hampshire,9/24/20,8044,438,37,0,193
New Hampshire,9/25/20,8085,438,41,0,194
New Hampshire,9/26/20,8121,439,36,1,195
New Hampshire,9/27/20,8172,439,51,0,196
New Hampshire,9/28/20,8208,439,36,0,197
New Hampshire,9/29/20,8233,439,25,0,198
New Hampshire,9/30/20,8266,439,33,0,199
New Hampshire,10/1/20,8317,441,51,2,200
New Hampshire,10/2/20,8534,442,217,1,201
New Hampshire,10/3/20,8597,442,63,0,202
New Hampshire,10/4/20,8645,443,48,1,203
New Hampshire,10/5/20,8645,443,0,0,204
New Hampshire,10/6/20,8731,446,86,3,205
New Hampshire,10/7/20,8731,446,0,0,206
New Hampshire,10/8/20,8878,448,147,2,207
New Hampshire,10/9/20,8970,450,92,2,208
New Hampshire,10/10/20,9092,455,122,5,209
New Hampshire,10/11/20,9143,456,51,1,210
New Hampshire,10/12/20,9208,456,65,0,211
New Hampshire,10/13/20,9279,456,71,0,212
New Hampshire,10/14/20,9349,458,70,2,213
New Hampshire,10/15/20,9426,463,77,5,214
New Hampshire,10/16/20,9514,465,88,2,215
New Hampshire,10/17/20,9625,466,111,1,216
New Hampshire,10/18/20,9625,466,0,0,217
New Hampshire,10/19/20,9746,468,121,2,218
New Hampshire,10/20/20,9828,468,82,0,219
New Hampshire,10/21/20,9917,469,89,1,220
New Hampshire,10/22/20,9994,470,77,1,221
New Hampshire,10/23/20,10112,471,118,1,222
New Hampshire,10/24/20,10238,473,126,2,223
New Hampshire,10/25/20,10328,473,90,0,224
New Hampshire,10/26/20,10397,475,69,2,225
New Hampshire,10/27/20,10530,475,133,0,226
New Hampshire,10/28/20,10641,478,111,3,227
New Hampshire,10/29/20,10768,482,127,4,228
New Hampshire,10/30/20,10884,482,116,0,229
