country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Iceland,3/4/20,26,0,15,0,1
Iceland,3/5/20,34,0,8,0,2
Iceland,3/6/20,43,0,9,0,3
Iceland,3/7/20,50,0,7,0,4
Iceland,3/8/20,50,0,0,0,5
Iceland,3/9/20,58,0,8,0,6
Iceland,3/10/20,69,0,11,0,7
Iceland,3/11/20,85,0,16,0,8
Iceland,3/12/20,103,0,18,0,9
Iceland,3/13/20,134,0,31,0,10
Iceland,3/14/20,156,0,22,0,11
Iceland,3/15/20,171,5,15,5,12
Iceland,3/16/20,180,0,9,-5,13
Iceland,3/17/20,220,1,40,1,14
Iceland,3/18/20,250,1,30,0,15
Iceland,3/19/20,330,1,80,0,16
Iceland,3/20/20,409,0,79,-1,17
Iceland,3/21/20,473,1,64,1,18
Iceland,3/22/20,568,1,95,0,19
Iceland,3/23/20,588,1,20,0,20
Iceland,3/24/20,648,2,60,1,21
Iceland,3/25/20,737,2,89,0,22
Iceland,3/26/20,802,2,65,0,23
Iceland,3/27/20,890,2,88,0,24
Iceland,3/28/20,963,2,73,0,25
Iceland,3/29/20,1020,2,57,0,26
Iceland,3/30/20,1086,2,66,0,27
Iceland,3/31/20,1135,2,49,0,28
Iceland,4/1/20,1220,2,85,0,29
Iceland,4/2/20,1319,4,99,2,30
Iceland,4/3/20,1364,4,45,0,31
Iceland,4/4/20,1417,4,53,0,32
Iceland,4/5/20,1486,4,69,0,33
Iceland,4/6/20,1562,6,76,2,34
Iceland,4/7/20,1586,6,24,0,35
Iceland,4/8/20,1616,6,30,0,36
Iceland,4/9/20,1648,6,32,0,37
Iceland,4/10/20,1675,7,27,1,38
Iceland,4/11/20,1689,8,14,1,39
Iceland,4/12/20,1701,8,12,0,40
Iceland,4/13/20,1711,8,10,0,41
Iceland,4/14/20,1720,8,9,0,42
Iceland,4/15/20,1727,8,7,0,43
Iceland,4/16/20,1739,8,12,0,44
Iceland,4/17/20,1754,9,15,1,45
Iceland,4/18/20,1760,9,6,0,46
Iceland,4/19/20,1771,9,11,0,47
Iceland,4/20/20,1773,10,2,1,48
Iceland,4/21/20,1778,10,5,0,49
Iceland,4/22/20,1785,10,7,0,50
Iceland,4/23/20,1789,10,4,0,51
Iceland,4/24/20,1789,10,0,0,52
Iceland,4/25/20,1790,10,1,0,53
Iceland,4/26/20,1792,10,2,0,54
Iceland,4/27/20,1792,10,0,0,55
Iceland,4/28/20,1795,10,3,0,56
Iceland,4/29/20,1797,10,2,0,57
Iceland,4/30/20,1797,10,0,0,58
Iceland,5/1/20,1798,10,1,0,59
Iceland,5/2/20,1798,10,0,0,60
Iceland,5/3/20,1799,10,1,0,61
Iceland,5/4/20,1799,10,0,0,62
Iceland,5/5/20,1799,10,0,0,63
Iceland,5/6/20,1799,10,0,0,64
Iceland,5/7/20,1801,10,2,0,65
Iceland,5/8/20,1801,10,0,0,66
