country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Ghana,3/22/20,23,1,4,0,1
Ghana,3/23/20,27,2,4,1,2
Ghana,3/24/20,53,2,26,0,3
Ghana,3/25/20,93,4,40,2,4
Ghana,3/26/20,132,4,39,0,5
Ghana,3/27/20,137,4,5,0,6
Ghana,3/28/20,141,5,4,1,7
Ghana,3/29/20,152,5,11,0,8
Ghana,3/30/20,152,5,0,0,9
Ghana,3/31/20,161,5,9,0,10
Ghana,4/1/20,195,5,34,0,11
Ghana,4/2/20,204,5,9,0,12
Ghana,4/3/20,205,5,1,0,13
Ghana,4/4/20,205,5,0,0,14
Ghana,4/5/20,214,5,9,0,15
Ghana,4/6/20,214,5,0,0,16
Ghana,4/7/20,287,5,73,0,17
Ghana,4/8/20,313,6,26,1,18
Ghana,4/9/20,378,6,65,0,19
Ghana,4/10/20,378,6,0,0,20
Ghana,4/11/20,408,8,30,2,21
Ghana,4/12/20,566,8,158,0,22
Ghana,4/13/20,566,8,0,0,23
Ghana,4/14/20,636,8,70,0,24
Ghana,4/15/20,636,8,0,0,25
Ghana,4/16/20,641,8,5,0,26
Ghana,4/17/20,641,8,0,0,27
Ghana,4/18/20,834,9,193,1,28
Ghana,4/19/20,1042,9,208,0,29
Ghana,4/20/20,1042,9,0,0,30
Ghana,4/21/20,1042,9,0,0,31
Ghana,4/22/20,1154,9,112,0,32
Ghana,4/23/20,1154,9,0,0,33
Ghana,4/24/20,1279,10,125,1,34
Ghana,4/25/20,1279,10,0,0,35
Ghana,4/26/20,1550,11,271,1,36
Ghana,4/27/20,1550,11,0,0,37
Ghana,4/28/20,1671,16,121,5,38
Ghana,4/29/20,1671,16,0,0,39
Ghana,4/30/20,2074,17,403,1,40
Ghana,5/1/20,2074,17,0,0,41
Ghana,5/2/20,2169,18,95,1,42
Ghana,5/3/20,2169,18,0,0,43
Ghana,5/4/20,2719,18,550,0,44
Ghana,5/5/20,2719,18,0,0,45
Ghana,5/6/20,3091,18,372,0,46
Ghana,5/7/20,3091,18,0,0,47
Ghana,5/8/20,4012,18,921,0,48
Ghana,5/9/20,4263,22,251,4,49
Ghana,5/10/20,4263,22,0,0,50
Ghana,5/11/20,4700,22,437,0,51
Ghana,5/12/20,5127,22,427,0,52
Ghana,5/13/20,5408,24,281,2,53
Ghana,5/14/20,5530,24,122,0,54
Ghana,5/15/20,5638,28,108,4,55
Ghana,5/16/20,5735,29,97,1,56
Ghana,5/17/20,5735,29,0,0,57
Ghana,5/18/20,5735,29,0,0,58
Ghana,5/19/20,6096,31,361,2,59
Ghana,5/20/20,6269,31,173,0,60
Ghana,5/21/20,6269,31,0,0,61
Ghana,5/22/20,6486,31,217,0,62
Ghana,5/23/20,6617,31,131,0,63
Ghana,5/24/20,6683,32,66,1,64
Ghana,5/25/20,6808,32,125,0,65
Ghana,5/26/20,7117,34,309,2,66
Ghana,5/27/20,7303,34,186,0,67
Ghana,5/28/20,7303,34,0,0,68
Ghana,5/29/20,7616,34,313,0,69
Ghana,5/30/20,7768,35,152,1,70
Ghana,5/31/20,8070,36,302,1,71
Ghana,6/1/20,8070,36,0,0,72
Ghana,6/2/20,8297,38,227,2,73
Ghana,6/3/20,8548,38,251,0,74
Ghana,6/4/20,8885,38,337,0,75
Ghana,6/5/20,9168,42,283,4,76
