country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Denmark,3/6/20,24,0,13,0,1
Denmark,3/7/20,24,0,0,0,2
Denmark,3/8/20,37,0,13,0,3
Denmark,3/9/20,92,0,55,0,4
Denmark,3/10/20,264,0,172,0,5
Denmark,3/11/20,444,0,180,0,6
Denmark,3/12/20,617,0,173,0,7
Denmark,3/13/20,804,0,187,0,8
Denmark,3/14/20,836,1,32,1,9
Denmark,3/15/20,875,2,39,1,10
Denmark,3/16/20,933,3,58,1,11
Denmark,3/17/20,1025,4,92,1,12
Denmark,3/18/20,1116,4,91,0,13
Denmark,3/19/20,1225,6,109,2,14
Denmark,3/20/20,1337,9,112,3,15
Denmark,3/21/20,1420,13,83,4,16
Denmark,3/22/20,1514,13,94,0,17
Denmark,3/23/20,1572,24,58,11,18
Denmark,3/24/20,1718,32,146,8,19
Denmark,3/25/20,1862,34,144,2,20
Denmark,3/26/20,2023,41,161,7,21
Denmark,3/27/20,2200,52,177,11,22
Denmark,3/28/20,2366,65,166,13,23
Denmark,3/29/20,2564,72,198,7,24
Denmark,3/30/20,2755,77,191,5,25
Denmark,3/31/20,3039,90,284,13,26
Denmark,4/1/20,3290,104,251,14,27
Denmark,4/2/20,3573,123,283,19,28
Denmark,4/3/20,3946,139,373,16,29
Denmark,4/4/20,4269,161,323,22,30
Denmark,4/5/20,4561,179,292,18,31
Denmark,4/6/20,4875,187,314,8,32
Denmark,4/7/20,5266,203,391,16,33
Denmark,4/8/20,5597,218,331,15,34
Denmark,4/9/20,5830,237,233,19,35
Denmark,4/10/20,6014,247,184,10,36
Denmark,4/11/20,6191,260,177,13,37
Denmark,4/12/20,6369,273,178,13,38
Denmark,4/13/20,6513,285,144,12,39
Denmark,4/14/20,6706,299,193,14,40
Denmark,4/15/20,6876,309,170,10,41
Denmark,4/16/20,7074,321,198,12,42
Denmark,4/17/20,7268,336,194,15,43
Denmark,4/18/20,7437,346,169,10,44
Denmark,4/19/20,7580,355,143,9,45
Denmark,4/20/20,7711,364,131,9,46
Denmark,4/21/20,7891,370,180,6,47
Denmark,4/22/20,8108,384,217,14,48
Denmark,4/23/20,8271,394,163,10,49
Denmark,4/24/20,8408,403,137,9,50
Denmark,4/25/20,8643,418,235,15,51
Denmark,4/26/20,8773,422,130,4,52
Denmark,4/27/20,8896,427,123,5,53
Denmark,4/28/20,9049,434,153,7,54
Denmark,4/29/20,9206,443,157,9,55
Denmark,4/30/20,9356,452,150,9,56
Denmark,5/1/20,9509,460,153,8,57
Denmark,5/2/20,9605,475,96,15,58
Denmark,5/3/20,9721,484,116,9,59
Denmark,5/4/20,9868,493,147,9,60
Denmark,5/5/20,10019,503,151,10,61
Denmark,5/6/20,10136,506,117,3,62
Denmark,5/7/20,10281,514,145,8,63
Denmark,5/8/20,10416,522,135,8,64
Denmark,5/9/20,10517,526,101,4,65
Denmark,5/10/20,10627,529,110,3,66
Denmark,5/11/20,10711,533,84,4,67
Denmark,5/12/20,10789,527,78,-6,68
Denmark,5/13/20,10865,533,76,6,69
Denmark,5/14/20,10911,537,46,4,70
Denmark,5/15/20,10989,537,78,0,71
Denmark,5/16/20,11056,543,67,6,72
Denmark,5/17/20,11125,547,69,4,73
Denmark,5/18/20,11166,548,41,1,74
Denmark,5/19/20,11242,551,76,3,75
Denmark,5/20/20,11315,554,73,3,76
Denmark,5/21/20,11380,561,65,7,77
Denmark,5/22/20,11428,561,48,0,78
Denmark,5/23/20,11487,561,59,0,79
Denmark,5/24/20,11559,562,72,1,80
Denmark,5/25/20,11586,563,27,1,81
Denmark,5/26/20,11627,563,41,0,82
Denmark,5/27/20,11680,565,53,2,83
Denmark,5/28/20,11712,568,32,3,84
Denmark,5/29/20,11793,568,81,0,85
Denmark,5/30/20,11833,571,40,3,86
Denmark,5/31/20,11869,574,36,3,87
