country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Finland,3/8/20,23,0,8,0,1
Finland,3/9/20,30,0,7,0,2
Finland,3/10/20,40,0,10,0,3
Finland,3/11/20,59,0,19,0,4
Finland,3/12/20,59,0,0,0,5
Finland,3/13/20,155,0,96,0,6
Finland,3/14/20,225,0,70,0,7
Finland,3/15/20,244,0,19,0,8
Finland,3/16/20,277,0,33,0,9
Finland,3/17/20,321,0,44,0,10
Finland,3/18/20,336,0,15,0,11
Finland,3/19/20,400,0,64,0,12
Finland,3/20/20,450,0,50,0,13
Finland,3/21/20,523,1,73,1,14
Finland,3/22/20,626,1,103,0,15
Finland,3/23/20,700,1,74,0,16
Finland,3/24/20,792,1,92,0,17
Finland,3/25/20,880,3,88,2,18
Finland,3/26/20,958,5,78,2,19
Finland,3/27/20,1041,7,83,2,20
Finland,3/28/20,1167,9,126,2,21
Finland,3/29/20,1240,11,73,2,22
Finland,3/30/20,1352,13,112,2,23
Finland,3/31/20,1418,17,66,4,24
Finland,4/1/20,1446,17,28,0,25
Finland,4/2/20,1518,19,72,2,26
Finland,4/3/20,1615,20,97,1,27
Finland,4/4/20,1882,25,267,5,28
Finland,4/5/20,1927,28,45,3,29
Finland,4/6/20,2176,27,249,-1,30
Finland,4/7/20,2308,34,132,7,31
Finland,4/8/20,2487,40,179,6,32
Finland,4/9/20,2605,42,118,2,33
Finland,4/10/20,2769,48,164,6,34
Finland,4/11/20,2905,49,136,1,35
Finland,4/12/20,2974,56,69,7,36
Finland,4/13/20,3064,59,90,3,37
Finland,4/14/20,3161,64,97,5,38
Finland,4/15/20,3237,72,76,8,39
Finland,4/16/20,3369,75,132,3,40
Finland,4/17/20,3489,82,120,7,41
Finland,4/18/20,3681,90,192,8,42
Finland,4/19/20,3783,94,102,4,43
Finland,4/20/20,3868,98,85,4,44
Finland,4/21/20,4014,141,146,43,45
Finland,4/22/20,4129,149,115,8,46
Finland,4/23/20,4284,172,155,23,47
Finland,4/24/20,4395,177,111,5,48
Finland,4/25/20,4475,186,80,9,49
Finland,4/26/20,4576,190,101,4,50
Finland,4/27/20,4695,193,119,3,51
Finland,4/28/20,4740,199,45,6,52
Finland,4/29/20,4906,206,166,7,53
Finland,4/30/20,4995,211,89,5,54
Finland,5/1/20,5051,218,56,7,55
Finland,5/2/20,5176,220,125,2,56
Finland,5/3/20,5254,230,78,10,57
Finland,5/4/20,5327,240,73,10,58
Finland,5/5/20,5412,246,85,6,59
Finland,5/6/20,5573,252,161,6,60
Finland,5/7/20,5673,255,100,3,61
Finland,5/8/20,5738,260,65,5,62
Finland,5/9/20,5880,265,142,5,63
Finland,5/10/20,5962,267,82,2,64
Finland,5/11/20,5984,271,22,4,65
Finland,5/12/20,6003,275,19,4,66
Finland,5/13/20,6054,284,51,9,67
Finland,5/14/20,6145,287,91,3,68
Finland,5/15/20,6228,293,83,6,69
Finland,5/16/20,6286,297,58,4,70
Finland,5/17/20,6347,298,61,1,71
Finland,5/18/20,6380,300,33,2,72
Finland,5/19/20,6399,301,19,1,73
Finland,5/20/20,6443,304,44,3,74
Finland,5/21/20,6493,306,50,2,75
Finland,5/22/20,6537,306,44,0,76
Finland,5/23/20,6568,306,31,0,77
Finland,5/24/20,6579,307,11,1,78
Finland,5/25/20,6599,308,20,1,79
Finland,5/26/20,6628,312,29,4,80
Finland,5/27/20,6692,313,64,1,81
Finland,5/28/20,6743,313,51,0,82
Finland,5/29/20,6776,314,33,1,83
Finland,5/30/20,6826,316,50,2,84
Finland,5/31/20,6859,320,33,4,85
Finland,6/1/20,6885,318,26,-2,86
Finland,6/2/20,6887,320,2,2,87
Finland,6/3/20,6911,321,24,1,88
Finland,6/4/20,6911,322,0,1,89
Finland,6/5/20,6941,322,30,0,90
Finland,6/6/20,6964,322,23,0,91
Finland,6/7/20,6981,323,17,1,92
Finland,6/8/20,7001,323,20,0,93
Finland,6/9/20,7025,324,24,1,94
Finland,6/10/20,7040,324,15,0,95
Finland,6/11/20,7064,325,24,1,96
Finland,6/12/20,7073,325,9,0,97
Finland,6/13/20,7087,325,14,0,98
Finland,6/14/20,7104,326,17,1,99
Finland,6/15/20,7108,326,4,0,100
Finland,6/16/20,7112,326,4,0,101
Finland,6/17/20,7117,326,5,0,102
Finland,6/18/20,7119,326,2,0,103
Finland,6/19/20,7133,326,14,0,104
Finland,6/20/20,7142,326,9,0,105
Finland,6/21/20,7143,326,1,0,106
Finland,6/22/20,7144,327,1,1,107
Finland,6/23/20,7155,327,11,0,108
Finland,6/24/20,7167,327,12,0,109
Finland,6/25/20,7172,327,5,0,110
Finland,6/26/20,7191,328,19,1,111
Finland,6/27/20,7198,328,7,0,112
Finland,6/28/20,7198,328,0,0,113
Finland,6/29/20,7209,328,11,0,114
Finland,6/30/20,7214,328,5,0,115
Finland,7/1/20,7236,328,22,0,116
Finland,7/2/20,7241,328,5,0,117
Finland,7/3/20,7242,329,1,1,118
Finland,7/4/20,7248,329,6,0,119
Finland,7/5/20,7253,329,5,0,120
Finland,7/6/20,7257,329,4,0,121
Finland,7/7/20,7262,329,5,0,122
Finland,7/8/20,7265,329,3,0,123
Finland,7/9/20,7273,329,8,0,124
Finland,7/10/20,7279,329,6,0,125
Finland,7/11/20,7291,329,12,0,126
Finland,7/12/20,7294,329,3,0,127
Finland,7/13/20,7295,329,1,0,128
Finland,7/14/20,7301,329,6,0,129
Finland,7/15/20,7296,328,-5,-1,130
Finland,7/16/20,7293,328,-3,0,131
Finland,7/17/20,7301,328,8,0,132
Finland,7/18/20,7318,328,17,0,133
Finland,7/19/20,7335,328,17,0,134
Finland,7/20/20,7340,328,5,0,135
Finland,7/21/20,7351,328,11,0,136
Finland,7/22/20,7362,328,11,0,137
Finland,7/23/20,7372,328,10,0,138
Finland,7/24/20,7380,329,8,1,139
Finland,7/25/20,7388,329,8,0,140
Finland,7/26/20,7393,329,5,0,141
Finland,7/27/20,7398,329,5,0,142
Finland,7/28/20,7404,329,6,0,143
Finland,7/29/20,7414,329,10,0,144
Finland,7/30/20,7423,329,9,0,145
Finland,7/31/20,7432,329,9,0,146
Finland,8/1/20,7443,329,11,0,147
Finland,8/2/20,7453,329,10,0,148
Finland,8/3/20,7466,329,13,0,149
Finland,8/4/20,7483,331,17,2,150
Finland,8/5/20,7512,331,29,0,151
Finland,8/6/20,7532,331,20,0,152
Finland,8/7/20,7554,331,22,0,153
Finland,8/8/20,7568,331,14,0,154
Finland,8/9/20,7584,331,16,0,155
Finland,8/10/20,7601,333,17,2,156
Finland,8/11/20,7623,333,22,0,157
Finland,8/12/20,7642,333,19,0,158
Finland,8/13/20,7683,333,41,0,159
Finland,8/14/20,7700,333,17,0,160
Finland,8/15/20,7720,333,20,0,161
Finland,8/16/20,7731,333,11,0,162
Finland,8/17/20,7752,334,21,1,163
Finland,8/18/20,7776,334,24,0,164
Finland,8/19/20,7805,334,29,0,165
Finland,8/20/20,7842,334,37,0,166
Finland,8/21/20,7871,334,29,0,167
Finland,8/22/20,7906,334,35,0,168
Finland,8/23/20,7920,334,14,0,169
Finland,8/24/20,7938,335,18,1,170
Finland,8/25/20,7981,335,43,0,171
Finland,8/26/20,8002,335,21,0,172
Finland,8/27/20,8019,335,17,0,173
Finland,8/28/20,8042,335,23,0,174
Finland,8/29/20,8049,335,7,0,175
Finland,8/30/20,8077,335,28,0,176
Finland,8/31/20,8086,336,9,1,177
Finland,9/1/20,8142,336,56,0,178
Finland,9/2/20,8161,336,19,0,179
Finland,9/3/20,8200,336,39,0,180
Finland,9/4/20,8225,336,25,0,181
Finland,9/5/20,8261,336,36,0,182
Finland,9/6/20,8291,336,30,0,183
Finland,9/7/20,8327,336,36,0,184
Finland,9/8/20,8337,336,10,0,185
Finland,9/9/20,8430,337,93,1,186
Finland,9/10/20,8469,337,39,0,187
Finland,9/11/20,8512,337,43,0,188
Finland,9/12/20,8557,337,45,0,189
Finland,9/13/20,8580,337,23,0,190
Finland,9/14/20,8627,337,47,0,191
Finland,9/15/20,8725,339,98,2,192
Finland,9/16/20,8750,339,25,0,193
Finland,9/17/20,8799,339,49,0,194
Finland,9/18/20,8858,339,59,0,195
Finland,9/19/20,8922,339,64,0,196
Finland,9/20/20,8980,339,58,0,197
