country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Paraguay,3/22/20,22,1,4,0,1
Paraguay,3/23/20,22,1,0,0,2
Paraguay,3/24/20,27,2,5,1,3
Paraguay,3/25/20,37,3,10,1,4
Paraguay,3/26/20,41,3,4,0,5
Paraguay,3/27/20,52,3,11,0,6
Paraguay,3/28/20,56,3,4,0,7
Paraguay,3/29/20,59,3,3,0,8
Paraguay,3/30/20,64,3,5,0,9
Paraguay,3/31/20,65,3,1,0,10
Paraguay,4/1/20,69,3,4,0,11
Paraguay,4/2/20,77,3,8,0,12
Paraguay,4/3/20,92,3,15,0,13
Paraguay,4/4/20,96,3,4,0,14
Paraguay,4/5/20,104,3,8,0,15
Paraguay,4/6/20,113,5,9,2,16
Paraguay,4/7/20,115,5,2,0,17
Paraguay,4/8/20,119,5,4,0,18
Paraguay,4/9/20,124,5,5,0,19
Paraguay,4/10/20,129,6,5,1,20
Paraguay,4/11/20,133,6,4,0,21
Paraguay,4/12/20,134,6,1,0,22
Paraguay,4/13/20,147,6,13,0,23
Paraguay,4/14/20,159,7,12,1,24
Paraguay,4/15/20,161,8,2,1,25
Paraguay,4/16/20,174,8,13,0,26
Paraguay,4/17/20,199,8,25,0,27
Paraguay,4/18/20,202,8,3,0,28
Paraguay,4/19/20,206,8,4,0,29
Paraguay,4/20/20,208,8,2,0,30
Paraguay,4/21/20,208,8,0,0,31
Paraguay,4/22/20,213,9,5,1,32
Paraguay,4/23/20,213,9,0,0,33
Paraguay,4/24/20,223,9,10,0,34
Paraguay,4/25/20,228,9,5,0,35
Paraguay,4/26/20,228,9,0,0,36
Paraguay,4/27/20,228,9,0,0,37
Paraguay,4/28/20,239,9,11,0,38
Paraguay,4/29/20,239,9,0,0,39
Paraguay,4/30/20,266,10,27,1,40
Paraguay,5/1/20,333,10,67,0,41
Paraguay,5/2/20,370,10,37,0,42
Paraguay,5/3/20,396,10,26,0,43
Paraguay,5/4/20,415,10,19,0,44
Paraguay,5/5/20,431,10,16,0,45
Paraguay,5/6/20,440,10,9,0,46
Paraguay,5/7/20,462,10,22,0,47
Paraguay,5/8/20,563,10,101,0,48
Paraguay,5/9/20,689,10,126,0,49
Paraguay,5/10/20,713,10,24,0,50
Paraguay,5/11/20,724,10,11,0,51
Paraguay,5/12/20,737,10,13,0,52
Paraguay,5/13/20,740,11,3,1,53
Paraguay,5/14/20,754,11,14,0,54
Paraguay,5/15/20,759,11,5,0,55
Paraguay,5/16/20,778,11,19,0,56
Paraguay,5/17/20,786,11,8,0,57
Paraguay,5/18/20,788,11,2,0,58
Paraguay,5/19/20,829,11,41,0,59
Paraguay,5/20/20,833,11,4,0,60
Paraguay,5/21/20,836,11,3,0,61
Paraguay,5/22/20,838,11,2,0,62
Paraguay,5/23/20,850,11,12,0,63
Paraguay,5/24/20,862,11,12,0,64
Paraguay,5/25/20,865,11,3,0,65
Paraguay,5/26/20,877,11,12,0,66
Paraguay,5/27/20,884,11,7,0,67
Paraguay,5/28/20,900,11,16,0,68
Paraguay,5/29/20,917,11,17,0,69
Paraguay,5/30/20,964,11,47,0,70
Paraguay,5/31/20,986,11,22,0,71
Paraguay,6/1/20,995,11,9,0,72
