country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Ethiopia,3/29/20,21,0,5,0,1
Ethiopia,3/30/20,23,0,2,0,2
Ethiopia,3/31/20,26,0,3,0,3
Ethiopia,4/1/20,29,0,3,0,4
Ethiopia,4/2/20,29,0,0,0,5
Ethiopia,4/3/20,35,0,6,0,6
Ethiopia,4/4/20,38,0,3,0,7
Ethiopia,4/5/20,43,2,5,2,8
Ethiopia,4/6/20,44,2,1,0,9
Ethiopia,4/7/20,52,2,8,0,10
Ethiopia,4/8/20,55,2,3,0,11
Ethiopia,4/9/20,56,2,1,0,12
Ethiopia,4/10/20,65,3,9,1,13
Ethiopia,4/11/20,69,3,4,0,14
Ethiopia,4/12/20,71,3,2,0,15
Ethiopia,4/13/20,74,3,3,0,16
Ethiopia,4/14/20,82,3,8,0,17
Ethiopia,4/15/20,85,3,3,0,18
Ethiopia,4/16/20,92,3,7,0,19
Ethiopia,4/17/20,96,3,4,0,20
Ethiopia,4/18/20,105,3,9,0,21
Ethiopia,4/19/20,108,3,3,0,22
Ethiopia,4/20/20,111,3,3,0,23
Ethiopia,4/21/20,114,3,3,0,24
Ethiopia,4/22/20,116,3,2,0,25
Ethiopia,4/23/20,116,3,0,0,26
Ethiopia,4/24/20,117,3,1,0,27
Ethiopia,4/25/20,122,3,5,0,28
Ethiopia,4/26/20,123,3,1,0,29
Ethiopia,4/27/20,124,3,1,0,30
Ethiopia,4/28/20,126,3,2,0,31
Ethiopia,4/29/20,130,3,4,0,32
Ethiopia,4/30/20,131,3,1,0,33
Ethiopia,5/1/20,133,3,2,0,34
Ethiopia,5/2/20,133,3,0,0,35
Ethiopia,5/3/20,135,3,2,0,36
Ethiopia,5/4/20,140,3,5,0,37
Ethiopia,5/5/20,145,4,5,1,38
Ethiopia,5/6/20,162,4,17,0,39
Ethiopia,5/7/20,191,4,29,0,40
Ethiopia,5/8/20,194,4,3,0,41
Ethiopia,5/9/20,210,5,16,1,42
Ethiopia,5/10/20,239,5,29,0,43
Ethiopia,5/11/20,250,5,11,0,44
Ethiopia,5/12/20,261,5,11,0,45
Ethiopia,5/13/20,263,5,2,0,46
Ethiopia,5/14/20,272,5,9,0,47
Ethiopia,5/15/20,287,5,15,0,48
Ethiopia,5/16/20,306,5,19,0,49
Ethiopia,5/17/20,317,5,11,0,50
Ethiopia,5/18/20,352,5,35,0,51
