country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Yemen,5/5/20,22,4,10,2,1
Yemen,5/6/20,25,5,3,1,2
Yemen,5/7/20,25,5,0,0,3
Yemen,5/8/20,34,7,9,2,4
Yemen,5/9/20,34,7,0,0,5
Yemen,5/10/20,51,8,17,1,6
Yemen,5/11/20,56,9,5,1,7
Yemen,5/12/20,65,10,9,1,8
Yemen,5/13/20,70,12,5,2,9
Yemen,5/14/20,85,12,15,0,10
Yemen,5/15/20,106,15,21,3,11
Yemen,5/16/20,122,18,16,3,12
Yemen,5/17/20,128,20,6,2,13
Yemen,5/18/20,130,20,2,0,14
Yemen,5/19/20,167,28,37,8,15
Yemen,5/20/20,184,30,17,2,16
Yemen,5/21/20,197,33,13,3,17
Yemen,5/22/20,209,33,12,0,18
Yemen,5/23/20,212,39,3,6,19
Yemen,5/24/20,222,42,10,3,20
Yemen,5/25/20,233,44,11,2,21
Yemen,5/26/20,249,49,16,5,22
Yemen,5/27/20,256,53,7,4,23
Yemen,5/28/20,278,57,22,4,24
Yemen,5/29/20,283,65,5,8,25
Yemen,5/30/20,310,77,27,12,26
Yemen,5/31/20,323,80,13,3,27
Yemen,6/1/20,354,84,31,4,28
Yemen,6/2/20,399,87,45,3,29
Yemen,6/3/20,419,95,20,8,30
Yemen,6/4/20,453,103,34,8,31
Yemen,6/5/20,469,111,16,8,32
Yemen,6/6/20,482,111,13,0,33
Yemen,6/7/20,484,112,2,1,34
Yemen,6/8/20,496,112,12,0,35
Yemen,6/9/20,524,127,28,15,36
Yemen,6/10/20,560,129,36,2,37
Yemen,6/11/20,591,136,31,7,38
Yemen,6/12/20,632,139,41,3,39
Yemen,6/13/20,705,160,73,21,40
Yemen,6/14/20,728,164,23,4,41
Yemen,6/15/20,844,208,116,44,42
Yemen,6/16/20,885,214,41,6,43
Yemen,6/17/20,902,244,17,30,44
Yemen,6/18/20,909,248,7,4,45
Yemen,6/19/20,919,251,10,3,46
Yemen,6/20/20,922,254,3,3,47
Yemen,6/21/20,941,256,19,2,48
Yemen,6/22/20,967,257,26,1,49
Yemen,6/23/20,992,261,25,4,50
Yemen,6/24/20,1015,274,23,13,51
Yemen,6/25/20,1076,288,61,14,52
Yemen,6/26/20,1089,293,13,5,53
Yemen,6/27/20,1103,296,14,3,54
Yemen,6/28/20,1118,302,15,6,55
Yemen,6/29/20,1128,304,10,2,56
Yemen,6/30/20,1158,312,30,8,57
Yemen,7/1/20,1190,318,32,6,58
Yemen,7/2/20,1221,325,31,7,59
Yemen,7/3/20,1240,335,19,10,60
Yemen,7/4/20,1248,337,8,2,61
Yemen,7/5/20,1265,338,17,1,62
Yemen,7/6/20,1284,345,19,7,63
Yemen,7/7/20,1297,348,13,3,64
Yemen,7/8/20,1318,351,21,3,65
Yemen,7/9/20,1356,361,38,10,66
Yemen,7/10/20,1380,364,24,3,67
Yemen,7/11/20,1389,365,9,1,68
Yemen,7/12/20,1465,417,76,52,69
Yemen,7/13/20,1498,424,33,7,70
Yemen,7/14/20,1516,429,18,5,71
Yemen,7/15/20,1526,433,10,4,72
Yemen,7/16/20,1552,438,26,5,73
Yemen,7/17/20,1576,440,24,2,74
Yemen,7/18/20,1581,443,5,3,75
Yemen,7/19/20,1606,445,25,2,76
Yemen,7/20/20,1619,447,13,2,77
Yemen,7/21/20,1629,456,10,9,78
Yemen,7/22/20,1640,458,11,2,79
Yemen,7/23/20,1654,461,14,3,80
Yemen,7/24/20,1674,469,20,8,81
Yemen,7/25/20,1674,474,0,5,82
Yemen,7/26/20,1681,479,7,5,83
Yemen,7/27/20,1691,483,10,4,84
Yemen,7/28/20,1703,484,12,1,85
Yemen,7/29/20,1711,485,8,1,86
Yemen,7/30/20,1726,487,15,2,87
Yemen,7/31/20,1728,493,2,6,88
Yemen,8/1/20,1730,494,2,1,89
Yemen,8/2/20,1734,497,4,3,90
Yemen,8/3/20,1734,499,0,2,91
Yemen,8/4/20,1760,506,26,7,92
Yemen,8/5/20,1763,508,3,2,93
Yemen,8/6/20,1768,508,5,0,94
Yemen,8/7/20,1796,512,28,4,95
Yemen,8/8/20,1797,512,1,0,96
