country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Somalia,4/10/20,21,1,9,0,1
Somalia,4/11/20,21,1,0,0,2
Somalia,4/12/20,25,1,4,0,3
Somalia,4/13/20,60,2,35,1,4
Somalia,4/14/20,60,2,0,0,5
Somalia,4/15/20,80,5,20,3,6
Somalia,4/16/20,80,5,0,0,7
Somalia,4/17/20,116,6,36,1,8
Somalia,4/18/20,135,7,19,1,9
Somalia,4/19/20,164,7,29,0,10
Somalia,4/20/20,237,8,73,1,11
Somalia,4/21/20,286,8,49,0,12
Somalia,4/22/20,286,8,0,0,13
Somalia,4/23/20,328,16,42,8,14
Somalia,4/24/20,328,16,0,0,15
Somalia,4/25/20,390,18,62,2,16
Somalia,4/26/20,436,23,46,5,17
Somalia,4/27/20,480,26,44,3,18
Somalia,4/28/20,528,28,48,2,19
Somalia,4/29/20,582,28,54,0,20
Somalia,4/30/20,601,28,19,0,21
Somalia,5/1/20,601,28,0,0,22
Somalia,5/2/20,671,31,70,3,23
Somalia,5/3/20,722,32,51,1,24
Somalia,5/4/20,756,35,34,3,25
Somalia,5/5/20,835,38,79,3,26
Somalia,5/6/20,873,39,38,1,27
Somalia,5/7/20,928,44,55,5,28
Somalia,5/8/20,928,44,0,0,29
Somalia,5/9/20,997,48,69,4,30
Somalia,5/10/20,1054,51,57,3,31
