country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Bahamas,4/1/20,21,1,7,1,1
Bahamas,4/2/20,24,1,3,0,2
Bahamas,4/3/20,24,1,0,0,3
Bahamas,4/4/20,28,4,4,3,4
Bahamas,4/5/20,28,4,0,0,5
Bahamas,4/6/20,29,5,1,1,6
Bahamas,4/7/20,33,6,4,1,7
Bahamas,4/8/20,40,7,7,1,8
Bahamas,4/9/20,41,8,1,1,9
Bahamas,4/10/20,42,8,1,0,10
Bahamas,4/11/20,46,8,4,0,11
Bahamas,4/12/20,46,8,0,0,12
Bahamas,4/13/20,47,8,1,0,13
Bahamas,4/14/20,49,8,2,0,14
Bahamas,4/15/20,49,8,0,0,15
Bahamas,4/16/20,53,8,4,0,16
Bahamas,4/17/20,54,9,1,1,17
Bahamas,4/18/20,55,9,1,0,18
Bahamas,4/19/20,55,9,0,0,19
Bahamas,4/20/20,60,9,5,0,20
Bahamas,4/21/20,65,9,5,0,21
Bahamas,4/22/20,65,9,0,0,22
Bahamas,4/23/20,72,11,7,2,23
Bahamas,4/24/20,73,11,1,0,24
Bahamas,4/25/20,78,11,5,0,25
Bahamas,4/26/20,80,11,2,0,26
Bahamas,4/27/20,80,11,0,0,27
Bahamas,4/28/20,80,11,0,0,28
Bahamas,4/29/20,80,11,0,0,29
Bahamas,4/30/20,81,11,1,0,30
Bahamas,5/1/20,81,11,0,0,31
Bahamas,5/2/20,83,11,2,0,32
Bahamas,5/3/20,83,11,0,0,33
Bahamas,5/4/20,83,11,0,0,34
Bahamas,5/5/20,89,11,6,0,35
Bahamas,5/6/20,92,11,3,0,36
Bahamas,5/7/20,92,11,0,0,37
Bahamas,5/8/20,92,11,0,0,38
Bahamas,5/9/20,92,11,0,0,39
Bahamas,5/10/20,92,11,0,0,40
