country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Togo,3/24/20,20,0,2,0,1
Togo,3/25/20,23,0,3,0,2
Togo,3/26/20,23,0,0,0,3
Togo,3/27/20,25,1,2,1,4
Togo,3/28/20,25,1,0,0,5
Togo,3/29/20,25,1,0,0,6
Togo,3/30/20,30,1,5,0,7
Togo,3/31/20,34,1,4,0,8
Togo,4/1/20,36,2,2,1,9
Togo,4/2/20,39,2,3,0,10
Togo,4/3/20,40,3,1,1,11
Togo,4/4/20,41,3,1,0,12
Togo,4/5/20,44,3,3,0,13
Togo,4/6/20,58,3,14,0,14
Togo,4/7/20,65,3,7,0,15
Togo,4/8/20,70,3,5,0,16
Togo,4/9/20,73,3,3,0,17
Togo,4/10/20,76,3,3,0,18
Togo,4/11/20,76,3,0,0,19
Togo,4/12/20,76,3,0,0,20
Togo,4/13/20,77,3,1,0,21
Togo,4/14/20,77,3,0,0,22
Togo,4/15/20,81,3,4,0,23
Togo,4/16/20,81,5,0,2,24
Togo,4/17/20,83,5,2,0,25
Togo,4/18/20,84,5,1,0,26
Togo,4/19/20,84,5,0,0,27
Togo,4/20/20,84,6,0,1,28
Togo,4/21/20,86,6,2,0,29
Togo,4/22/20,88,6,2,0,30
Togo,4/23/20,88,6,0,0,31
Togo,4/24/20,90,6,2,0,32
Togo,4/25/20,96,6,6,0,33
Togo,4/26/20,98,6,2,0,34
Togo,4/27/20,98,6,0,0,35
Togo,4/28/20,99,6,1,0,36
Togo,4/29/20,109,7,10,1,37
Togo,4/30/20,116,9,7,2,38
Togo,5/1/20,123,9,7,0,39
Togo,5/2/20,123,9,0,0,40
Togo,5/3/20,124,9,1,0,41
Togo,5/4/20,126,9,2,0,42
Togo,5/5/20,128,9,2,0,43
Togo,5/6/20,128,9,0,0,44
Togo,5/7/20,135,9,7,0,45
Togo,5/8/20,145,10,10,1,46
Togo,5/9/20,153,10,8,0,47
Togo,5/10/20,174,11,21,1,48
Togo,5/11/20,181,11,7,0,49
Togo,5/12/20,199,11,18,0,50
Togo,5/13/20,219,11,20,0,51
Togo,5/14/20,238,11,19,0,52
Togo,5/15/20,263,11,25,0,53
Togo,5/16/20,298,11,35,0,54
Togo,5/17/20,301,11,3,0,55
Togo,5/18/20,330,12,29,1,56
Togo,5/19/20,338,12,8,0,57
Togo,5/20/20,340,12,2,0,58
Togo,5/21/20,354,12,14,0,59
Togo,5/22/20,363,12,9,0,60
Togo,5/23/20,373,12,10,0,61
Togo,5/24/20,381,12,8,0,62
Togo,5/25/20,386,13,5,1,63
Togo,5/26/20,391,13,5,0,64
Togo,5/27/20,395,13,4,0,65
Togo,5/28/20,422,13,27,0,66
Togo,5/29/20,428,13,6,0,67
Togo,5/30/20,433,13,5,0,68
Togo,5/31/20,442,13,9,0,69
Togo,6/1/20,443,13,1,0,70
Togo,6/2/20,445,13,2,0,71
Togo,6/3/20,452,13,7,0,72
Togo,6/4/20,465,13,13,0,73
Togo,6/5/20,485,13,20,0,74
Togo,6/6/20,487,13,2,0,75
Togo,6/7/20,495,13,8,0,76
Togo,6/8/20,497,13,2,0,77
Togo,6/9/20,501,13,4,0,78
Togo,6/10/20,522,13,21,0,79
Togo,6/11/20,524,13,2,0,80
Togo,6/12/20,525,13,1,0,81
Togo,6/13/20,530,13,5,0,82
Togo,6/14/20,530,13,0,0,83
Togo,6/15/20,531,13,1,0,84
Togo,6/16/20,537,13,6,0,85
Togo,6/17/20,544,13,7,0,86
Togo,6/18/20,547,13,3,0,87
Togo,6/19/20,555,13,8,0,88
Togo,6/20/20,561,13,6,0,89
Togo,6/21/20,569,13,8,0,90
Togo,6/22/20,569,13,0,0,91
Togo,6/23/20,576,13,7,0,92
Togo,6/24/20,583,14,7,1,93
Togo,6/25/20,588,14,5,0,94
Togo,6/26/20,591,14,3,0,95
Togo,6/27/20,615,14,24,0,96
