country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Netherlands,3/3/20,24,0,6,0,1
Netherlands,3/4/20,38,0,14,0,2
Netherlands,3/5/20,82,0,44,0,3
Netherlands,3/6/20,128,1,46,1,4
Netherlands,3/7/20,188,1,60,0,5
Netherlands,3/8/20,265,3,77,2,6
Netherlands,3/9/20,321,3,56,0,7
Netherlands,3/10/20,382,4,61,1,8
Netherlands,3/11/20,503,5,121,1,9
Netherlands,3/12/20,503,5,0,0,10
Netherlands,3/13/20,806,10,303,5,11
Netherlands,3/14/20,962,12,156,2,12
Netherlands,3/15/20,1138,20,176,8,13
Netherlands,3/16/20,1416,24,278,4,14
Netherlands,3/17/20,1711,43,295,19,15
Netherlands,3/18/20,2058,58,347,15,16
Netherlands,3/19/20,2467,77,409,19,17
Netherlands,3/20/20,3003,107,536,30,18
Netherlands,3/21/20,3640,137,637,30,19
Netherlands,3/22/20,4217,180,577,43,20
Netherlands,3/23/20,4764,214,547,34,21
Netherlands,3/24/20,5580,277,816,63,22
Netherlands,3/25/20,6438,357,858,80,23
Netherlands,3/26/20,7468,435,1030,78,24
Netherlands,3/27/20,8647,547,1179,112,25
Netherlands,3/28/20,9819,640,1172,93,26
Netherlands,3/29/20,10930,772,1111,132,27
Netherlands,3/30/20,11817,865,887,93,28
Netherlands,3/31/20,12667,1040,850,175,29
Netherlands,4/1/20,13696,1175,1029,135,30
Netherlands,4/2/20,14788,1341,1092,166,31
Netherlands,4/3/20,15821,1490,1033,149,32
Netherlands,4/4/20,16727,1656,906,166,33
Netherlands,4/5/20,17953,1771,1226,115,34
Netherlands,4/6/20,18926,1874,973,103,35
Netherlands,4/7/20,19709,2108,783,234,36
Netherlands,4/8/20,20682,2255,973,147,37
Netherlands,4/9/20,21903,2403,1221,148,38
Netherlands,4/10/20,23249,2520,1346,117,39
Netherlands,4/11/20,24571,2653,1322,133,40
Netherlands,4/12/20,25746,2747,1175,94,41
Netherlands,4/13/20,26710,2833,964,86,42
Netherlands,4/14/20,27580,2955,870,122,43
Netherlands,4/15/20,28316,3145,736,190,44
Netherlands,4/16/20,29383,3327,1067,182,45
Netherlands,4/17/20,30619,3471,1236,144,46
Netherlands,4/18/20,31766,3613,1147,142,47
Netherlands,4/19/20,32838,3697,1072,84,48
Netherlands,4/20/20,33588,3764,750,67,49
Netherlands,4/21/20,34317,3929,729,165,50
Netherlands,4/22/20,35032,4068,715,139,51
Netherlands,4/23/20,35921,4192,889,124,52
Netherlands,4/24/20,36729,4304,808,112,53
Netherlands,4/25/20,37384,4424,655,120,54
Netherlands,4/26/20,38040,4491,656,67,55
