country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Switzerland,3/1/20,27,0,9,0,1
Switzerland,3/2/20,42,0,15,0,2
Switzerland,3/3/20,56,0,14,0,3
Switzerland,3/4/20,90,0,34,0,4
Switzerland,3/5/20,114,1,24,1,5
Switzerland,3/6/20,214,1,100,0,6
Switzerland,3/7/20,268,1,54,0,7
Switzerland,3/8/20,337,2,69,1,8
Switzerland,3/9/20,374,2,37,0,9
Switzerland,3/10/20,491,3,117,1,10
Switzerland,3/11/20,652,4,161,1,11
Switzerland,3/12/20,652,4,0,0,12
Switzerland,3/13/20,1139,11,487,7,13
Switzerland,3/14/20,1359,13,220,2,14
Switzerland,3/15/20,2200,14,841,1,15
Switzerland,3/16/20,2200,14,0,0,16
Switzerland,3/17/20,2700,27,500,13,17
Switzerland,3/18/20,3028,28,328,1,18
Switzerland,3/19/20,4075,41,1047,13,19
Switzerland,3/20/20,5294,54,1219,13,20
Switzerland,3/21/20,6575,75,1281,21,21
Switzerland,3/22/20,7474,98,899,23,22
Switzerland,3/23/20,8795,120,1321,22,23
Switzerland,3/24/20,9877,122,1082,2,24
Switzerland,3/25/20,10897,153,1020,31,25
Switzerland,3/26/20,11811,191,914,38,26
Switzerland,3/27/20,12928,231,1117,40,27
Switzerland,3/28/20,14076,264,1148,33,28
Switzerland,3/29/20,14829,300,753,36,29
Switzerland,3/30/20,15922,359,1093,59,30
Switzerland,3/31/20,16605,433,683,74,31
Switzerland,4/1/20,17768,488,1163,55,32
Switzerland,4/2/20,18827,536,1059,48,33
Switzerland,4/3/20,19606,591,779,55,34
Switzerland,4/4/20,20505,666,899,75,35
Switzerland,4/5/20,21100,715,595,49,36
Switzerland,4/6/20,21657,765,557,50,37
Switzerland,4/7/20,22253,821,596,56,38
Switzerland,4/8/20,23280,895,1027,74,39
Switzerland,4/9/20,24051,948,771,53,40
Switzerland,4/10/20,24551,1002,500,54,41
Switzerland,4/11/20,25107,1036,556,34,42
Switzerland,4/12/20,25415,1106,308,70,43
Switzerland,4/13/20,25688,1138,273,32,44
Switzerland,4/14/20,25936,1174,248,36,45
Switzerland,4/15/20,26336,1239,400,65,46
Switzerland,4/16/20,26732,1281,396,42,47
Switzerland,4/17/20,27078,1327,346,46,48
Switzerland,4/18/20,27404,1368,326,41,49
Switzerland,4/19/20,27740,1393,336,25,50
Switzerland,4/20/20,27944,1429,204,36,51
Switzerland,4/21/20,28063,1478,119,49,52
Switzerland,4/22/20,28268,1509,205,31,53
Switzerland,4/23/20,28496,1549,228,40,54
Switzerland,4/24/20,28677,1589,181,40,55
Switzerland,4/25/20,28894,1599,217,10,56
Switzerland,4/26/20,29061,1610,167,11,57
Switzerland,4/27/20,29164,1665,103,55,58
Switzerland,4/28/20,29264,1699,100,34,59
Switzerland,4/29/20,29407,1716,143,17,60
Switzerland,4/30/20,29586,1737,179,21,61
Switzerland,5/1/20,29705,1754,119,17,62
Switzerland,5/2/20,29817,1762,112,8,63
Switzerland,5/3/20,29905,1762,88,0,64
Switzerland,5/4/20,29981,1784,76,22,65
Switzerland,5/5/20,30009,1795,28,11,66
Switzerland,5/6/20,30060,1805,51,10,67
Switzerland,5/7/20,30126,1810,66,5,68
Switzerland,5/8/20,30207,1823,81,13,69
Switzerland,5/9/20,30251,1830,44,7,70
Switzerland,5/10/20,30305,1833,54,3,71
Switzerland,5/11/20,30344,1845,39,12,72
Switzerland,5/12/20,30380,1867,36,22,73
Switzerland,5/13/20,30413,1870,33,3,74
Switzerland,5/14/20,30463,1872,50,2,75
Switzerland,5/15/20,30514,1878,51,6,76
Switzerland,5/16/20,30572,1879,58,1,77
Switzerland,5/17/20,30587,1881,15,2,78
Switzerland,5/18/20,30597,1886,10,5,79
Switzerland,5/19/20,30618,1891,21,5,80
Switzerland,5/20/20,30658,1892,40,1,81
Switzerland,5/21/20,30694,1898,36,6,82
Switzerland,5/22/20,30707,1903,13,5,83
Switzerland,5/23/20,30725,1905,18,2,84
Switzerland,5/24/20,30736,1906,11,1,85
Switzerland,5/25/20,30746,1913,10,7,86
Switzerland,5/26/20,30761,1915,15,2,87
Switzerland,5/27/20,30776,1917,15,2,88
Switzerland,5/28/20,30796,1919,20,2,89
Switzerland,5/29/20,30828,1919,32,0,90
Switzerland,5/30/20,30845,1919,17,0,91
Switzerland,5/31/20,30862,1920,17,1,92
Switzerland,6/1/20,30871,1920,9,0,93
Switzerland,6/2/20,30874,1920,3,0,94
Switzerland,6/3/20,30893,1921,19,1,95
Switzerland,6/4/20,30913,1921,20,0,96
Switzerland,6/5/20,30936,1921,23,0,97
Switzerland,6/6/20,30956,1921,20,0,98
Switzerland,6/7/20,30965,1921,9,0,99
Switzerland,6/8/20,30972,1923,7,2,100
Switzerland,6/9/20,30988,1934,16,11,101
Switzerland,6/10/20,31011,1936,23,2,102
Switzerland,6/11/20,31044,1937,33,1,103
Switzerland,6/12/20,31063,1938,19,1,104
Switzerland,6/13/20,31094,1938,31,0,105
Switzerland,6/14/20,31117,1938,23,0,106
Switzerland,6/15/20,31131,1939,14,1,107
Switzerland,6/16/20,31154,1954,23,15,108
Switzerland,6/17/20,31187,1956,33,2,109
Switzerland,6/18/20,31200,1956,13,0,110
Switzerland,6/19/20,31235,1956,35,0,111
Switzerland,6/20/20,31243,1956,8,0,112
Switzerland,6/21/20,31292,1956,49,0,113
Switzerland,6/22/20,31310,1956,18,0,114
Switzerland,6/23/20,31332,1956,22,0,115
Switzerland,6/24/20,31376,1958,44,2,116
Switzerland,6/25/20,31428,1958,52,0,117
Switzerland,6/26/20,31486,1962,58,4,118
Switzerland,6/27/20,31555,1962,69,0,119
Switzerland,6/28/20,31617,1962,62,0,120
Switzerland,6/29/20,31652,1962,35,0,121
Switzerland,6/30/20,31714,1963,62,1,122
Switzerland,7/1/20,31851,1965,137,2,123
Switzerland,7/2/20,31967,1965,116,0,124
Switzerland,7/3/20,32101,1965,134,0,125
Switzerland,7/4/20,32198,1965,97,0,126
Switzerland,7/5/20,32268,1965,70,0,127
Switzerland,7/6/20,32315,1965,47,0,128
Switzerland,7/7/20,32369,1966,54,1,129
Switzerland,7/8/20,32498,1966,129,0,130
Switzerland,7/9/20,32586,1966,88,0,131
Switzerland,7/10/20,32690,1966,104,0,132
Switzerland,7/11/20,32817,1968,127,2,133
Switzerland,7/12/20,32883,1968,66,0,134
Switzerland,7/13/20,32946,1968,63,0,135
Switzerland,7/14/20,33016,1968,70,0,136
Switzerland,7/15/20,33148,1968,132,0,137
Switzerland,7/16/20,33290,1969,142,1,138
Switzerland,7/17/20,33382,1969,92,0,139
Switzerland,7/18/20,33492,1969,110,0,140
Switzerland,7/19/20,33591,1969,99,0,141
Switzerland,7/20/20,33634,1971,43,2,142
Switzerland,7/21/20,33742,1972,108,1,143
Switzerland,7/22/20,33883,1972,141,0,144
Switzerland,7/23/20,34000,1975,117,3,145
Switzerland,7/24/20,34154,1977,154,2,146
Switzerland,7/25/20,34302,1977,148,0,147
Switzerland,7/26/20,34412,1977,110,0,148
Switzerland,7/27/20,34477,1978,65,1,149
Switzerland,7/28/20,34609,1978,132,0,150
Switzerland,7/29/20,34802,1979,193,1,151
Switzerland,7/30/20,35022,1980,220,1,152
Switzerland,7/31/20,35232,1981,210,1,153
Switzerland,8/1/20,35412,1981,180,0,154
Switzerland,8/2/20,35550,1981,138,0,155
Switzerland,8/3/20,35616,1981,66,0,156
Switzerland,8/4/20,35746,1981,130,0,157
Switzerland,8/5/20,35927,1984,181,3,158
Switzerland,8/6/20,36108,1985,181,1,159
Switzerland,8/7/20,36269,1986,161,1,160
Switzerland,8/8/20,36451,1986,182,0,161
Switzerland,8/9/20,36603,1986,152,0,162
Switzerland,8/10/20,36708,1987,105,1,163
Switzerland,8/11/20,36895,1990,187,3,164
Switzerland,8/12/20,37169,1991,274,1,165
Switzerland,8/13/20,37403,1991,234,0,166
Switzerland,8/14/20,37671,1991,268,0,167
Switzerland,8/15/20,37924,1991,253,0,168
Switzerland,8/16/20,38124,1991,200,0,169
Switzerland,8/17/20,38252,1991,128,0,170
Switzerland,8/18/20,38449,1992,197,1,171
Switzerland,8/19/20,38760,1996,311,4,172
Switzerland,8/20/20,39026,1998,266,2,173
Switzerland,8/21/20,39332,2000,306,2,174
Switzerland,8/22/20,39627,2000,295,0,175
Switzerland,8/23/20,39903,2001,276,1,176
Switzerland,8/24/20,40060,2001,157,0,177
Switzerland,8/25/20,40262,2002,202,1,178
Switzerland,8/26/20,40645,2003,383,1,179
Switzerland,8/27/20,41006,2003,361,0,180
Switzerland,8/28/20,41346,2004,340,1,181
Switzerland,8/29/20,41722,2005,376,1,182
Switzerland,8/30/20,42014,2005,292,0,183
Switzerland,8/31/20,42177,2006,163,1,184
Switzerland,9/1/20,42393,2011,216,5,185
Switzerland,9/2/20,42763,2011,370,0,186
Switzerland,9/3/20,43127,2013,364,2,187
Switzerland,9/4/20,43532,2013,405,0,188
Switzerland,9/5/20,43957,2013,425,0,189
Switzerland,9/6/20,44401,2013,444,0,190
Switzerland,9/7/20,44592,2014,191,1,191
Switzerland,9/8/20,44837,2018,245,4,192
Switzerland,9/9/20,45306,2019,469,1,193
Switzerland,9/10/20,45711,2020,405,1,194
Switzerland,9/11/20,46239,2020,528,0,195
Switzerland,9/12/20,46704,2020,465,0,196
Switzerland,9/13/20,47179,2021,475,1,197
Switzerland,9/14/20,47436,2025,257,4,198
Switzerland,9/15/20,47751,2028,315,3,199
Switzerland,9/16/20,48265,2039,514,11,200
Switzerland,9/17/20,48795,2042,530,3,201
Switzerland,9/18/20,49283,2045,488,3,202
Switzerland,9/19/20,49283,2045,0,0,203
Switzerland,9/20/20,49283,2045,0,0,204
Switzerland,9/21/20,50378,2050,1095,5,205
Switzerland,9/22/20,50664,2054,286,4,206
Switzerland,9/23/20,51101,2060,437,6,207
Switzerland,9/24/20,51492,2061,391,1,208
Switzerland,9/25/20,51864,2064,372,3,209
Switzerland,9/26/20,51864,2064,0,0,210
Switzerland,9/27/20,51864,2064,0,0,211
Switzerland,9/28/20,52646,2065,782,1,212
Switzerland,9/29/20,52871,2069,225,4,213
Switzerland,9/30/20,53282,2074,411,5,214
Switzerland,10/1/20,53832,2074,550,0,215
Switzerland,10/2/20,54384,2075,552,1,216
Switzerland,10/3/20,54384,2076,0,1,217
Switzerland,10/4/20,54384,2077,0,1,218
Switzerland,10/5/20,55932,2078,1548,1,219
Switzerland,10/6/20,56632,2081,700,3,220
Switzerland,10/7/20,57709,2082,1077,1,221
Switzerland,10/8/20,58881,2087,1172,5,222
Switzerland,10/9/20,60368,2088,1487,1,223
Switzerland,10/10/20,60368,2088,0,0,224
Switzerland,10/11/20,60368,2088,0,0,225
Switzerland,10/12/20,64436,2096,4068,8,226
Switzerland,10/13/20,65881,2103,1445,7,227
Switzerland,10/14/20,68704,2109,2823,6,228
Switzerland,10/15/20,71317,2115,2613,6,229
Switzerland,10/16/20,74422,2122,3105,7,230
Switzerland,10/17/20,74422,2122,0,0,231
Switzerland,10/18/20,74422,2123,0,1,232
Switzerland,10/19/20,83159,2138,8737,15,233
Switzerland,10/20/20,86167,2145,3008,7,234
Switzerland,10/21/20,91763,2039,5596,-106,235
Switzerland,10/22/20,97019,2046,5256,7,236
Switzerland,10/23/20,103653,2067,6634,21,237
Switzerland,10/24/20,103653,2081,0,14,238
Switzerland,10/25/20,103653,2083,0,2,239
Switzerland,10/26/20,121093,2111,17440,28,240
Switzerland,10/27/20,127042,2147,5949,36,241
Switzerland,10/28/20,135658,2158,8616,11,242
Switzerland,10/29/20,145044,2200,9386,42,243
Switzerland,10/30/20,154251,2277,9207,77,244
Switzerland,10/31/20,154251,2297,0,20,245
Switzerland,11/1/20,154251,2326,0,29,246
Switzerland,11/2/20,176177,2404,21926,78,247
Switzerland,11/3/20,182303,2471,6126,67,248
Switzerland,11/4/20,192376,2555,10073,84,249
Switzerland,11/5/20,202504,2628,10128,73,250
Switzerland,11/6/20,211913,2710,9409,82,251
Switzerland,11/7/20,211913,2749,0,39,252
Switzerland,11/8/20,211913,2772,0,23,253
Switzerland,11/9/20,229222,2902,17309,130,254
Switzerland,11/10/20,235202,3013,5980,111,255
Switzerland,11/11/20,243472,3113,8270,100,256
Switzerland,11/12/20,250396,3216,6924,103,257
Switzerland,11/13/20,257135,3315,6739,99,258
Switzerland,11/14/20,257135,3351,0,36,259
Switzerland,11/15/20,257135,3369,0,18,260
Switzerland,11/16/20,269974,3536,12839,167,261
Switzerland,11/17/20,274534,3664,4560,128,262
Switzerland,11/18/20,280648,3765,6114,101,263
Switzerland,11/19/20,285655,3879,5007,114,264
Switzerland,11/20/20,290601,3992,4946,113,265
Switzerland,11/21/20,290601,4031,0,39,266
Switzerland,11/22/20,290601,4056,0,25,267
Switzerland,11/23/20,300352,4222,9751,166,268
Switzerland,11/24/20,304593,4308,4241,86,269
Switzerland,11/25/20,309469,4393,4876,85,270
Switzerland,11/26/20,313978,4509,4509,116,271
Switzerland,11/27/20,318290,4571,4312,62,272
Switzerland,11/28/20,318290,4621,0,50,273
Switzerland,11/29/20,318290,4650,0,29,274
Switzerland,11/30/20,327072,4815,8782,165,275
Switzerland,12/1/20,330874,4940,3802,125,276
Switzerland,12/2/20,335660,5045,4786,105,277
Switzerland,12/3/20,340115,5181,4455,136,278
Switzerland,12/4/20,344497,5293,4382,112,279
Switzerland,12/5/20,344497,5324,0,31,280
Switzerland,12/6/20,344497,5349,0,25,281
Switzerland,12/7/20,354306,5495,9809,146,282
Switzerland,12/8/20,358568,5593,4262,98,283
Switzerland,12/9/20,363654,5710,5086,117,284
Switzerland,12/10/20,368695,5824,5041,114,285
Switzerland,12/11/20,373831,5928,5136,104,286
Switzerland,12/12/20,373831,5976,0,48,287
Switzerland,12/13/20,373831,5985,0,9,288
Switzerland,12/14/20,384557,6154,10726,169,289
Switzerland,12/15/20,388828,6266,4271,112,290
Switzerland,12/16/20,394453,6379,5625,113,291
Switzerland,12/17/20,399511,6487,5058,108,292
Switzerland,12/18/20,403989,6561,4478,74,293
Switzerland,12/19/20,403989,6602,0,41,294
Switzerland,12/20/20,403989,6622,0,20,295
Switzerland,12/21/20,413991,6781,10002,159,296
Switzerland,12/22/20,418266,6924,4275,143,297
Switzerland,12/23/20,423299,7029,5033,105,298
Switzerland,12/24/20,428197,7098,4898,69,299
Switzerland,12/25/20,428197,7159,0,61,300
Switzerland,12/26/20,428197,7193,0,34,301
Switzerland,12/27/20,428197,7210,0,17,302
Switzerland,12/28/20,438284,7362,10087,152,303
Switzerland,12/29/20,442481,7493,4197,131,304
Switzerland,12/30/20,447905,7594,5424,101,305
Switzerland,12/31/20,452296,7645,4391,51,306
Switzerland,1/1/21,452296,7704,0,59,307
Switzerland,1/2/21,452296,7729,0,25,308
Switzerland,1/3/21,452296,7747,0,18,309
Switzerland,1/4/21,461961,7918,9665,171,310
